,degree_centrality_all,cluster
hmga1a,0.3776223776223776,tail_bud
tgif1,0.31934731934731936,tail_bud
meox1,0.25874125874125875,tail_bud
sox19a,0.19347319347319347,tail_bud
hoxd9a,0.1794871794871795,tail_bud
etv5b,0.14685314685314685,tail_bud
vox,0.1445221445221445,tail_bud
myf5,0.13986013986013987,tail_bud
ved,0.1351981351981352,tail_bud
lbx2,0.1258741258741259,tail_bud
ctcf,0.11888111888111888,tail_bud
cdx4,0.11421911421911422,tail_bud
tbx16,0.11188811188811189,tail_bud
dlx3b,0.10955710955710955,tail_bud
foxc1a,0.1048951048951049,tail_bud
foxb1a,0.1048951048951049,tail_bud
meis1a,0.10256410256410256,tail_bud
hoxb7a,0.0979020979020979,tail_bud
rarga,0.09557109557109557,tail_bud
pax6a,0.09324009324009325,tail_bud
hoxa9b,0.08391608391608392,tail_bud
sox11a,0.08158508158508158,tail_bud
eve1,0.08158508158508158,tail_bud
tcf3b,0.07692307692307693,tail_bud
hoxb9a,0.07226107226107226,tail_bud
sox13,0.06993006993006994,tail_bud
sox11b,0.0675990675990676,tail_bud
msx1b,0.05827505827505827,tail_bud
fn1b,0.055944055944055944,tail_bud
pax6b,0.055944055944055944,tail_bud
