,degree_centrality_all,cluster
hmga1a,0.33016627078384797,neural_posterior
tgif1,0.27790973871733965,neural_posterior
sox19a,0.2589073634204275,neural_posterior
vox,0.19002375296912113,neural_posterior
lbx2,0.1876484560570071,neural_posterior
hoxd4a,0.15201900237529692,neural_posterior
etv5b,0.13539192399049882,neural_posterior
hoxd9a,0.12826603325415678,neural_posterior
dlx3b,0.12589073634204276,neural_posterior
six3b,0.12114014251781473,neural_posterior
cdx4,0.1187648456057007,neural_posterior
meis1a,0.1163895486935867,neural_posterior
ctcf,0.1163895486935867,neural_posterior
sox11a,0.11163895486935867,neural_posterior
irx1b,0.09738717339667459,neural_posterior
meox1,0.09263657957244656,neural_posterior
hoxb10a,0.0831353919239905,neural_posterior
sox3,0.08076009501187649,neural_posterior
rfx4,0.07838479809976247,neural_posterior
eve1,0.07600950118764846,neural_posterior
sp5l,0.07363420427553444,neural_posterior
ved,0.07363420427553444,neural_posterior
sox11b,0.07125890736342043,neural_posterior
tbx16,0.06413301662707839,neural_posterior
tcf3b,0.06175771971496437,neural_posterior
pax6a,0.057007125890736345,neural_posterior
foxp4,0.052256532066508314,neural_posterior
sox13,0.052256532066508314,neural_posterior
foxc1a,0.052256532066508314,neural_posterior
alcamb,0.0498812351543943,neural_posterior
