,degree_centrality_all,cluster
hmga1a,0.2926829268292683,somites
vox,0.25365853658536586,somites
meox1,0.25121951219512195,somites
foxc1a,0.21707317073170732,somites
lbx2,0.20243902439024392,somites
tgif1,0.1975609756097561,somites
sox19a,0.18048780487804877,somites
etv5b,0.17804878048780487,somites
six3b,0.14634146341463414,somites
dlx3b,0.12195121951219512,somites
foxd5,0.11707317073170732,somites
cdx4,0.11463414634146342,somites
myf5,0.1073170731707317,somites
hoxd9a,0.1048780487804878,somites
rx3,0.1,somites
ctcf,0.1,somites
hoxb9a,0.09268292682926829,somites
tcf3b,0.08780487804878048,somites
pax3a,0.08536585365853659,somites
hoxd4a,0.08292682926829269,somites
meis3,0.07804878048780488,somites
foxc1b,0.06585365853658537,somites
gbx1,0.06341463414634146,somites
pax6a,0.06341463414634146,somites
pnx,0.06341463414634146,somites
meis1a,0.06097560975609756,somites
tbx16,0.05853658536585366,somites
irx1b,0.05609756097560976,somites
sp5l,0.05609756097560976,somites
cirbpa,0.05609756097560976,somites
