celsr1b	ZDB-GENE-050823-4
si:ch211-288d18.1	ZDB-GENE-060503-323
CT025690.1	
si:ch211-193e13.5	ZDB-GENE-081104-158
pcnp	ZDB-GENE-041010-130
ccka	ZDB-GENE-100922-79
si:ch73-288o11.4	ZDB-GENE-131121-207
znf654	ZDB-GENE-030131-1423
uhmk1	ZDB-GENE-060929-1014
tas2r200.1	ZDB-GENE-070917-4
BX005375.1	
taar14j	ZDB-GENE-041014-34
rab1ab	ZDB-GENE-030616-564
arid3a	ZDB-GENE-140106-97
FO744838.1	
tmem33	ZDB-GENE-030131-5425
BX548025.1	
si:ch211-218h8.1	
hipk3b	ZDB-GENE-030131-82
CR388067.1	
nxf1	
CR932978.3	
BX248243.1	
si:ch73-184c24.1	
BX005392.2	
rbb4l	ZDB-GENE-030131-848
CR450753.1	
rgma	ZDB-GENE-040527-1
si:dkey-56f14.7	ZDB-GENE-131121-78
phpt1	ZDB-GENE-040801-85
ptpn12	ZDB-GENE-040426-1441
AL954726.1	
ints4	ZDB-GENE-120215-81
CR925768.7	
si:dkey-233e3.3	
CABZ01044023.1	
si:dkey-211g8.4	ZDB-GENE-060503-624
si:dkey-192k22.2	
si:dkey-210j14.5	
adamts16	
CR936371.2	
glo1	ZDB-GENE-030722-9
lnpk	ZDB-GENE-030131-9455
si:ch211-113d11.5	ZDB-GENE-030131-6391
lims1	ZDB-GENE-050522-236
BX119915.3	
ptgdsb.1	ZDB-GENE-030131-8436
nkx3.3	ZDB-GENE-050306-27
CR855860.2	
AL808121.1	
gbp3	ZDB-GENE-070912-176
polr2k	ZDB-GENE-070820-18
adgre17	
baxb	ZDB-GENE-050227-21
slc29a4	
fybb	
RAP1GDS1	
CR450786.1	
BX324177.11	
srsf3b	ZDB-GENE-071005-2
si:dkey-183j2.10	ZDB-GENE-130530-729
dnase2b	ZDB-GENE-090824-2
gja8a	ZDB-GENE-050616-14
fgf11a	ZDB-GENE-050221-5
si:dkey-81h8.1	ZDB-GENE-060503-931
casz1	ZDB-GENE-060130-108
zap70	ZDB-GENE-050522-257
zgc:194275	
