,degree_centrality_all,cluster
rxraa,0.1468354430379747,NMPs
si:dkey-269i1.4,0.13670886075949368,NMPs
sox5,0.1341772151898734,NMPs
apoc1,0.1341772151898734,NMPs
meis1a,0.13164556962025317,NMPs
tbx16,0.1189873417721519,NMPs
rarga,0.11392405063291139,NMPs
hoxb3a,0.10886075949367088,NMPs
uncx4.1,0.10379746835443038,NMPs
hmga1a,0.10126582278481013,NMPs
meox1,0.09873417721518987,NMPs
cx43.4,0.09873417721518987,NMPs
en2b,0.09367088607594937,NMPs
msx1b,0.09113924050632911,NMPs
sox19a,0.08860759493670886,NMPs
gli2a,0.0810126582278481,NMPs
meis1b,0.0810126582278481,NMPs
msgn1,0.0810126582278481,NMPs
hoxc3a,0.07848101265822785,NMPs
dlx4b,0.0759493670886076,NMPs
lef1,0.0759493670886076,NMPs
phox2bb,0.0759493670886076,NMPs
hoxc6b,0.0759493670886076,NMPs
col11a1a,0.07088607594936709,NMPs
trps1,0.07088607594936709,NMPs
rorb,0.06835443037974684,NMPs
sox21a,0.06835443037974684,NMPs
cirbpa,0.06582278481012659,NMPs
rxrab,0.06582278481012659,NMPs
sox10,0.06582278481012659,NMPs
