,degree_centrality_all,cluster
meox1,0.24532710280373832,PSM
meis1b,0.18925233644859812,PSM
meis1a,0.18691588785046728,PSM
rxraa,0.17523364485981308,PSM
hoxb3a,0.1658878504672897,PSM
apoc1,0.14953271028037382,PSM
sox5,0.1378504672897196,PSM
tbx16,0.12383177570093458,PSM
hmga1a,0.11448598130841121,PSM
sox21a,0.10747663551401869,PSM
meis2a,0.10514018691588785,PSM
raraa,0.102803738317757,PSM
pax6a,0.09579439252336448,PSM
hoxc3a,0.0911214953271028,PSM
sox13,0.08878504672897196,PSM
fn1b,0.08644859813084112,PSM
hoxa4a,0.08644859813084112,PSM
cx43.4,0.08177570093457943,PSM
sox3,0.0794392523364486,PSM
hoxc6b,0.07476635514018691,PSM
sox19a,0.07476635514018691,PSM
pax3a,0.07242990654205607,PSM
pknox2,0.07242990654205607,PSM
dmrt2a,0.07009345794392523,PSM
pcdh8,0.06775700934579439,PSM
foxp4,0.06542056074766354,PSM
nr2f1b,0.0630841121495327,PSM
sox11a,0.0630841121495327,PSM
tenm4,0.0630841121495327,PSM
rarga,0.06074766355140187,PSM
