,degree_centrality_all,cluster
rxraa,0.167420814479638,neural_posterior
hoxb3a,0.16289592760180996,neural_posterior
meis1b,0.1583710407239819,neural_posterior
pax6a,0.14479638009049775,neural_posterior
meox1,0.13800904977375567,neural_posterior
hmga1a,0.1334841628959276,neural_posterior
rfx4,0.13122171945701358,neural_posterior
pax6b,0.12217194570135746,neural_posterior
sox6,0.11764705882352941,neural_posterior
meis1a,0.11085972850678733,neural_posterior
myog,0.11085972850678733,neural_posterior
foxp4,0.10633484162895927,neural_posterior
meis3,0.10407239819004525,neural_posterior
hoxc6b,0.10180995475113122,neural_posterior
raraa,0.09954751131221719,neural_posterior
sox5,0.09728506787330317,neural_posterior
sox3,0.09728506787330317,neural_posterior
mef2d,0.09049773755656108,neural_posterior
pax3a,0.08823529411764706,neural_posterior
hoxa4a,0.083710407239819,neural_posterior
foxd3,0.083710407239819,neural_posterior
meis2a,0.08144796380090498,neural_posterior
tenm4,0.08144796380090498,neural_posterior
rarga,0.07918552036199095,neural_posterior
sox11a,0.07692307692307693,neural_posterior
sox21a,0.0746606334841629,neural_posterior
nr6a1b,0.07239819004524888,neural_posterior
hoxc3a,0.07239819004524888,neural_posterior
cntfr,0.07239819004524888,neural_posterior
rxrab,0.07239819004524888,neural_posterior
