,celltype,LIN28A,alx4a,ar,arid3c,arid5b,arxa,arxb,barhl1a,barhl2,bcl11aa,bcl11ab,bhlhe22,cdx4,creb3l3a,creb5b,cxxc5a,dbx1a,dbx1b,dlx4a,dlx4b,dmbx1a,dmbx1b,dmrt2a,dmrt2b,e2f7,ebf1b,ebf2,ebf3a,egr2a,egr2b,emx3,en1a,en1b,en2a,en2b,esrrga,etv1,etv2,etv4,fli1a,fosab,fosl1a,fosl2,foxa,foxb1b,foxd1,foxd3,foxd5,foxg1a,foxi1,foxi2,foxi3b,foxj1a,foxj1b,foxn3,foxn4,foxo1b,foxo3b,foxp1b,foxp4,gata1b,gata3,gata5,gli2a,gli3,grhl2a,grhl2b,gsx1,gsx2,her6,her9,hey1,hey2,hmga1a,hoxa10b,hoxa11b,hoxa13a,hoxa13b,hoxa4a,hoxa9b,hoxb3a,hoxb5b,hoxb7a,hoxc10a,hoxc13a,hoxc13b,hoxc1a,hoxc3a,hoxc6b,hoxc8a,hoxd11a,hoxd12a,irx7,isl2a,junba,klf2b,klf7a,klf7b,lbx1b,lef1,lhx2b,lhx4,lhx5,lmx1al,lmx1ba,lmx1bb,mafba,mafbb,mef2aa,mef2ca,mef2cb,mef2d,meis1a,meis1b,meis2a,meis3,meox1,mespab,mnx2a,msx1b,myf5,myod1,myog,myrf,neurod1,neurod4,nfatc3a,nfia,nfic,nfixb,nkx1.2la,nkx2.2b,nkx3-1,nkx6.1,nkx6.2,nkx6.3,noto,nr1h5,nr2f1b,nr3c2,nr5a2,nr6a1b,olig2,onecut1,onecut2,osr1,pax2a,pax2b,pax3a,pax3b,pax5,pax6a,pax6b,pax7a,pax7b,pbx1a,pbx1b,pbx3b,phox2bb,pitx3,pknox2,pnx,prox1a,prrx1b,raraa,rarga,rfx4,rfx6,rorb,runx3,rxraa,rxrab,samd11,scrt1a,si:ch211-145o7.3,six3b,six6a,six6b,smad1,smad3a,snai2,sox10,sox11a,sox13,sox14,sox19a,sox1a,sox1b,sox21a,sox3,sox5,sox6,sp5l,stat5a,tbr1b,tbx1,tbx15,tbx16,tbx18,tbx20,tbx2b,tbx5a,tcf7l2,tead1a,tead3b,tfap2a,tfap2c,tfec,thrab,tp63,trps1,twist1a,twist1b,twist2,uncx,uncx4.1,vax1,vax2,ved,vent,vox,vsx1,wt1a,zbtb18,zic2a,zic3
0,NMPs,0.4768763904613505,0.4628878096948233,0.45707848876979185,0.4766591301584803,0.4559075750017451,0.45630202165977923,0.4574594689921166,0.4615563167752697,0.4527959398318262,0.45580585417176706,0.4330503675520836,0.4567267099272356,0.42792081814696586,0.4570370025420214,0.45510818466394315,0.44419397223960627,0.4531194212194956,0.4475945694942262,0.4586953506700606,0.46523702029729924,0.4559630143565107,0.4584065236559205,0.47887966800733617,0.45723398652388525,0.4671912473278552,0.4596499823445536,0.45204080763490023,0.4607808423994794,0.453836347377452,0.45346899702833826,0.43839918035744835,0.45710292288882864,0.4597579839793824,0.488886830761241,0.4136938338176901,0.4024098046656741,0.45756420472225473,0.4282156722923382,0.44576696588705605,0.44931454287814265,0.4574147074370097,0.45793575806773373,0.45961182781738996,0.4591802237700164,0.44344072990579725,0.449902803562576,0.45958847931394103,0.42663224394028615,0.457616242145541,0.46320675010059703,0.4590632073896586,0.45878056871216694,0.44362331362603796,0.4423703337518942,0.4449484636993996,0.46127789902870875,0.4573201313645113,0.4589677875559586,0.4456319885020128,0.40498693118620116,0.4567919353821868,0.46024309580235573,0.4546720647085058,0.4698119569835977,0.4402206484304599,0.44949182739519694,0.46180179517442027,0.45185353278569496,0.4510331079684325,0.43317976552662624,0.39173009977102935,0.4503779524577494,0.4584067708545328,0.48438792191565794,0.44653809405284967,0.4796401203458944,0.46667760966080724,0.4700970798218112,0.4241526465872469,0.451748348423348,0.37256538159389735,0.47210263310833955,0.43782844656251346,0.4234159184565949,0.4506657916105142,0.4578324114824257,0.44520149205312126,0.3797458443192447,0.4034780328862145,0.4548620148569495,0.47703855486673613,0.4609208974552848,0.47149094683102016,0.4579966692952426,0.4592447956951519,0.4573365990363425,0.45955215446691594,0.4599478294968944,0.4524128094124266,0.4839646927479057,0.4722865861706987,0.457322929296899,0.45992569722076243,0.45924258972833387,0.46149255680821355,0.4741624195756787,0.4575717536366895,0.46597821602892625,0.4486237982522523,0.45411279378659514,0.4593668561958432,0.505826239655453,0.45953182758679895,0.4903452923468627,0.4014560105080002,0.39222664761370324,0.5288010844647684,0.4600838878617184,0.45723398652388525,0.4175595212540609,0.508704361745534,0.45161336377786315,0.4786693286394584,0.45923192223154546,0.45871944556357835,0.44899856661954024,0.45540243585118817,0.40351284289158734,0.45652462606456923,0.4582635870500475,0.44351208134288517,0.46196675813239946,0.4518701970928327,0.45709749903637314,0.4556371886065436,0.4583685050242135,0.42407698028610263,0.45698658905543316,0.44733322169395856,0.45775087086861693,0.4422226947342695,0.45345889066331474,0.4594103992833603,0.46315710195815285,0.45354616492280436,0.4571572090668698,0.464435629616289,0.4570543165405631,0.4686424976380472,0.46158984871131264,0.44936055724267393,0.44916178941915846,0.44901695888889614,0.4620672776941465,0.4531072464098879,0.44998336372262376,0.48367583916885865,0.45608902475265295,0.4537302512638725,0.4520596638430639,0.45608955082545294,0.4545015003798805,0.4584345005159867,0.4600776371903555,0.40993278356711355,0.4345703107110383,0.3613614301208374,0.4570888263601837,0.4615925096909679,0.45794711244000413,0.4081932721259995,0.46729830191783045,0.4480740159322672,0.45737928242152476,0.4573615126401965,0.4503985713025642,0.4611848030890127,0.4541546134216456,0.44646773271766893,0.4712757736511483,0.4553325349574173,0.47893575798300364,0.42772059346846825,0.4107730736282839,0.4570669710539041,0.45613035037146027,0.4498080467130114,0.4499838611200766,0.47516834550595455,0.4118627842543221,0.45126869119975904,0.504663344375096,0.4760710808923374,0.45755816149123046,0.46006058046324966,0.45874388451982373,0.45831849796485996,0.5131421629014529,0.46658507111067005,0.45670002622710104,0.45554593739966576,0.4577327453324802,0.48091667752870326,0.4953971478035954,0.48855343355513375,0.4493005809078167,0.4521162895038689,0.46601628821241464,0.4493446281213425,0.46399776635092865,0.43429202056131205,0.4496692519082582,0.4615852729781693,0.45871186808475417,0.44375183166071414,0.47164741691357603,0.4544439683205783,0.4551789234243975,0.46343439537401876,0.47651535535927075,0.4893036531386888,0.4603103153624166,0.4554418892259424,0.5119312684406674,0.4480871276944653,0.48300298161650207
1,PSM,0.4791808956742164,0.4697597664823865,0.47203195611233556,0.4195703883430783,0.4706384527232629,0.46962611699488643,0.47365947140297304,0.4704969024340545,0.4622543712657334,0.4732976908847336,0.4729327569750916,0.47084002628865523,0.4011264315317513,0.47170256732862353,0.4714591083048735,0.4633127467951133,0.47555735382915526,0.4710313043479537,0.47220180700107467,0.47436509033267715,0.4719285521336786,0.47165562887625434,0.38931244801960363,0.47179243861231784,0.4484708262085026,0.47180206344174364,0.47916306472437403,0.47347397365537003,0.4700360894623104,0.4696753933867946,0.4714996907647057,0.47176502749015803,0.467535855425968,0.48051455213245453,0.43506195452135665,0.4749247327864248,0.45045420220950405,0.4521576861760074,0.33724225633595084,0.47532318273911295,0.47168052383067915,0.47260202533741025,0.47251639302747395,0.47342105540175033,0.4730884389688867,0.47047379272284096,0.46045979672387766,0.4729326352397475,0.4660622489681869,0.46802603515127544,0.4722336203631249,0.47090774701195337,0.47514911526627834,0.4709023693051541,0.4666792914878759,0.4736096832832523,0.4716025333753541,0.46813634055236253,0.460300483202758,0.48692863278933374,0.4717361042388846,0.472340887018641,0.4720088266228688,0.3241676711807221,0.39299158245321203,0.47244971419786985,0.47020360154114965,0.4534596821338809,0.46657976374394383,0.47034246046065675,0.46728467043001715,0.4055933043182932,0.47521540194465517,0.40528421078677224,0.42001815803521436,0.384796634502199,0.4791760463603664,0.4757729767102622,0.4980738269012983,0.47150802925779417,0.31881346980098735,0.4396617744188198,0.38849596144985843,0.43002910314267656,0.4757324111396675,0.4758086824360488,0.44628378858837253,0.33670728071561634,0.3294756063324414,0.42417107674351107,0.452991692593509,0.437268628030087,0.4823249357642879,0.4748348083953412,0.47037477959563495,0.4724734328776629,0.4551382274914386,0.45997798953724145,0.4684015659636961,0.38589371157225055,0.4743014144362065,0.47214544943420184,0.46559792352309753,0.4724041513151376,0.46571466664125605,0.45596823155018673,0.46961600127380404,0.4706057952563007,0.4605198699891764,0.463835913712696,0.47848251647837636,0.3416214608710237,0.3148093271576713,0.3296278387938797,0.46196533362421494,0.386671616046933,0.32486889976602995,0.449265999285963,0.4717361042388846,0.4846323619763597,0.4091331456452269,0.44634669671054644,0.4576957969591829,0.47374302627223924,0.47205264192444435,0.4691138295900858,0.46138759182142874,0.470352956656478,0.4715366283722211,0.47181872768756483,0.4719048555918685,0.4712189865654009,0.47405605972861825,0.472189811908858,0.4725765382171629,0.4719113587326105,0.44832831344376534,0.4716415440937139,0.45809936138303303,0.47225880329432485,0.47498668853176906,0.4391389350512186,0.47240385095650317,0.47403222974381365,0.46755403137618057,0.47237251188143764,0.47401497963343303,0.471589230564796,0.41922036770520593,0.47596724679176045,0.4693432481472273,0.4218405430910858,0.4246819653312375,0.4717522002209161,0.45421514041102073,0.41621771324602597,0.46502413994965097,0.4673484974305577,0.4678943209926459,0.4730194692862082,0.45987750454545184,0.4701498037474696,0.47261494406669685,0.4726325129123443,0.3343510873131491,0.3793849073645699,0.46901985961638654,0.47182253172605154,0.46990524637890274,0.47249821647119367,0.3200356746720347,0.34202429639352333,0.46872140802467593,0.46984889653552125,0.47174159068001026,0.4715361409080635,0.4713615949499059,0.4686216115935192,0.4658043655792896,0.4650870154557129,0.46836320497234724,0.4440136941486823,0.4675992880976116,0.42790101743845566,0.4702767333828401,0.43536207252683456,0.4752146207256087,0.4765269445297294,0.46776358239723237,0.4308398440215736,0.34725451883624353,0.41976392609229385,0.43789815746873834,0.46917586307836423,0.4727229769911156,0.47368004779883943,0.47041823515040576,0.34148494865162626,0.4609307934499122,0.47198855483853264,0.4663907663676792,0.47198777906906897,0.4263539136054831,0.35769406493889006,0.4279616732658297,0.43962735974027,0.47457681997467205,0.47248387979176404,0.4386452715391128,0.46805949974588557,0.40852411428358104,0.4689830690965851,0.4721698984968434,0.47253837158204526,0.4476711691134938,0.4646133942047303,0.467602988002982,0.4652074562893291,0.4574132265599529,0.44877846547252365,0.4199515073047489,0.4731745043399628,0.47128631897709666,0.39309607762132,0.45465941697133105,0.45175658854650247
2,fast_muscle,0.5039244021985819,0.5110523342184213,0.510177842741427,0.5126561212431856,0.5114189946178044,0.5108033634504648,0.5107612109319092,0.5101622131339227,0.5102755838281854,0.5107848832664222,0.5090483602471343,0.5112663139042752,0.5065461586504825,0.5109287252066519,0.5100941952790193,0.5126231626071789,0.5083326079359699,0.5107159433053545,0.5106044381092903,0.5120890211464701,0.510127912846062,0.510976996118104,0.4828158621915724,0.5109052678211456,0.5028458561056224,0.5117585255250275,0.508565839961284,0.5126889280432788,0.5065023208405339,0.504515078791652,0.5061917200403497,0.5108781502864211,0.5098763423262088,0.4852670227953936,0.5082637563056837,0.46501151234116594,0.5101099985381786,0.5162151729425316,0.49764291814112743,0.5085868703281686,0.5112581803387077,0.510734779060812,0.5110398867784488,0.5103671778452651,0.507198550694457,0.5170364726218601,0.4504971914765025,0.5108713676227499,0.5092174859147062,0.5112225486881727,0.5111748703559444,0.5105835687722541,0.5113250182757577,0.5108227968982381,0.41523689346511483,0.5107810149450129,0.5108112921061615,0.46749009359126226,0.4790711369213401,0.4746333359999035,0.510888911913668,0.5101314861780508,0.5111745166838348,0.48852390418015784,0.5044028478269513,0.5073087137373345,0.5098936752245798,0.5116237845683999,0.5103586943614284,0.5130051166342164,0.501098205447481,0.45941810198552735,0.5132599174843653,0.48388357159457085,0.4937598853464489,0.5059001436448745,0.5102321109895058,0.510473720847533,0.48102645265990934,0.505705865038059,0.48636886122427697,0.4792779812051966,0.49652166976955886,0.5075824137424263,0.5094228270492618,0.5098328886366158,0.49875979778980584,0.4789329861654869,0.48419459467708237,0.4993243510319809,0.5111660756545813,0.5123627214729359,0.5061002837592248,0.5090589195564883,0.5112391533350558,0.5112159703714576,0.4789966313814512,0.47409836965983954,0.4920909565161433,0.5047660468115162,0.5092810580750572,0.5082050257821071,0.5093689202487228,0.510966567210863,0.5106452466206466,0.511977784676721,0.4985596791501119,0.4815289362588763,0.42752593892414914,0.46149308617675,0.46376794167486624,0.4442970580218931,0.45035017889879986,0.4378288092403798,0.48960112511264026,0.4762065980303387,0.49531107203819597,0.5102491562800632,0.5108479376493539,0.4868476292177622,0.4811235880738392,0.46529406257208444,0.4459529140779297,0.5108823788322987,0.5110095094901453,0.5079639843400088,0.4937888157007226,0.5040101478198385,0.4678262886770684,0.5111419128175233,0.5097569895386284,0.5110309360102414,0.5097808739828715,0.5122967489357109,0.5084520053324626,0.5103867643737214,0.5112440869680005,0.5067072402470769,0.46556489646239463,0.5084694870321506,0.5118205107411119,0.5114465681671334,0.5097514150456322,0.5114166919125568,0.509715321423345,0.5108996805082717,0.5111999559255702,0.5109952099949118,0.492962057801462,0.5075020752636782,0.5088797593222544,0.5044969246771367,0.5130453978203107,0.49103178398738595,0.5063381993306654,0.5060801083230569,0.5103948558207758,0.5078183899414243,0.5091305305267334,0.5104901188818394,0.4831447549936412,0.5071813831394211,0.5105723286996424,0.5109513086522216,0.5022016376010896,0.5023528029671455,0.48603435264468686,0.5103236234895082,0.5096027705142542,0.49639416803425956,0.47861402712976064,0.5103046127474813,0.5127009898170889,0.510667714958478,0.5105225519802484,0.5048937446125085,0.5115639512638962,0.5104614104193325,0.5039745447458233,0.5139173805034964,0.5150649182155445,0.49358594886938767,0.48807094144428176,0.4650796487177652,0.5103511625623737,0.47696769319175375,0.5067880966729617,0.5043793678045447,0.46751735178688003,0.45681644279871403,0.4297636870285818,0.4514751414234408,0.4978695097144528,0.5137839311355279,0.5108532505769023,0.5105424751437739,0.5112588693735423,0.5026653617055284,0.44100643316061655,0.5106688249645048,0.5111669924613319,0.5107883356178964,0.4702901461723529,0.5066071913397155,0.48618000776461806,0.5143844435850138,0.49539237099500677,0.5107411190333471,0.47920352575375447,0.5097283446307117,0.4865557314765237,0.49370426218675495,0.5103569553336437,0.5112554749992877,0.5137271873963284,0.4967237695365545,0.49233571084123096,0.5103995853107598,0.5144702789190958,0.5112345607549296,0.5053227443818221,0.5070685148363655,0.5089156500636819,0.46528483680143695,0.49778665346490947,0.5035836536080414
3,neural_posterior,0.5137361259520352,0.5034582898739907,0.5142063057099436,0.5195455226207486,0.49803267541123253,0.5164337217443836,0.5184593488449872,0.5219458673993844,0.5170134928212137,0.5161769083396285,0.5142127350146971,0.5142199535476769,0.5635383375983634,0.5164441969428883,0.5111415467229842,0.5264711529843609,0.5347775841785608,0.520965842147247,0.516733695647812,0.5118534313919382,0.5148907283520961,0.5164627720828592,0.5257087955179363,0.5163715687267957,0.5389531317815399,0.5136891270325129,0.5308323256636954,0.5213464300294288,0.518609828360365,0.4315171489990818,0.5406825721926439,0.5146521080737843,0.5180967880730633,0.49264798038948937,0.538819432210442,0.5423574491926267,0.5155485654265212,0.5022949322836633,0.5456203794938418,0.5189690548652893,0.5236685554270794,0.516723304441553,0.5162887975962255,0.5129696545763414,0.4763371721084026,0.5116466527025431,0.5332591954891511,0.5167054072190834,0.5276287178879363,0.5193256514327653,0.5164221283631578,0.5158352091922396,0.5078218507784331,0.5167301337008292,0.532144810710031,0.5171749485037881,0.5162009607389652,0.525473499743607,0.48343317305647965,0.4307735645317506,0.5132703286098161,0.5181378775445575,0.5158473672281957,0.5129996103066277,0.48923057891796295,0.5125173093162049,0.5170983932759853,0.45886799220189517,0.5281355521476868,0.5449619317199031,0.5145899741728042,0.5290560579413695,0.5209663179111147,0.5467238002679998,0.5451196515855915,0.5384609864876572,0.516688537811962,0.5168190317954539,0.4456069542205657,0.5365715062177377,0.4135980111042538,0.5564158001568257,0.5404475939347041,0.5409858018496829,0.5139799086422772,0.5064328706945048,0.4662879110825858,0.5058512626544186,0.540646836887507,0.5437474710818152,0.5113445388728498,0.5243056648810431,0.5114060378333364,0.5169763881294206,0.5168170248431548,0.5163724762864977,0.44691545056520854,0.5065791142598369,0.4966161935284937,0.5422643191743007,0.5152998578081673,0.5164472371087893,0.5127276457866345,0.5149776929383759,0.49454635355472476,0.5445077227828166,0.46171322909380946,0.5636672294432612,0.5265177808953088,0.5264177421318335,0.5015063686118445,0.5285638208176059,0.4941351784252134,0.40488489310763254,0.43063891664680476,0.42934024107745095,0.5183320874982557,0.5154266288095828,0.5141361555604329,0.5353671447442525,0.5587063265306815,0.5305323598085367,0.5504944752580408,0.516909676105959,0.5167371703346864,0.5277706966297565,0.5222942796106701,0.4550756761280055,0.5150783172621207,0.5165118924479506,0.5146997675129444,0.4737413282913778,0.5226547195612649,0.49927588390247746,0.5051445425640333,0.5163665923495898,0.49918404918780734,0.5149308115462746,0.4177577566725728,0.5152121642925837,0.5153418652733254,0.5166701869657595,0.46710251204095743,0.5145958890979327,0.5011047302393853,0.5153403091397444,0.5471695723777446,0.5160578323811567,0.4890183939274254,0.522810378869223,0.524148693774984,0.45174495549450594,0.49189660216363257,0.4600209603614002,0.481311934304356,0.5054779982357759,0.5260427654086696,0.4642319983207866,0.5027941415833487,0.5168429361429161,0.5086410256655794,0.5086738599572235,0.513239570035418,0.516869803524735,0.42000317927481595,0.4497260910159436,0.4172109973191351,0.5163811077597096,0.518514395294208,0.5173095190420359,0.4516649666479293,0.5228006503562592,0.5177985376738635,0.5166346849243532,0.5145743413585588,0.5216279375357634,0.5103225712663997,0.5138504697851923,0.5253661622282663,0.5230342679806421,0.5195938733701622,0.5242202265247777,0.5290112447440376,0.4828900220318218,0.5162953061380509,0.5415898320188736,0.5140056331832122,0.4917756894241763,0.5109605334952076,0.530683470561418,0.4653050355448273,0.49770632358234745,0.520654358851106,0.517873879525613,0.5123395054330303,0.516325608055804,0.5167671383950303,0.5548254213588636,0.516262165032037,0.5163542783069427,0.5243085546101425,0.5161977400683979,0.49590876621440066,0.4728387876919282,0.525340639555002,0.5205957949279326,0.5132561213323172,0.5166256202881153,0.4840694443502778,0.520959578636569,0.48693356393787685,0.531653738529752,0.5155570378168488,0.5193968848961332,0.5222701716387079,0.4911401950322751,0.5397461189567108,0.5110282783012844,0.5328848798891372,0.5176133666669748,0.5394174929578728,0.5225621048239432,0.5168372169100743,0.5144932905442962,0.5317524027614758,0.5293190963431114
4,somites,0.4993757800770959,0.4820246654622955,0.49030409922924556,0.4491561928600149,0.49078084257235044,0.49114281437023605,0.4919597111980583,0.48548465131506585,0.48530278996930204,0.4924828785303977,0.49052086041870135,0.48801481245273554,0.5759513241301987,0.49156940845944574,0.49221026595954503,0.477789345487085,0.49044535892366536,0.49300672902066756,0.49179371346927114,0.4987983524033047,0.49287219948155636,0.49242319911362004,0.4296797607402198,0.4917510905430316,0.47134828380338406,0.4919783124653971,0.48713625235348873,0.47147986371129824,0.4942718822348506,0.48780860954570265,0.47706677698482375,0.4918686825525067,0.4785552947633932,0.4954120490849511,0.524099921445645,0.4900802242425313,0.4854543096015894,0.5059154307892798,0.423981396634101,0.4806129306859365,0.4903699898035402,0.4918952208014709,0.49224539839291476,0.48148790684235443,0.4867015809154776,0.4747024707468679,0.4612803314373004,0.4905245841553454,0.4766011227564605,0.4904638050850894,0.49075623967260207,0.4928059137930362,0.49202968766742755,0.4915481061143718,0.4859421542893743,0.4918875283596283,0.49129580325877803,0.41599307068451297,0.4514858342147384,0.5015757748680998,0.49182259389338223,0.4905334038547602,0.49316433200835336,0.4088460384874092,0.4160290581015572,0.49210155345546736,0.492125269414895,0.47034415085533887,0.48658479807910027,0.48810789553491446,0.5542441690320564,0.4295890432290277,0.5011505648181267,0.5898298654687634,0.49832488720061463,0.4689070368516039,0.4882973366607804,0.4906732612510066,0.49605839354663556,0.505714224404792,0.4393286417863894,0.5173392690341673,0.4758218397037159,0.5088086411500736,0.484534678212236,0.4932597982562189,0.48436151274485845,0.39771829427536154,0.39525176940184287,0.484027881390197,0.49768338011619084,0.4766660129435077,0.49633283208502454,0.49193428637088726,0.49099590459374975,0.4923764572140548,0.4832970567450652,0.47684634537331055,0.48953680876827554,0.4250869825833771,0.4876508015401195,0.4904266202022678,0.49082359491538546,0.49168600278651814,0.488868775672161,0.493947185773882,0.4553014679869089,0.49952550074239455,0.4785463900724627,0.44951146513373924,0.46522010915380924,0.4380187445008217,0.3914296785437688,0.40682718829692427,0.4763473574210109,0.43271235782362905,0.4435558929864318,0.4819738355188689,0.4917226572256065,0.553266637405463,0.47154248078882993,0.4335415836279926,0.46064982972472857,0.49159899446704763,0.49123392633719115,0.49004529577201306,0.41196722210340986,0.484026500156365,0.49241448282061734,0.4912185010800663,0.4906022664213881,0.4817626011082494,0.48984556663699585,0.48996872451806606,0.4849646204926658,0.49098150246234207,0.48437824624953446,0.4903657510094414,0.4881351435783826,0.493155894468729,0.4858986158400429,0.4862835049137024,0.48848021525252605,0.49289944055568163,0.4885619955611959,0.49119690445082803,0.49337101242183284,0.49208433357570763,0.40494447406485395,0.46936261524475903,0.4917682003602386,0.45669592575314266,0.46661975058660105,0.46724347316175324,0.4540712775233401,0.4348083024087594,0.3984951907308028,0.4909916871411401,0.4915801570524266,0.4928556602646632,0.47709640964476624,0.49182561660027807,0.4930246453372669,0.4917663134656593,0.4127250542118148,0.43169065535843604,0.4716625432072574,0.49140416556296657,0.4899261074508114,0.49116801723926995,0.41878096422475697,0.42867802499023033,0.4937299942794201,0.49038625181137435,0.4918017793625307,0.48970853677868353,0.4911232467955284,0.4924353038367811,0.4819654579731653,0.4749667701023186,0.49065051618203426,0.4920227264988596,0.5226117566660485,0.43743701170495897,0.491679330404109,0.5428309426078359,0.4957069452118845,0.4893919345651394,0.5999335351841049,0.5732368973515537,0.40483808725853077,0.430225283768539,0.5019231151508274,0.4945184288878735,0.4912917764624934,0.493618550376004,0.48851698894178486,0.5427254871726371,0.4176499285857122,0.4919659386103402,0.4923962797671803,0.4914568076771622,0.44666393226413303,0.4274791464242054,0.43950264431302305,0.4834013149442686,0.49246115919398126,0.4930527544958717,0.4113001025441101,0.4961614585743611,0.4464847556739188,0.46022441872724473,0.4864704752852844,0.4959529619703247,0.46210061307160943,0.43117178640530135,0.493212877223282,0.4892126378254738,0.4869890177365332,0.4953141456450328,0.45134586834283635,0.49514941547868546,0.45799584100399604,0.4304887805139003,0.48409581786955375,0.46992562836543644
5,spinal_cord,0.5557070282965241,0.555474762149891,0.5571658987866696,0.5480634714320032,0.5604423159552705,0.5588711823472042,0.5579408490732432,0.5574776056807393,0.5542475470650081,0.5576292310583094,0.560028458172766,0.5579801800878503,0.5254567695845317,0.558564143096006,0.5609879843579636,0.5598118294015242,0.5674610635592349,0.5567946410007093,0.5588871774306329,0.5588280401836342,0.5600074406051039,0.5591023811959102,0.5617631196424872,0.55866899409183,0.5729097354849667,0.5587889923759212,0.5501994790854198,0.5459325291625446,0.553773011605399,0.5530330865820237,0.5503532786287214,0.5584309335862914,0.566045399477961,0.5653669506629114,0.5578987238193422,0.46289547451658036,0.557622275611596,0.5743827476431153,0.4792087253461552,0.5586165888119828,0.5577629470584258,0.5587056963986043,0.5580056587412371,0.5595971602266072,0.5298796142211928,0.5697619510406848,0.5763343378678539,0.5207715773361579,0.5532430083650696,0.5589693000798049,0.5588958502090149,0.557181405937168,0.5517123599231742,0.559067210289122,0.5716428903425684,0.557359746410463,0.5585511354134314,0.5655075303623394,0.4208675342369705,0.4185652838837427,0.5585047476121533,0.5568753230618877,0.5615260815327738,0.478670944922218,0.4758712724669192,0.5586176714628918,0.5575259057301741,0.553737588772361,0.5589240329663782,0.562251113647069,0.552227416637678,0.5582382657682288,0.5599772876079546,0.5225752518442932,0.4627252188308204,0.5489781949269656,0.5426750658657802,0.5559621448728863,0.47821921462017847,0.5269297926046402,0.3892083273287624,0.5193122853131849,0.5187250968370427,0.46221854518219857,0.5325813402190934,0.5243654116860911,0.5040417394969722,0.4260719032826763,0.4250010013382186,0.5184513364591476,0.5271119096274008,0.48428580365025387,0.5646904015654088,0.5567926282474702,0.5579398465258686,0.5586918844330986,0.5479744944244578,0.5615928806099288,0.5684554044911737,0.5329609935457784,0.5614892790958719,0.559073065243249,0.5573955621552934,0.5587583516337395,0.5557268150160432,0.5605674896639631,0.5705153954145114,0.5648494182003965,0.5723059386996594,0.5761294238020838,0.548203611302866,0.5655397242519884,0.4681092525913634,0.43298885803605847,0.49315820502178664,0.5335563182878517,0.4820010078795731,0.558071953131359,0.5506682426635212,0.5694837777644586,0.545235908900155,0.5429732469896086,0.5625670193416563,0.5588451901771846,0.5582942677958174,0.55751381390344,0.5491913739386418,0.4614196381135282,0.5588547511178942,0.5582387792232789,0.5138795076474509,0.56251506319164,0.5641725668469357,0.5511611628350777,0.5548583112945195,0.5586977778969091,0.5484536047190061,0.558746389497925,0.5410122053939175,0.5582835735880654,0.5559461363947126,0.44140037487513806,0.5340996242824124,0.5645035435834852,0.5261890556852132,0.558418236923615,0.5518412317832376,0.5588891994326685,0.563485423359961,0.5596847661455866,0.527585387750729,0.4391641564870467,0.47980937590669204,0.5371323888160799,0.570045814933502,0.5124062553440374,0.5473810562535302,0.5366237732415189,0.5550963590763067,0.5579962748586491,0.5225869709996938,0.4865299204317171,0.558645347343727,0.5608225687667242,0.46853056914222074,0.430059626405493,0.4329208682893171,0.5589989141676388,0.5579442728932944,0.5584196094333913,0.5008830787662333,0.49240288715743813,0.5582796163110292,0.5583509400386353,0.5579754105211916,0.5680789475145515,0.5583099295877112,0.5521833820682334,0.5695244066570401,0.5420354612470893,0.5551700891247303,0.5621965269364532,0.5203065663365893,0.428218179231366,0.5584116213555159,0.5352432618899348,0.5518775536144551,0.5317870835870449,0.5376526570929817,0.5244614067401465,0.5058391457415595,0.5124019483170944,0.4926477863969594,0.5588493329391001,0.5585020774819871,0.5586531021690999,0.5556842748374662,0.5410512195672372,0.5605916861916586,0.558326094154756,0.5607025491024245,0.5586750043167302,0.5600763366806829,0.4954847073123424,0.5495869648601934,0.5590412442132768,0.561302636908555,0.5622293143011984,0.4669286936979705,0.5596078908480112,0.5341721621804729,0.5688450817675813,0.5575983969101442,0.5580400197040536,0.5623197745202639,0.5646161788639986,0.5657193940703258,0.5576142770193523,0.5610814690801459,0.5585691372179515,0.5694731971814784,0.5569165216007478,0.5573619476342601,0.5597099512468267,0.5632893322215788,0.5629023802189337
