,celltype,arntl1b,arxb,atoh1a,barhl1a,barx2,bcl11aa,bcl11ab,bhlha15,cdx4,cebpb,creb3l1,ctcf,cxxc5a,dbx1a,dbx1b,dlx3b,dlx4b,dlx5a,dlx6a,dmbx1a,dmrt2a,dmrta2,drgx,e2f5,ebf1b,ebf2,ebf3a,egr1,egr2b,egr3,egr4,emx3,en2a,esrrga,etv2,etv5a,etv5b,eve1,fezf2,fli1a,fosab,fosb,fosl2,foxb1a,foxc1a,foxc1b,foxd1,foxd2,foxd3,foxd5,foxg1a,foxi1,foxi3a,foxj1a,foxj1b,foxl1,foxn4,foxo1a,foxo1b,foxo3b,foxp4,gata2a,gata3,gata5,gata6,gbx1,gcm2,gfi1aa,gli3,grhl2b,gsc,gsx1,hand2,her6,her9,hey1,hlfa,hmga1a,hnf1a,hnf1ba,hnf1bb,hnf4g,hoxa10b,hoxa11b,hoxa9a,hoxa9b,hoxb10a,hoxb7a,hoxb9a,hoxc4a,hoxd10a,hoxd11a,hoxd12a,hoxd4a,hoxd9a,irf2a,irf4a,irx1a,irx1b,irx3a,irx3b,irx7,isl1,isl2a,jun,klf17,klf2a,klf2b,klf6a,klf7a,lbx1b,lbx2,lhx1a,lhx2b,lhx5,lhx6,lhx9,lin28a,lmx1bb,mafba,mecp2,mef2aa,mef2cb,mef2d,meis1a,meis2a,meis3,meox1,meox2a,mespab,mnx1,msx1b,msx2b,mxi1,myf5,myod1,neurod1,neurod4,nfic,nfil3,nkx1.2la,nkx2.2a,nkx2.4a,nkx2.5,nkx2.7,nkx3-1,nkx6.1,nkx6.2,noto,nr2f5,nr5a1a,olig2,onecut2,onecut3b,onecutl,osr1,pax2a,pax2b,pax3a,pax3b,pax5,pax6a,pax6b,pax7a,pax7b,pbx1b,pitx3,pnx,pou3f3b,prrx1a,rarga,rfx4,rfx6,rorc,runx2b,runx3,rx2,rx3,rxraa,rxrgb,sebox,six1b,six3b,six4b,six7,smad3a,snai1a,snai2,sox10,sox11a,sox11b,sox13,sox17,sox19a,sox19b,sox2,sox3,sox32,sox6,sox7,sox9b,sp5l,sp7,sp8a,sp8b,sp9,stat5a,tal1,tbpl2,tbx1,tbx16,tbx18,tbx2a,tbx2b,tbx3a,tcf3b,tead1b,tefb,tfap2a,tfap2c,tgif1,thrab,tlx2,tlx3b,tp63,twist1a,twist1b,twist2,twist3,uncx,uncx4.1,ved,vent,vox,wt1a,zbtb18,zeb1a,zic1,zic2a,zic2b,zic3
0,NMPs,0.5240028152312374,0.5241590758279167,0.5219727444928385,0.527766751021508,0.5219854218718246,0.5214182325678218,0.5220142380760671,0.5219444547663482,0.418187516395218,0.5215877375725428,0.5246223222278177,0.437824665104767,0.5222208109051205,0.5232731965909645,0.5221811001050923,0.4167283535922551,0.5185386277745714,0.5219581847755379,0.5220481660635363,0.5232392071409719,0.5252054104772729,0.5221340010303329,0.5220948811509375,0.5197380740509712,0.5214928687190528,0.5241787875790828,0.5219824323835094,0.5257320914424458,0.5193822775491125,0.5220604339916742,0.5230617107302996,0.5226307215113924,0.5227926544067736,0.4819927332544726,0.46559501314303026,0.43480379284182297,0.4242833873460889,0.43816644497756563,0.5225501995560676,0.5224002314962434,0.5161337432575341,0.5217165756302773,0.5219664451712186,0.4652722331294283,0.4440207666131851,0.5170540802953782,0.5220252318118496,0.5233640075561002,0.4808359196943142,0.43247123404002347,0.5217020686737792,0.5250708348421254,0.5228413507208545,0.5238642003880571,0.523562796213725,0.5215553080357666,0.5220819947818925,0.5215059806671357,0.5219681986887376,0.5236071518516592,0.4741645428193068,0.5176890011284005,0.47676364285554085,0.5228336442349899,0.521680152021931,0.5076588253700479,0.5218926970016865,0.521915627862567,0.5135990744068483,0.5226543575702509,0.48428579623338386,0.5219388334772581,0.5213206166803875,0.4569306070853121,0.4473666582059218,0.5234318922025881,0.5221473018868789,0.418970585863559,0.522014946969638,0.4854892333135506,0.5217803131614267,0.519461282372201,0.49070978302806545,0.5240551519764619,0.4429042167339537,0.4595603195446889,0.4511842795123199,0.4527403862972089,0.43837949235737705,0.5223767139539124,0.4894349509853265,0.5214496757470188,0.5212348869273786,0.4446546485335987,0.43796185789135117,0.5078088856893387,0.5223193975065256,0.5223570851859933,0.4213719009330295,0.48799002876278624,0.523305626377234,0.41314872178382894,0.521732152540621,0.521917489154033,0.5237043072183216,0.5219129175712609,0.5214315012470597,0.5221021551875371,0.5216703241414864,0.5260766729698765,0.5219086264451284,0.4394530328235747,0.5221533402317879,0.5225384842589021,0.5227150527287541,0.5221249259377763,0.5216267005635877,0.4235662826613194,0.5231707889440015,0.49472792242653757,0.5227158055570219,0.5221280504505793,0.5220161509484978,0.5163075560883298,0.46790679084291004,0.4265064000769502,0.4549670686819696,0.43004508852982387,0.5217426620877099,0.5212662183993431,0.5255864583907253,0.44768913041883635,0.524920720461132,0.5217657747460346,0.44202336609823334,0.5111086955411925,0.5218162561489704,0.519383354563701,0.5220509497730078,0.5215772058406105,0.5093414510129037,0.5229206876601592,0.5213517458023922,0.5218737018441008,0.5254818369083679,0.5220582833227668,0.5238136960533843,0.5222083647292596,0.45429690095693076,0.4555123440836613,0.5215684049555586,0.5199257326821367,0.5259256389748987,0.5218842356330383,0.5229884520067969,0.5233394997129667,0.5270281359291238,0.5222920762843162,0.5145884942001755,0.5232439863668086,0.5218578448754608,0.46693000645447014,0.441425459853359,0.5223557878928874,0.5241023947889464,0.5209534786971698,0.5218509636926875,0.455477201680618,0.522148167268756,0.5242044189615881,0.4052763667201441,0.45871262166927446,0.5219280726840931,0.522089357393782,0.5218329857828727,0.5212213778905336,0.5220092423679354,0.4445086930595615,0.4780845815674358,0.5197698175318044,0.5228781881488457,0.523949748465217,0.44233362157136563,0.513156456929636,0.5234579054121259,0.5023842078760468,0.4914053741381538,0.5218884216023233,0.5214652696230258,0.4158024829773682,0.4294333582028648,0.4792829516813431,0.5222946983065774,0.4221803159733604,0.44379915975567125,0.4487717747602707,0.45126793814136124,0.5209343681623024,0.5196887056959222,0.5218681495437836,0.5149991291473885,0.47724626005678294,0.5191161232979836,0.5231312275312603,0.5083178950516851,0.48405406485834307,0.5217389662931714,0.5220909027809616,0.5217645719045947,0.5218553560179034,0.40253328501692304,0.5218598847290259,0.5213840946030208,0.5218836606108627,0.5225788606306895,0.455133408199643,0.5277450479001543,0.5220607640626832,0.46670849344342935,0.4483010131358021,0.4275360617198937,0.5264367628751554,0.5215994090997818,0.5220062753489764,0.5262739965076507,0.5213186523693765,0.5221351370146785,0.5218188291461435,0.5219931846908917,0.522029736234324,0.5222572845594068,0.439002001776856,0.41579563318986035,0.44276933323693074,0.522155284175472,0.524258228214987,0.5204782877380155,0.5249303782176593,0.4992049333144478,0.5055959157700195,0.5274511062716735
1,PSM,0.539813096457855,0.5334164898488735,0.5413709050616756,0.5413895085472419,0.5414004615789986,0.541481860170113,0.5413271676599963,0.5414241314142368,0.4361110595019742,0.5415970070772017,0.53883602230737,0.4595828198364469,0.5420387556914427,0.5368202779961307,0.541749340342618,0.42341824200962097,0.5394813752270959,0.5413210658092057,0.5416298770685183,0.5421594711626578,0.4476508988179189,0.5416365374188338,0.541285863040353,0.5413648575478799,0.5417886585443423,0.5423167688038929,0.5414403164177564,0.5399491301036122,0.5392367642007535,0.5414951928376336,0.5411762207121636,0.5433191247534718,0.5390620685591969,0.5167212184729943,0.45565053952161305,0.4986725309761545,0.4364849022664312,0.44372671668376173,0.5421011725644673,0.5367054844121021,0.5387535536318651,0.5419291556779947,0.5389708325480841,0.466782347517604,0.4357551193769225,0.4679770604948229,0.5416084874369961,0.5405092694508136,0.507401493319787,0.440278061896028,0.5417396698217383,0.5412646555184437,0.5399017331645468,0.5411111572686621,0.5417285818990966,0.5415247364126402,0.5414170201506227,0.542083498226267,0.5414010565117603,0.540575580932744,0.5199827441530278,0.48158153807261356,0.4829110721499859,0.5422517799576313,0.5415662636359337,0.5351908215931774,0.541302801389498,0.5406981465139225,0.5098041925351153,0.5420654886892882,0.5027312678910723,0.5417699566069605,0.5412669745056015,0.4915122770805445,0.5000912186990014,0.5401877687712906,0.5413717726243682,0.42927679413225156,0.5417347890422753,0.508776142723236,0.5416447489933539,0.541673057143673,0.4749654124909095,0.512598936227516,0.44964780207851723,0.4602275725198641,0.4644460416735762,0.4320578213784856,0.4580290571535453,0.5409096707100121,0.519461302859877,0.5390074004983436,0.540949799550025,0.49290390432752945,0.4405162651401846,0.5213897947770811,0.5416311042047844,0.5462496000199821,0.4906742406011572,0.5287687854268551,0.5383493041974569,0.43039845459995196,0.5413808109210553,0.5422546558643909,0.5401702638689811,0.5389460687446135,0.5412254093122117,0.5415623430527635,0.5389889144966874,0.5410643544897082,0.5414873060950692,0.42739331367098027,0.5422401237615658,0.5414953135353836,0.5394514348702301,0.541841991074009,0.5413703030732059,0.4461710567037734,0.5411873093086046,0.49633232099712504,0.5416715226221565,0.542155498225661,0.5419780807593734,0.5061676133458939,0.44029845192741274,0.48264225357833995,0.4935926976692869,0.4305520794260266,0.5413561808438476,0.5408990097275944,0.5397516543122883,0.4728815455341531,0.5401514483149956,0.5421531840606043,0.44411264889953456,0.5178168357152603,0.5411887343956957,0.5414546790501188,0.5417196261020863,0.5418825433992375,0.5166000964230718,0.5407947455955601,0.5420217755852389,0.5412727449223644,0.4659469562911546,0.5428360990163025,0.5402098668021925,0.5424092478066633,0.47909688297738673,0.4811415171185144,0.541413961430351,0.5283165773378932,0.5420409971604429,0.5416353271466722,0.5415984251423872,0.54020990654084,0.5361044996062377,0.541830680512571,0.5337221670706056,0.5404503337869375,0.5413806274859125,0.5153001020557081,0.4794885956535517,0.5418471628115745,0.54241778003921,0.5424284816907307,0.5414411844619161,0.5022996332545644,0.5420268962962141,0.5415271298030696,0.45628303447155644,0.5333859217836354,0.5413864659133707,0.5413861149130117,0.5418971030379766,0.5409274542498899,0.5414487337781206,0.4404075706224306,0.45670366700107196,0.5420888062997694,0.5417448589167411,0.5430367401091099,0.45136059579337645,0.5392876732085047,0.539782127369987,0.5210197510597642,0.5046457943782187,0.5418816298494756,0.5416625308944033,0.45082040804286533,0.44702996846662685,0.5347003961480669,0.5412263565020567,0.44601737302743444,0.47081158031799236,0.4850672588312078,0.5076886552043363,0.5391794013392373,0.5395305842797521,0.5412199240027527,0.5195032916284857,0.46480848556013055,0.5406772274793763,0.5406781137797888,0.529353994893205,0.5321787097755448,0.5405683994583823,0.541675341243012,0.5415317437944558,0.5418576551677485,0.4617030679715864,0.5414358231623303,0.5417622037369796,0.5414963299578092,0.5419842152409482,0.46282188464019813,0.5222750315887147,0.5417200534513399,0.47899805917217403,0.47937280638962365,0.43930494303579526,0.542051047700831,0.5412933541859768,0.5415080232208885,0.5384878390211295,0.5424618452186302,0.5412341176869407,0.5412943151589735,0.5413472668740473,0.5414778745481065,0.5422400557009164,0.43835739515679184,0.47053051195602885,0.437054814252641,0.54174939506314,0.49262647400793674,0.5417955439673657,0.5413231910791577,0.5369485457779669,0.49317978752402647,0.44897865005257526
2,neural_posterior,0.5132521282790641,0.5123667334176064,0.513301191194143,0.5139384431660569,0.5133957760872835,0.5075170336699847,0.5135262787604303,0.5130635844827965,0.3790390961830333,0.514082576373145,0.5132562192411378,0.4078752974660442,0.5131463778560976,0.5108546410828748,0.5134701913590967,0.3691987965235591,0.5133211498249701,0.5132509494453611,0.513340832191944,0.5140955897299471,0.5118323038527199,0.5139293372504549,0.5136941286392882,0.5115113974063916,0.5134943605472191,0.5120026098163848,0.5115562340664959,0.5124969781633388,0.49986949038005185,0.5132588741616696,0.5133317507684326,0.5043157202665536,0.5118382657856609,0.5103970831825068,0.44662777639176976,0.40892963976702096,0.3893950945171332,0.4171814081634027,0.5140293191001245,0.5118555908184365,0.5122553510274745,0.5134241881790003,0.5136796312588469,0.405549739674154,0.4379366296652393,0.5055536378126709,0.5138634088231946,0.5123358938805926,0.46240922565998627,0.41140978071351214,0.5142108954749192,0.4924745577025793,0.509239186342606,0.5080612624686071,0.5121255697231353,0.512825280924332,0.5124905003137044,0.5138946745389055,0.5125703760211786,0.5151846411904616,0.4524219151607586,0.431833372018669,0.45489139822366836,0.5129674541806204,0.5136662568735989,0.4723499947946137,0.5135849948351648,0.5137917160057743,0.48768474418777813,0.5135281322607484,0.504029010180156,0.5133150990634298,0.5142802286978647,0.47028980911574736,0.4193491627680378,0.5121781034093786,0.5139026607560822,0.37830611997973357,0.5138747261756635,0.4992875821327268,0.5135446665354133,0.513275866953809,0.48824768184373285,0.5002502959196355,0.39603541596772734,0.4283296319975337,0.4088368525628584,0.41406902402323603,0.4120362618611352,0.5138685006310691,0.5062378436307071,0.5117094416673903,0.5106396019788687,0.39155338844946863,0.39916017780683793,0.4147139057218704,0.5138065453866709,0.514850732779116,0.38327969949108776,0.4259081109048998,0.48053347932663953,0.37903193575124705,0.5136089633706754,0.5138170807737968,0.5059246926330782,0.5162510916043223,0.5141292253028725,0.5137416072716664,0.5132749665448052,0.5121010699896533,0.5144548047920378,0.4221311887691068,0.5134107546638667,0.5117729549097241,0.5142772115494186,0.5133539709656462,0.5134733901545732,0.3819222461325272,0.48652649179023916,0.48727521578858307,0.513587930916271,0.5136919030396278,0.5138775077491827,0.5097029977045343,0.4581550977361925,0.43217747908290305,0.43555284623285484,0.40095764275074597,0.5131923392970984,0.5115387020957429,0.5138500686377698,0.39381259287186837,0.5139703046374389,0.512787227924341,0.4543370342821809,0.4985807081993619,0.5135265151042374,0.5134806722812238,0.5139467290210715,0.5140637581623001,0.45362845543081554,0.5138472636562709,0.513786113151357,0.5133389408732171,0.508249861729027,0.5127289742986237,0.5121704674007463,0.5115971466874095,0.4765424575864838,0.47732044926817,0.5132102578972179,0.5029556259899429,0.5116112244488196,0.5132773637676865,0.5133914400373825,0.5148853724724215,0.5151563854113029,0.5140232671548517,0.5284854736635446,0.5195603915100804,0.5126178585130259,0.43248913252435534,0.42684350145634686,0.5137302186926246,0.510345255907119,0.5168209292511816,0.5135416235329381,0.44605747896626796,0.5140038470730223,0.5121763028078595,0.4226867956762645,0.44234857178492254,0.513307565972739,0.5139123500379552,0.5136744860078105,0.5128304172646242,0.5131700838015568,0.41610195431624536,0.4939397938060037,0.5172326442097309,0.513462016595179,0.5116742529011804,0.390817484315931,0.5123929457638369,0.5135420729495787,0.46705785165660135,0.5053514650766623,0.5129337725122508,0.5133991354919563,0.3697434143597255,0.43388055478557913,0.47077358009233244,0.5132169461672634,0.37580603179770783,0.39436755527800643,0.40358776291729104,0.39448825245253566,0.5144764728841588,0.5138608908565215,0.5106666323532746,0.5100107587479082,0.3955413456640639,0.5145973980453119,0.4959011029808256,0.44813761841989413,0.4986111041263041,0.5136506277802676,0.5137887828397731,0.5141656265502822,0.5133212874041505,0.4246160600530163,0.5133712010605544,0.5131737336484588,0.5137921359076872,0.5138335298607157,0.45155538738978346,0.5150268932924575,0.5125487050318862,0.452580637001733,0.4679565981076293,0.3883384156314393,0.48127356114380565,0.510986254642339,0.5133631373856794,0.5165873619704583,0.5125766882461106,0.5137502651972772,0.5124678964683931,0.5133158077625398,0.5136888092761089,0.5093979346067822,0.38664066362003907,0.44277227061541663,0.3844259426633267,0.5130629178128604,0.5132329150445318,0.5158107999583622,0.5097357648418938,0.4638457397183316,0.40244613469236395,0.5041077266025127
3,somites,0.4238551859791446,0.431947906052974,0.4290579501618223,0.4261118056947852,0.4292214409234645,0.42745385336632946,0.4290705966827548,0.42923823662457433,0.3153680509640877,0.4299121655232688,0.43348973088677123,0.3521412391489515,0.42831217696781804,0.4289826877979468,0.429487738299357,0.2986239992321016,0.4306786712750654,0.4302433224277846,0.42921304724525267,0.4310620736153507,0.3301933166276761,0.42920645079252284,0.42913513171819523,0.4300896790482457,0.4290649062558863,0.4289654272460964,0.42305498069290776,0.43328619341890723,0.4315658739395491,0.42911100986736983,0.4293128331846933,0.4293116581666987,0.4305616570866743,0.429526042690387,0.4276138280059722,0.3394672155664471,0.32380319252265855,0.3732428670126856,0.4265535069446721,0.43434327670541856,0.4321449107159626,0.42917532138750747,0.42943719295763766,0.4064039405704672,0.31913828094172225,0.39157593009793845,0.42875308875186374,0.3651172024234895,0.3864212652440939,0.3270635871252174,0.4291153495794424,0.4312304377821239,0.4295901661994696,0.4301611432542817,0.43006829551675335,0.4290348658743597,0.429259566699855,0.43016215938106683,0.42933316721636,0.4078526915042846,0.40652177562556635,0.4040825936454422,0.4107279553765239,0.42982888831931954,0.42623606678522946,0.3978530642320091,0.4293008627458886,0.42940332495799555,0.4099137768769662,0.42928781119904397,0.42884914809514696,0.42915584647914773,0.43016549147558536,0.38442907257763365,0.3845038730084938,0.39675064032701735,0.42934296554787316,0.3030177107444627,0.4286025449017314,0.42359434567950544,0.4304506290990529,0.42923512623105226,0.39986940395525167,0.43230767685111793,0.33090778893609313,0.36355165040072923,0.3545828262405652,0.3423208404295781,0.3357769501074069,0.4291524994815743,0.4174494432466488,0.4301339223302277,0.42974408930584557,0.3690607389533407,0.33935241914363723,0.4182099016948833,0.42989252452497423,0.4319626338820011,0.3533971952499203,0.4160375306352375,0.42962912092759115,0.36670092898692386,0.4295250823747171,0.4298017852498626,0.43002791284325137,0.43046310420200506,0.42992217098592567,0.429142495453541,0.43026425721002143,0.4311204888880512,0.42932493565813756,0.3266817563203466,0.4292091271404399,0.4326194107804606,0.4293029458867207,0.43016671514510696,0.4290989154351,0.3527315769336703,0.42703217796175685,0.42045092224895103,0.42924373068481114,0.4329233842859566,0.4290938335989462,0.41342379431942966,0.31300886376013537,0.33323268617453905,0.3051484514957459,0.3347343690587839,0.42902855122498645,0.44549691559693794,0.4280361261593138,0.4118186224347523,0.43043433108461293,0.4300064870685266,0.35587030564775307,0.43000301740065183,0.42925661228183115,0.42915945153861274,0.42934047562823485,0.4295917822786755,0.429224554345846,0.42840187118983386,0.4284630402959925,0.4291319086110695,0.414050649095864,0.42868904262362095,0.42901489220574995,0.4300542723407415,0.41406075226015704,0.31491584732072675,0.4292463724539622,0.43431182651646927,0.4310578686803634,0.4290860125600822,0.4292655461646779,0.43064674197528885,0.4224149580913395,0.4295431770320186,0.32827455816510726,0.433135589528233,0.42911013872316345,0.4015080538045326,0.42048225972035475,0.42909466685397735,0.3438179749012194,0.34398895741830754,0.4291413042681993,0.4007834033933263,0.4297367581328149,0.431598953212055,0.37626846889208343,0.43252893278180826,0.4294192235212733,0.4293827677653814,0.4290354733902745,0.4289159599840092,0.4291169971197023,0.31978156533685687,0.3132473597596963,0.3772896149142249,0.429087819500236,0.39320140211460997,0.3544885789518116,0.4279208484483058,0.428792522655823,0.4317691878227778,0.42666344402887085,0.42986439912182894,0.4295311622236192,0.3155090020930438,0.33439042857249496,0.42202388003310704,0.42901423816147677,0.31858367339952465,0.3882064378574647,0.36027476465443536,0.403274438800795,0.4303287478917963,0.43023453502360876,0.43016518355959954,0.4313591469928697,0.3391143800368732,0.4316489133771877,0.4304687666751513,0.41729761219076955,0.42815052851196816,0.41880098830054496,0.42867077891028593,0.4291944784568329,0.42937015744582496,0.37459749209944737,0.42841623483517866,0.42946518609911494,0.43000241947637363,0.4300990556109987,0.3511394050670053,0.37415734165169495,0.4291185843592637,0.4207722105181835,0.4300173234517967,0.3145085432228568,0.42558803121422817,0.4275291028471797,0.4291193715336261,0.42673578996590084,0.4263611607158447,0.42886702136220906,0.42907602736166006,0.42925783849032345,0.4293005394613002,0.36596886647760024,0.31442373856994926,0.3960468155029358,0.31162960258257355,0.4265692824136172,0.40921942050341686,0.42905180756677713,0.43039987774951755,0.43606527827007135,0.38999183317216024,0.4154792171545801
4,spinal_cord,0.5260994755464317,0.528237900810632,0.5262406536380697,0.5186932647746001,0.5258328438094196,0.5233421234920045,0.5263854597944397,0.5259773874083244,0.47009983730635185,0.526292688671101,0.5257673999005648,0.4751963298606506,0.5257907510750675,0.532650575970629,0.5252125646775935,0.44930365806921396,0.5255357123533948,0.5262260444082371,0.5267792843442213,0.525858368673613,0.5281669151743761,0.5265562639433783,0.5262861224226061,0.5269289112064889,0.5259947839885332,0.5213688448277705,0.5278456604937273,0.5254271141330358,0.528752034513015,0.5260944428914395,0.5261753516490565,0.5260951817175685,0.5258951153761399,0.47902936655693196,0.498127949201381,0.500030565481592,0.4729544962437659,0.47249429997837444,0.5243517864029613,0.5280731857546397,0.5281198120691533,0.526069990889495,0.5264331738861275,0.48029704805084816,0.49364998613462113,0.5352247916003876,0.5263784383859331,0.5258520036629041,0.5008664433114489,0.4941385278739024,0.5271924358862164,0.5281047392260426,0.5452750795404584,0.5228412204614017,0.5290240482570744,0.5261673527725651,0.5261991312753596,0.5265331335382385,0.525759854331962,0.526261466330974,0.46270907841130005,0.5254748747335496,0.5033630991124509,0.5278304200044545,0.526028952967663,0.5133434923576021,0.5260337722905353,0.5264160125188375,0.4861882941085756,0.5265898042849028,0.5268284000496064,0.5255137644445884,0.5259729056879788,0.5298424647423469,0.4730504613310157,0.5300842934131754,0.5259915811821501,0.46078953225437463,0.5263420611066251,0.5268749590829149,0.5260499247980784,0.5262720485849745,0.5242791538009919,0.5321844272053011,0.48844909816479704,0.4972391482495123,0.47965175752462264,0.4990782708967647,0.4931436075943837,0.5260857349230309,0.5303038877760364,0.5255935406698349,0.5266910129577715,0.48977932234348126,0.47675914560011523,0.5118350344868555,0.5258830800042823,0.526385127604755,0.485752538765412,0.510271115717028,0.5144709462585262,0.4543985339875834,0.5263404637906048,0.5263298444545482,0.5306768950797001,0.5056196908856745,0.5260366292083689,0.526494586169674,0.5258751297331298,0.5266946000188389,0.5261155428432858,0.4870820719001037,0.5264187318918613,0.5255351900235014,0.5269389482551999,0.5263029410180825,0.5259305889657682,0.46882175198692644,0.5264292283499046,0.5163562678720888,0.5262770743349082,0.5266173894046643,0.526289179924992,0.5315895109500759,0.5184488639396811,0.44057932439959757,0.46671001329550754,0.4914077158539001,0.5263441704076975,0.524881645959239,0.5266367007319752,0.4850264733807105,0.5248253514544655,0.5261553900587772,0.5252810700382622,0.5348173462303275,0.5259880877678009,0.525963527685965,0.5263847823421488,0.5251068382544125,0.532030383927894,0.5264450754087637,0.5258970760151505,0.5261962686370432,0.5111177922738894,0.5257289600746923,0.5236308965490613,0.526725299812718,0.4967425775626509,0.4944216599928631,0.5259834050717846,0.5370353036409184,0.5228088607614864,0.5262769539396412,0.5259696686268981,0.5270458704041195,0.5287247034539686,0.52671439485121,0.5064643717729093,0.5219662006915956,0.5265292102575307,0.4287901857795842,0.4381307123169187,0.5271622136541952,0.5271254831672633,0.5228492494550028,0.5261806469395833,0.5119340527886173,0.526550876785705,0.5260370576800103,0.5078100461186467,0.45924120508909166,0.5261996164140748,0.5263428023429367,0.5262109711685587,0.5260011688559589,0.5265101595291641,0.474006836724691,0.502780426487339,0.5243013977697186,0.5261501407764617,0.5341726752878607,0.470563226746103,0.5256674570639815,0.5173612491321913,0.5168303872515125,0.5325424027426118,0.5261419663009642,0.5256346076750923,0.453636972734608,0.4803261744049728,0.44589879102934415,0.5263792647171368,0.4608231575696272,0.47778074939068926,0.49454147826626343,0.46721251582336626,0.5192429944225898,0.5267194168089213,0.5279847613628418,0.5370317232335577,0.5141096561922912,0.5176420568281678,0.5211554383876315,0.4920403365928098,0.5174985058432817,0.5256407713923297,0.5264479403713666,0.5265135187793141,0.5257375687590634,0.4945764509855492,0.5258183935278722,0.5256116198636875,0.5264639108488025,0.5260399926892781,0.4939504083433715,0.5095080498397866,0.5248547158648897,0.4913159641549183,0.4871026031675283,0.4711548707298237,0.5018394618164778,0.526145870682744,0.5261469978194548,0.5239135061209494,0.5255777003865062,0.5262890608454222,0.5259823558028539,0.5261714686653197,0.5263939578550254,0.5272643711550495,0.46312779496321144,0.49102536296160004,0.4614329070204519,0.5264960073744956,0.5273905622959539,0.5268285900693594,0.5300079062191236,0.5376370329217287,0.50215758100398,0.5274392077357569
