TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
cux2b_pax3a,0.0,0.0,0.004079809,0.0,0.0,-0.019677138,cux2b,cux,neural_posterior
cux2b_cntfr,0.034122244,0.0,0.0,0.0,0.0,0.0,cux2b,cux,neural_posterior
fezf2_fgfr2,0.0,0.0,0.0,0.006835026,0.0,0.0,fezf2,fez,tail_bud
fezf2_vim,0.0,0.0,0.0,0.007232873,0.0,0.0,fezf2,fez,tail_bud
fezf2_pmp22a,0.0,0.0,0.0,0.0,0.011584602,0.0,fezf2,fez,tail_bud
tead1a_fkbp9,0.0,0.0,0.0,0.0,0.008597321,0.0,tead1a,tea,PSM
tead1a_prickle1b,0.0,0.0,0.0,0.0,0.010765984,0.0,tead1a,tea,PSM
tead1a_cdon,0.0,0.0,0.0,0.0,0.0,-0.0342416,tead1a,tea,PSM
samd11_rpl18,0.0,0.0,0.0,-0.006439286,0.0,0.0,samd11,sam,tail_bud
samd11_ybx1,0.027369566,0.0,0.0,-0.008322149,0.0,0.0,samd11,sam,tail_bud
samd11_ube2c,0.0,-0.027486198,0.0,0.0,0.0,0.0,samd11,sam,tail_bud
scrt1a_sulf1,0.0,0.0,-0.004508674,0.0,0.0,0.0,scrt1a,scr,NMPs
scrt1a_id1,0.0,0.0,-0.0087808585,0.0,0.0,0.0,scrt1a,scr,NMPs
scrt1a_marcksl1b,0.0,0.0,0.0,-0.008497706,0.0,0.0,scrt1a,scr,NMPs
scrt1a_nop56,0.0,0.0,0.0,0.0,0.0,-0.018092727,scrt1a,scr,NMPs
scrt1a_serbp1a,0.02455604,0.0,0.0,0.0,0.0,0.0,scrt1a,scr,NMPs
ved_tmsb4x,0.0,0.019275675,0.0,0.0,0.0,0.0,ved,ved,spinal_cord
ved_hmgb2a,0.0,0.019342452,0.0,0.0,0.0,0.0,ved,ved,spinal_cord
ved_nop56,0.0,0.024486475,0.0,0.0,0.0,0.019480241,ved,ved,spinal_cord
ved_qkia,0.0,0.0,0.0,0.0,0.0,0.01910515,ved,ved,spinal_cord
ved_rplp1,0.0,0.0,0.0,0.0063013406,0.0,0.0,ved,ved,spinal_cord
ved_tenm4,-0.0344065,0.0,0.0,0.0,0.0,0.0,ved,ved,spinal_cord
im:7142702_pmp22a,0.0,0.024713509,0.0,0.0,0.0,0.02556558,im:7142702,im,somites
im:7142702_cnbpb,0.0,0.02990408,0.0,0.0,0.0,0.018717032,im:7142702,im,somites
im:7142702_fgfr3,0.0,0.030806355,0.0,0.0,0.0,0.0,im:7142702,im,somites
im:7142702_atp2a1,0.0,0.0,0.0,0.0,0.0,0.016913552,im:7142702,im,somites
im:7142702_sfrp5,0.0,0.0,0.0,0.0,0.0,0.02609323,im:7142702,im,somites
im:7142702_tenm4,0.06814524,0.035253447,0.0,0.0,0.0,0.023966992,im:7142702,im,somites
bach2a_mcm2,0.0,0.0,0.0,0.009150643,0.0,0.0,bach2a,bac,spinal_cord
bach2a_tenm4,0.02347255,0.0,0.0,0.0,0.0,0.0,bach2a,bac,spinal_cord
bach2a_rplp0,0.0,0.0,0.0,0.0,0.0,-0.019572085,bach2a,bac,spinal_cord
bach2a_apoeb,0.0,0.0,0.0,0.0,0.0,-0.03135285,bach2a,bac,spinal_cord
bach2a_slc25a5,0.0,-0.024130948,0.0,0.0,0.0,0.0,bach2a,bac,spinal_cord
bach2a_rps20,0.0,-0.024223257,0.0,0.0,0.0,0.0,bach2a,bac,spinal_cord
bach2a_hspa8,0.0,-0.031270437,0.0,0.0,0.0,0.0,bach2a,bac,spinal_cord
prox1a_mycn,0.0,0.0,0.0,0.0,0.0,-0.01708635,prox1a,pro,PSM
