TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
en2b_rack1,0.022489993,0.0,0.0,0.0,0.0,0.0,en2b,en,NMPs
en2b_h3f3b.1,0.019240528,0.0,0.0,0.0,0.0,0.0,en2b,en,NMPs
en2b_rpl3,0.027683472,0.026200328,0.035046358,0.02392225,0.0,0.027718006,en2b,en,NMPs
nkx6.2_tubb4b,0.0,0.0,0.0,0.038557407,0.0,0.0,nkx6.2,nkx,tail_bud
nkx6.2_rps16,0.0,0.0,0.0,0.022254046,0.0,0.0,nkx6.2,nkx,tail_bud
nkx6.2_hmgn2,0.0,0.0,0.0,0.021052327,0.0,0.0,nkx6.2,nkx,tail_bud
nkx6.2_hspe1,0.0,0.0,0.0,0.026048383,0.0,0.0,nkx6.2,nkx,tail_bud
nkx6.2_hspb1,0.0,0.0,0.022757523,0.034407068,0.0,0.0,nkx6.2,nkx,tail_bud
nkx3-1_rpl7,0.019719336,0.0,0.0,0.0,0.0,0.0,nkx3-1,nkx,neural_posterior
nkx2.4a_eef1a1l1,0.029640652,0.023689575,0.022478191,0.0,0.021997793,0.0,nkx2.4a,nkx,neural_posterior
nkx3-1_zgc:174855,0.026707577,0.027093714,0.0,0.0,0.02536925,0.0,nkx3-1,nkx,neural_posterior
nkx3-1_chsy1,0.0,0.0,0.021252524,0.0,0.0,0.0,nkx3-1,nkx,neural_posterior
nkx2.4a_alcamb,-0.036892675,-0.023335999,0.0,0.0,0.0,0.0,nkx2.4a,nkx,neural_posterior
nkx3-1_h3f3b.1,0.022052063,0.0,0.0,0.0,0.0,0.0,nkx3-1,nkx,neural_posterior
nkx3-1_rpl11,0.023147764,0.0,0.0,0.0,0.0,0.0,nkx3-1,nkx,neural_posterior
nkx2.4a_id1,0.019577162,0.0,0.0,0.0,0.0,0.0,nkx2.4a,nkx,neural_posterior
nkx2.4a_ran,0.01921481,0.0,0.0,0.0,0.0,0.0,nkx2.4a,nkx,neural_posterior
nkx6.1_rps16,0.0,0.0,0.0,0.021104703,0.0,0.0,nkx6.1,nkx,PSM
nkx2.7_gdf11,0.0,0.0,-0.021200096,0.0,0.0,0.0,nkx2.7,nkx,PSM
nkx2.7_alcamb,-0.022120818,0.0,0.0,0.0,0.0,0.0,nkx2.7,nkx,PSM
nkx6.1_zgc:174855,0.0,0.0,0.0,0.0,0.02359375,0.0,nkx6.1,nkx,PSM
nkx6.1_npm1a,0.0,-0.027653152,0.0,0.0,0.0,0.0,nkx6.1,nkx,PSM
nkx6.1_tubb4b,0.0,0.0,0.0,0.0,0.02187128,0.028617809,nkx6.1,nkx,PSM
nkx6.1_hspb1,0.0,0.0,0.0,0.025514293,0.028108235,0.024143137,nkx6.1,nkx,PSM
nkx2.7_hnrnpa1b,0.0,0.0,0.0,0.0,0.025880748,0.0,nkx2.7,nkx,PSM
nkx2.7_cfl1,0.0,0.0,0.0,0.0,0.022077447,0.0,nkx2.7,nkx,PSM
nkx2.7_rps3a,0.020516042,0.0,0.0,0.0,0.0,0.0,nkx2.7,nkx,PSM
nkx2.7_nop58,0.0,0.0,0.03274155,0.0,0.026567249,0.0,nkx2.7,nkx,PSM
nkx2.7_tubb4b,0.0,0.0,0.0,-0.023309939,0.0,0.0,nkx2.7,nkx,PSM
nkx2.7_rpl5b,0.020406,0.022612128,0.0,0.0,0.0,0.0,nkx2.7,nkx,PSM
nkx2.7_marcksb,0.0,0.0,0.0,0.0,0.021676792,0.0,nkx2.7,nkx,PSM
nkx2.7_eef1a1l1,0.04125707,0.020827688,0.027071778,0.055792954,0.067128524,0.046209745,nkx2.7,nkx,PSM
nkx2.7_cbx3a,0.0,0.0,0.021354316,0.0,0.0,0.0,nkx2.7,nkx,PSM
nkx1.2la_cirbpa,0.0,0.0,0.022771645,0.0,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_nop58,0.0,0.0,0.02338079,0.0,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_bzw1a,0.0,0.0,0.02566777,0.0,0.022843067,0.0,nkx1.2la,nkx,NMPs
