TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
egr2b_pax3a,-0.04066194,-0.027011093,0.0,0.0,0.0,0.0,egr2b,egr,neural_posterior
egr2b_pax7a,-0.063248195,0.0,0.0,0.0,0.0,0.03147466,egr2b,egr,neural_posterior
snai2_rdh10a,0.0,0.024567362,0.0,0.0,0.0,0.027396778,snai2,sna,somites
snai2_agrn,-0.029298037,0.0,0.0,0.0,0.0,0.053027622,snai2,sna,somites
vsx1_si:dkey-269i1.4,0.0,0.0,-0.01471951,-0.01757878,0.0,0.0,vsx1,vsx,NMPs
vsx1_si:dkey-239j18.2,0.0,0.040955316,-0.03879767,-0.02048927,0.0,0.0,vsx1,vsx,NMPs
stat5a_ncor2,0.0,0.023996571,0.0,0.0,0.017631605,0.0,stat5a,sta,spinal_cord
stat5a_greb1l,0.0,0.03147831,0.0,0.0,0.018761303,0.0,stat5a,sta,spinal_cord
prrx1b_si:dkey-239j18.2,0.0,0.0,0.0,-0.027054528,-0.02847537,0.025173249,prrx1b,prr,tail_bud
prrx1b_si:dkey-269i1.4,0.0,0.0,-0.012034415,-0.014586287,0.0,0.0,prrx1b,prr,tail_bud
tbr1b_apoc1,0.0,0.0,0.0,0.0,0.02069219,0.025857775,tbr1b,tbr,PSM
tbr1b_apoeb,0.0,0.0,-0.03109216,-0.022346048,0.02342154,0.025873503,tbr1b,tbr,PSM
tbr1b_chl1a,0.029925644,0.02448303,0.0,0.0,0.0,0.0,tbr1b,tbr,PSM
junba_apoeb,0.0,0.0,0.0,-0.037391722,-0.022951541,0.029904818,junba,jun,tail_bud
junba_fn1b,0.0,0.0,0.0,-0.03929277,-0.018589288,0.0,junba,jun,tail_bud
junba_npm1a,0.0,0.0,0.011831889,0.019132791,0.0,0.0,junba,jun,tail_bud
grhl2b_gli2a,0.0,0.0,0.013249562,0.016557492,0.0,0.0,grhl2b,grh,NMPs
grhl2b_rxraa,0.0,0.0,0.015136737,0.013941132,0.0,0.0,grhl2b,grh,NMPs
grhl2a_ncam1a,0.0,0.0,0.015560924,0.015103282,0.028043848,0.029437335,grhl2a,grh,NMPs
tfec_apoeb,0.0,0.0,0.019807344,0.0,0.0,-0.033094317,tfec,tfe,NMPs
tfec_sox6,0.0,0.0,0.024653323,0.024973013,0.0,0.0,tfec,tfe,NMPs
tfec_ctslb,0.0,0.0,-0.051751185,-0.052496947,0.0,0.0,tfec,tfe,NMPs
arxb_si:dkey-269i1.4,0.0,0.0,-0.019722866,-0.013429484,0.0,0.0,arxb,arx,NMPs
arxb_si:dkey-239j18.2,0.0,0.0,-0.036604144,-0.021979552,-0.016990986,0.0,arxb,arx,NMPs
arxb_mllt3,0.0,0.0,0.013037966,0.019163048,0.0,0.0,arxb,arx,NMPs
olig2_si:dkey-269i1.4,0.0,0.0,0.014583861,0.0581971,0.034067016,0.0,olig2,oli,neural_posterior
olig2_pax3a,-0.033773415,-0.02733032,0.0,0.0,0.0,-0.046691734,olig2,oli,neural_posterior
olig2_adamts3,0.03873811,0.04071073,0.0,0.0,0.0,0.0,olig2,oli,neural_posterior
olig2_cdh11,0.05055925,0.08372991,0.0,0.013764268,0.0,0.0,olig2,oli,neural_posterior
creb5b_msna,0.0,0.0,0.0,0.016273268,-0.024054678,0.0,creb5b,cre,tail_bud
creb5b_ptprfb,0.032691833,0.0,0.015716301,0.0193075,0.026008109,0.0,creb5b,cre,tail_bud
creb5b_mdka,0.0,0.05351748,0.0,0.028061382,0.026498673,0.03093262,creb5b,cre,tail_bud
creb5b_zbtb16a,0.036899354,0.03316508,0.0,0.03245695,0.031045368,0.033180706,creb5b,cre,tail_bud
emx3_npm1a,0.0,0.0,0.012261507,0.014266418,0.0,0.0,emx3,emx,NMPs
emx3_mki67,0.0,0.0,0.017801937,0.018451823,0.0,0.0,emx3,emx,NMPs
emx3_tbx16,0.0,0.0,-0.011884778,-0.015265893,0.0,0.0,emx3,emx,NMPs
emx3_msna,0.037582003,0.030017728,0.0,0.0,0.02497378,0.031448785,emx3,emx,NMPs
lbx1b_mki67,0.0,0.0,0.011458141,0.013870572,0.0,0.0,lbx1b,lbx,NMPs
lbx1b_pax3a,0.031197734,0.035279274,0.0,0.0,0.0,0.0,lbx1b,lbx,NMPs
lbx1b_itm2cb,0.0,0.0,0.0,-0.03505509,-0.03584482,0.0,lbx1b,lbx,NMPs
lbx1b_si:dkey-239j18.2,0.0,0.0,-0.0568079,0.0,0.0,0.025817059,lbx1b,lbx,NMPs
LIN28A_col11a1a,0.032447334,0.046077732,0.02415417,0.024741555,0.02406361,0.0,LIN28A,LIN,tail_bud
LIN28A_adamts3,0.049740124,0.025010213,0.0,0.0,0.0,0.0,LIN28A,LIN,tail_bud
LIN28A_efnb2b,0.0,0.0,0.0,0.018657135,0.01930764,0.0,LIN28A,LIN,tail_bud
LIN28A_trps1,0.0,0.0,0.015247608,0.032468904,0.0,0.0,LIN28A,LIN,tail_bud
mnx2a_nectin3b,0.027025105,0.02385866,0.0,0.019453887,0.0,0.0,mnx2a,mnx,neural_posterior
mnx2a_adamts3,0.027423127,0.029119294,0.0,0.025514154,0.0,0.0,mnx2a,mnx,neural_posterior
mnx2a_gnao1a,0.025789998,0.026814485,0.0,0.0,0.0,0.0,mnx2a,mnx,neural_posterior
