TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites
smad3a_ran,0.024948599,0.0,0.0,0.0,0.0,0.029144265
smad3a_hspb1,0.06428502,0.029843584,0.049146183,0.0,0.0,0.05657999
smad3a_sulf1,0.030478131,0.071311064,0.034968395,0.0,0.04883417,0.041124612
smad3a_syncrip,0.02547959,0.0,0.0,0.064368755,0.1055567,0.07450639
smad3a_nectin1b,0.0,0.03448485,0.0,0.067990504,0.124827705,0.0
pbx1b_hspb1,0.0,0.0,0.0,0.0,-0.033349846,-0.035808653
pbx1b_rps15a,0.0,0.0,-0.026084231,-0.033215106,-0.03846344,0.0
pbx1b_seta,-0.0222611,0.0,-0.027843177,0.0,0.0,0.0
pbx1b_msgn1,-0.021648573,0.0,-0.028683644,0.0,0.0,0.0
pbx3b_rnf220a,0.044593565,0.028398046,0.0,0.0,0.0,0.0
pbx3b_adamts3,0.032629125,0.0319725,0.0,0.0,0.0,0.0
pbx1b_prickle1b,0.0,0.03194436,0.027090155,0.0,0.0,0.0
pbx1a_faua,0.0,0.0,0.03410319,0.035225112,0.0,0.0
pbx1a_hspb1,0.0,0.0,0.025899593,0.036460716,0.0,0.0
pbx1a_hmga1a,0.0,0.0,0.024387319,0.031617716,0.0,0.0
pbx1a_rps16,0.0,0.0,0.023404533,0.029906206,0.0,0.0
hey1_alcamb,0.0,-0.094947144,0.0,0.035943937,0.034518354,0.0
hey1_apoeb,0.0,0.0,0.0,0.0755498,-0.049430948,0.0
hey1_apela,-0.021629421,0.0,0.027698271,0.0,0.0,0.0
hey1_syncrip,0.0,0.048998415,0.0,0.029376425,0.08063117,0.054093074
hey1_ntn1a,0.0,0.0281744,0.0,0.0,0.0,0.034035265
hey1_cygb1,0.0,0.030267278,0.0,0.0,0.03285807,0.05583225
hey1_mef2d,0.0,0.0,0.0,0.0,0.031667117,0.034123972
hey1_nop56,0.0,0.030932253,0.0,0.0,0.061833266,0.025859112
hey1_meox1,0.0,0.025496991,0.0,0.0,0.07311795,0.0
hey1_bmpr1ba,0.0,0.0,0.023581015,0.029953558,0.050245315,0.028108722
hey1_asph,0.0,0.0,0.0,0.03170554,0.04548194,0.0
en2b_rpl5b,0.0,0.0,0.03003964,0.043875124,0.0,0.0
en2b_rpl19,0.0,0.0,0.040661614,0.031073753,0.0,0.0
en2b_rps16,0.0,0.0,0.027812365,0.028551467,0.0,0.0
en2b_rps5,0.0,0.0,0.024144098,0.02813907,0.0,0.0
en2b_akap12b,0.0,0.03204068,0.030188864,0.0,0.0,0.0
en2b_hspa8,0.0,0.025556417,0.028241841,0.0,0.0,0.0
en2b_hspb1,0.022912651,0.03864832,0.0,0.028666764,0.0,0.0
en2b_rpl21,0.0,0.029204965,0.0,0.030527413,0.0,0.0
en2b_faua,0.022761507,0.034252055,0.03534269,0.035702847,0.0,0.0
en2b_rpl13a,0.0,0.038330767,0.024058238,0.036286462,0.0,0.0
en2b_rps9,0.0,0.02887464,0.023356453,0.03220148,0.0,0.0
e2f7_rrm2,0.023614245,0.029583061,0.06368476,0.0705474,0.04482213,0.03830803
e2f7_tenm4,-0.027770838,0.0,0.0,0.0,0.0,0.0365221
e2f7_mki67,0.0,-0.031201892,-0.025198344,0.0,0.0,0.0
e2f7_nucks1a,-0.024783624,0.0,0.0,0.0,-0.03466759,0.0
e2f7_cnbpb,0.0,0.0,-0.022267716,0.0,-0.029471807,0.0
e2f7_syncrip,0.0,0.0,0.025631469,0.031430252,0.0,0.0
e2f7_cx43.4,0.0,0.0,0.0,0.035128374,0.03745257,0.0
e2f7_lig1,0.03656529,0.038018018,0.027413812,0.02734851,0.037166424,0.0
e2f7_her3,0.0,0.050152402,0.027698053,0.0,0.0,0.0
e2f7_cdc6,0.024514569,0.030244848,0.0,0.0,0.0,0.0
e2f7_ccne2,0.022075072,0.029987954,0.023741774,0.0,0.0,0.0
tfap2a_itm2cb,0.0,0.0,0.0,-0.0822367,-0.09863231,0.0
tfap2b_szl,0.0,0.0,-0.057953175,-0.027646294,0.0,0.0
tfap2a_rps15a,0.0,0.0,0.03459593,0.0,0.0,0.028460901
tfap2a_rps9,0.024718942,0.0,0.028926143,0.038327772,0.0,0.0
tfap2a_cfl1,0.023048198,0.0,0.02271472,0.029394746,0.0,0.03318417
tfap2a_rpl21,0.02832486,0.025504718,0.027091198,0.0,0.0,0.034597382
tfap2a_rack1,0.02172363,0.042461757,0.025272936,0.02852124,0.0,0.03761693
tfap2a_stm,0.033768147,0.034496013,0.04024245,0.0,0.0,0.0
tfap2a_rpl7a,0.0,0.028480386,0.022625184,0.0,0.0,0.0
tfap2a_cbx3a,0.0,0.02505318,0.02364579,0.0,0.0,0.0
tfap2a_rpl6,0.024446476,0.037975032,0.0,0.0,0.0,0.0
tfap2a_serbp1a,0.021443877,0.031333033,0.0,0.0,0.0,0.0
lbx1b_draxin,0.0,0.0,0.0,-0.048249755,-0.044555992,0.0
lbx1b_rpl13a,0.0,0.0,0.0,0.0,0.06165935,-0.040596765
lbx1b_alcamb,0.0,-0.025684848,0.0,-0.028468816,0.0,0.034125913
lbx1b_cdh7a,-0.028576804,-0.04263371,0.0,0.0,0.0,0.0
lbx1b_rnf220a,-0.039242335,-0.04173545,0.0,0.0,0.0,0.0
lbx1b_ntn1a,-0.034739725,-0.046924073,0.0,0.0,0.0,0.0
lbx1b_dag1,-0.030984735,-0.02928593,0.0,0.0,0.0,0.0
lbx1b_pcdh19,-0.021328444,-0.032508187,0.0,0.0,0.0,0.0
lbx1b_tenm4,0.0,0.0,0.0,0.0,0.050812915,0.045912217
lbx1b_nectin1b,0.0,0.0,0.0,0.0,0.03268249,0.050574247
lbx1b_id1,0.021484345,0.0,0.0,0.027735533,0.0,0.0
lbx1b_slbp,0.0,0.0,0.0,0.046925917,0.029561823,0.0
lbx1b_faua,0.0,0.0,0.0,0.027943412,0.04057726,0.0
her9_apoeb,0.0,0.0,-0.028355999,-0.06491896,0.0,0.0
her6_faua,0.039273854,0.04514355,0.038456656,0.051213767,0.06089585,0.0377661
her6_syncrip,0.0,0.045460314,0.03249257,0.040221736,0.0360735,0.07091108
her6_rps4x,0.030363148,0.043087885,0.0,0.0,0.041315496,0.040871996
her6_cntfr,0.051564544,0.057316348,0.0,0.0,0.0,0.0
her9_faua,0.03910558,0.04510419,0.023644112,0.0,0.03554213,0.0
her6_rpl10a,0.0,0.031266447,0.0,0.027422328,0.0306304,0.0
her6_rpl24,0.0,0.029385554,0.0,0.027843183,0.0,0.0
her6_rps19,0.028770423,0.03121493,0.030116862,0.0,0.0,0.02624305
her9_eef2b,0.023802418,0.0,0.032156143,0.0,0.0,0.0
her9_syncrip,0.03239042,0.0,0.0,0.0,0.031596713,0.0
her6_eef2b,0.028679289,0.0,0.0,0.0,0.0,0.026180292
her9_tuba8l4,0.022770043,0.0,0.0,0.0,0.0,0.025893286
drgx_nectin1b,0.0,-0.042460892,0.0,0.0,-0.031128712,-0.05777294
drgx_rps15a,0.032694202,0.035999205,0.0,0.0,0.0,0.0
drgx_nucks1a,0.021701438,0.034881756,0.0,0.0,0.0,0.0
drgx_hmgb2a,0.02249884,0.026393943,0.0,0.0,0.0,0.0
drgx_ran,0.02098164,0.028317418,0.0,0.0,0.0,0.0
drgx_faua,0.029336836,0.0,0.0,0.0,0.0,0.03404371
drgx_rps19,0.027925385,0.0,0.0,0.0,0.0,0.027587619
drgx_rps9,0.028233761,0.026780967,0.0,0.0,0.0,0.03213751
drgx_rpl21,0.027983626,0.031018028,0.0,0.0,0.0,0.032602966
drgx_rpl31,0.028241504,0.029534198,0.0,0.0,0.0,0.025951985
drgx_rps16,0.026041327,0.02597082,0.0,0.0,0.0,0.028134275
drgx_rpl13a,0.03478389,0.027172888,0.0,0.0,0.0,0.034003537
drgx_hspb1,0.03434031,0.03246418,0.0,0.0,0.0,0.038183145
snai1a_pcna,0.0,0.037799478,0.030319177,0.0,0.056494325,0.028333366
snai1a_rbm38,0.0,0.04299499,0.03746614,0.053856634,0.04789162,0.0
snai1a_ddit4,0.0,0.025206862,0.032566946,0.043624926,0.03739143,0.033673257
snai1a_rps7,0.0,0.029444646,0.046108294,0.04604126,0.057757627,0.025979282
snai1a_banf1,0.0,0.027346207,0.03682218,0.045246396,0.048421055,0.02716009
snai1a_rpl17,0.022338197,0.0,0.03283584,0.05197163,0.05311245,0.039916053
snai1a_rpl24,0.0,0.0,0.04018134,0.03816411,0.048731204,0.031788927
snai1a_hsp90ab1,0.025720986,0.02780616,0.0,0.0,0.0,0.0
snai1a_seta,0.0,0.0,0.0254053,0.0,0.0,0.028419225
snai1a_msgn1,0.0,0.04027946,0.038920917,0.0,0.0,0.04462401
snai1a_pnrc2,0.0,0.030134095,0.043711986,0.030910945,0.0,0.038532376
snai1a_nop58,0.0,0.0,0.043513414,0.03795668,0.034312535,0.0
snai1a_setb,0.0,0.0,0.036438048,0.0,0.038412306,0.0
snai1a_ppp2cb,0.022489592,0.0,0.024943832,0.037714813,0.0,0.0
snai1a_serbp1a,0.0,0.029850403,0.038658738,0.034622755,0.0,0.0
lmx1a_faua,0.0,0.0,0.025439689,0.027978657,0.0,0.0
lmx1a_hsp90ab1,0.0,0.0,0.023894671,0.02824438,0.0,0.0
lmx1a_hmga1a,0.0,0.0,0.0,0.028266082,0.0,0.031462017
lmx1a_hnrnpaba,0.0,0.0,0.0,0.027245972,0.0,0.034563866
lmx1a_nucks1a,0.0,0.0,0.027557153,0.0,0.0,0.031950947
lmx1a_rpl34,0.0,0.0,0.022993522,0.0,0.0,0.027056675
lmx1a_cirbpb,0.0,0.0,0.022990737,0.0,0.0,0.02666774
lmx1bb_faua,0.035496194,0.0,0.0,0.0,0.0,0.042917352
lmx1bb_rpl8,0.023700034,0.0,0.025713973,0.0,0.0,0.0
lmx1bb_rps16,0.034936063,0.0,0.022520892,0.0,0.0,0.0
lmx1bb_hspa8,0.031221963,0.0,0.025164217,0.0,0.0,0.0
lmx1bb_rpl21,0.043601472,0.03902519,0.0,0.0,0.0,0.026782282
lmx1bb_rpl18,0.02992266,0.027973402,0.023259116,0.0,0.0,0.0
lmx1bb_hspb1,0.03927619,0.034327514,0.0,0.0,0.0,0.0
lmx1ba_nucks1a,0.037102204,0.025074925,0.0,0.0,0.0,0.0
lmx1bb_rpl11,0.028771028,0.027041318,0.0,0.0,0.0,0.0
tfdp2_qkia,0.028190836,0.03708921,0.0,0.053074192,0.120717205,0.10610223
tfdp2_syncrip,0.0,0.0,0.038635287,0.11086068,0.0342393,0.0
tfdp2_faua,0.0,0.0,0.0266235,0.053494614,0.0,0.0
tfdp2_msgn1,0.0,0.0,-0.027005523,0.0,-0.045559514,0.0
tfdp2_epha4a,0.0,0.035369728,0.0,0.0,0.0,0.032747846
tfdp2_ntn1a,0.033650413,0.02941585,0.0,0.0,0.0,0.0
tfdp2_nova2,0.021898309,0.026721906,0.0,0.0,0.0,0.0
tfdp2_nfia,0.021841014,0.032284033,0.0,0.0,0.0,0.0
tfdp2_tenm4,0.024705986,0.0,0.027231196,0.0,0.08131121,0.099458046
tfdp2_efemp2a,0.0,0.0,0.0,0.0,0.035846323,0.049661517
tfdp2_her1,0.0,0.0,0.0,0.0,0.03075472,0.0320347
tfdp2_enah,0.0,0.0,0.0,0.03267231,0.073232755,0.05743311
tfdp2_large2,0.0,0.0,0.0,0.0,0.06779034,0.062417753
tfdp2_draxin,0.0,0.025277466,0.0,0.05816196,0.035258293,0.057069678
tfdp2_lmo4b,0.0,0.0,0.040832367,0.042517647,0.048319258,0.05133134
tfdp2_sulf1,0.0,0.0,0.03237211,0.050672702,0.04085637,0.029115617
lef1_tbx16,0.0,0.074213244,0.119899765,0.1291362,0.15569296,0.059753586
lef1_gdf11,0.0,0.109473184,0.1241647,0.08284668,0.06109378,0.0
lef1_cx43.4,0.0,0.095711164,0.087781996,0.08824744,0.061236627,0.060313955
lef1_nova2,-0.025452737,-0.05885148,-0.022639591,0.0,0.0,0.0
lef1_msgn1,0.0,0.047243394,0.032395292,0.051445022,0.078660205,0.049496606
lef1_pid1,0.0,0.040164325,0.056071088,0.03952537,0.0,0.0
lef1_esrrga,0.0,0.0,0.057320986,0.04411336,0.0,0.0
lef1_rarga,0.0,0.034969382,0.037992876,0.048598286,0.05424273,0.0
lef1_tbx16l,0.0,0.030747788,0.03147708,0.0526613,0.063145846,0.0
lef1_phc2a,0.0,0.036920503,0.0,0.028903088,0.0419129,0.0
lef1_her1,0.0,0.031507034,0.0,0.0312367,0.06617361,0.0
lef1_lmo4b,0.0,0.036257986,0.0,0.0,0.047159974,0.030508302
lef1_ephb4b,0.0,0.03368227,0.042996857,0.0,0.0,0.0
lef1_rpl5b,0.0,0.03656274,0.023685837,0.0,0.031385794,0.0
lef1_lpar1,0.0,0.033538826,0.028560169,0.0,0.0426805,0.0
lef1_tob1a,0.0,0.029050408,0.029659325,0.0,0.041423652,0.0
zic3_egfl6,0.09117446,0.0,0.026869515,0.0,0.0,0.03394126
zic2a_szl,0.0,0.0,-0.031501204,-0.059645403,0.0,0.0
zic2b_szl,0.0,0.0,-0.029028457,-0.03179634,0.0,0.0
zic3_fn1b,0.022649607,0.04464946,0.0,0.069030166,0.063470796,0.041037817
zic2b_rpl34,0.0,0.031154376,0.0317022,0.053907063,0.04453106,0.044141155
zic2b_egfl6,-0.037086368,0.0,0.0,0.0,0.0,0.026085243
zic3_zcchc24,0.0,0.0,0.0,0.0,0.031236771,0.031333324
zic3_tbx6,0.0,0.0,0.0,0.0,0.04524344,0.058588274
zic3_pcdh8,0.0,0.0,0.0,0.0,0.03245587,0.06439103
zic3_fgfrl1a,0.02125974,0.0,0.0,0.0,0.032633252,0.0
zic2b_npm1a,0.024916202,0.0,0.0,0.0,0.0,0.03680719
zic2b_hmgb2a,0.022229888,0.0,0.0,0.0,0.0,0.028192576
zic2a_rpl34,0.0,0.0,0.022842556,0.03603861,0.039509576,0.032579783
zic2a_hmgb2a,0.0,0.0,0.024392532,0.02769586,0.029946787,0.0
zic2a_tuba8l4,0.0,0.0,0.0,0.04349488,0.02987824,0.0
zic2b_rpsa,0.0,0.026878856,0.023737619,0.028890999,0.0,0.027737906
zic2a_rpsa,0.0,0.0,0.0,0.042564653,0.0,0.047347393
esrrga_rarga,0.0,0.044122882,0.03406956,0.037824295,0.039934687,0.0
esrrga_tll1,0.0,0.02845527,0.059349816,0.035982117,0.0,0.0
esrrga_enpp1,0.0,0.0,0.031892646,0.028926076,0.0,0.0
esrrga_cyp26a1,0.0,0.0,0.025489818,0.027886994,0.0,0.0
esrrga_greb1l,0.032956626,0.044278435,0.0,0.0,0.0,0.0
esrrga_oc90,0.025895923,0.028888894,0.0,0.0,0.0,0.0
esrrga_ephb4a,0.0,0.025733713,0.023432316,0.0,0.0,0.0
esrrga_msx1b,0.0,0.04705183,0.02367591,0.0,0.0,0.0
esrrga_rxraa,0.0,0.045635715,0.043466985,0.0,0.0,0.0
esrrga_efemp2b,0.0,0.0,0.0,-0.03544449,-0.05634967,-0.03370945
esrrga_ran,0.0,-0.026084488,-0.02836367,0.0,0.0,0.0
esrrga_rps15a,0.0,-0.035974614,-0.036322236,0.0,0.0,0.0
esrrga_hmgb2a,0.0,-0.02836806,-0.037158422,0.0,0.0,0.0
esrrga_rpl9,0.0,-0.027193533,-0.037041247,0.0,0.0,0.0
esrrga_rpsa,0.0,-0.027134147,-0.03518709,-0.0352297,0.0,0.0
esrrga_rpl5b,0.0,0.0,-0.03510583,-0.043789294,0.0,0.0
esrrga_dkc1,0.0,0.0,-0.025789363,-0.030796064,0.0,0.0
nkx1.2la_abcf1,-0.021946209,0.0,0.0,0.0,-0.03218841,0.0
nkx6.2_rpl11,0.0,0.0,0.0,0.0,0.033891916,-0.027978497
nkx1.2la_sulf1,0.0,0.0,0.025590645,0.029768495,0.032517374,0.0
nkx1.2la_draxin,0.0,0.0,0.0,0.027744485,0.04767573,0.0
nkx1.2la_nucks1a,0.0,0.0,0.0,-0.036280707,0.0,0.035454117
nkx1.2la_rpl5b,0.027671726,0.0,0.0,0.0,0.0,0.04108521
nkx1.2la_rps15a,0.0,0.0,0.0,0.0,0.03420973,0.036356375
nkx1.2la_rpl31,0.0,0.0,0.0,0.0,0.029886097,0.03000924
nkx1.2la_rps16,0.0,0.0,0.0,0.0,0.034089725,0.031150177
nkx1.2la_rpl18a,0.0,0.0,0.0,0.0,0.033158656,0.029361796
nkx1.2la_rps9,0.0,0.0,0.0,0.0,0.03982373,0.051761117
nkx1.2la_hnrnpaba,0.0,0.0,0.0,0.0,0.029873576,0.054991942
nkx2.2b_rpl13a,0.0369086,0.03156391,0.041817456,0.034242615,0.0,0.032796334
nkx1.2la_cx43.4,0.033244375,0.0,0.032580942,0.0,0.0,0.0
nkx6.1_ntn1a,0.031574152,0.02902747,0.0,0.0,0.0,0.0
nkx2.2b_h3f3b.1,0.029145388,0.029214416,0.0,0.0,0.0,0.0
nkx1.2la_chrd,0.025785372,0.0756119,0.0,0.0,0.0,0.0
nkx1.2la_alcamb,0.023176562,0.05502572,0.026710588,0.0,0.0,0.0
pnx_lig1,0.021736993,0.0,0.0,0.0,0.030801231,0.0
pnx_rps15a,0.025813783,0.0,0.0,0.0,0.04454204,0.047620397
pnx_rpl13a,0.025013007,0.0,0.0,0.0,0.042270955,0.06372077
pnx_nucks1a,0.022482503,0.0,0.0,0.029252952,0.0,0.028352896
pnx_hspa8,0.021278014,0.0,0.0,0.0,0.0,0.05341954
pnx_hspb1,0.036993567,0.0,0.0,0.0,0.0,0.037357237
pnx_rpl21,0.021580413,0.0,0.0,0.0,0.0,0.036033012
pnx_si:ch73-281n10.2,0.021123037,0.0,0.0,0.0,0.0,0.03284809
pnx_faua,0.022278354,0.0,0.0,0.0,0.0,0.031224687
pnx_rpl8,0.022250334,0.0,0.0,0.0,0.0,0.030164877
pnx_rps18,0.028813796,0.0,0.0,0.0,0.0,0.030240709
