TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family
irx7_cbx3a,0.021596065,0.0,0.026517712,0.0,0.0,0.0,irx7,irx
irx1b_crabp2b,0.033225916,0.0659093,0.045428474,0.0,0.0,0.030140039,irx1b,irx
irx1b_rrm2,0.028447919,0.0540918,0.029613217,0.0,0.0,0.024244932,irx1b,irx
irx1b_rpl21,0.031646844,0.035696864,0.030877892,0.027954806,0.0,0.024837397,irx1b,irx
irx1b_hspb1,0.0313049,0.04583741,0.038199052,0.026247803,0.0,0.0,irx1b,irx
irx1b_rpl3,0.037905265,0.039154746,0.042860135,0.029270478,0.0,0.0,irx1b,irx
irx1b_rpl23,0.029565737,0.032559276,0.04489047,0.029054653,0.0,0.0,irx1b,irx
irx1b_syncrip,0.0,0.030127378,0.033650447,0.047267593,0.03342516,0.0,irx1b,irx
irx7_rpl3,0.022342056,0.02835208,0.033495653,0.035231527,0.03245904,0.021614099,irx7,irx
irx7_rpl23,0.03814901,0.03227445,0.03080654,0.030109257,0.028411997,0.0,irx7,irx
irx7_rpl21,0.02282572,0.028038472,0.042172458,0.026036493,0.026964955,0.0,irx7,irx
lbx2_cirbpa,0.046478435,0.06474264,0.08103097,0.03234324,0.025923057,0.04207847,lbx2,lbx
lbx2_hspb1,0.043601442,0.043522876,0.06425327,0.031740237,0.028535396,0.022401888,lbx2,lbx
lbx2_rpl21,0.047704995,0.035178714,0.047959603,0.04467129,0.04241673,0.04852833,lbx2,lbx
lbx2_rpl5b,0.053717226,0.037712216,0.06251882,0.03388041,0.043217555,0.05020224,lbx2,lbx
lbx2_rpl13a,0.048034698,0.03953525,0.06462004,0.04423858,0.0372052,0.044911936,lbx2,lbx
lbx2_faua,0.040366367,0.053873148,0.06550878,0.042555314,0.04464577,0.042233184,lbx2,lbx
lbx2_rpl3,0.034976345,0.04920334,0.050051562,0.041899182,0.03883479,0.03459444,lbx2,lbx
lbx2_cx43.4,0.0,0.036891222,0.026403124,0.026797337,0.026187407,0.020643545,lbx2,lbx
lbx2_actc1a,0.0,0.029456882,0.041882586,0.0,0.030578978,0.044458166,lbx2,lbx
lbx2_rpl23,0.024149336,0.0,0.061267987,0.03861633,0.030096974,0.029103471,lbx2,lbx
