TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
samd11_ctdp1,0.0,0.0,0.0,0.0,0.031749293,0.0,samd11,sam,PSM
samd11_fzd10,0.0,0.0,0.0,0.0,-0.032258276,0.0,samd11,sam,PSM
mnx1_itga9,0.0,0.0,-0.020582588,0.0,0.0,0.0,mnx1,mnx,neural_posterior
mnx1_tenm4,-0.061729018,0.0,0.0,0.0,0.0,0.0,mnx1,mnx,neural_posterior
alx4b_aspm,0.0,0.0,0.0,0.023628391,0.0,0.0,alx4b,alx,tail_bud
alx4b_trps1,0.0,0.0,0.020629672,0.021842424,0.0,0.0,alx4b,alx,tail_bud
spi1b_sema4c,0.0,0.0,0.0,0.021539506,0.0,0.0,spi1b,spi,neural_posterior
spi1b_jarid2b,0.037438713,0.0,0.0,0.0,0.0,0.038458433,spi1b,spi,neural_posterior
zgc:101100_prickle1b,0.0,0.0,-0.022239687,0.0,0.0,0.0,zgc:101100,zgc,NMPs
zgc:101100_ephb4b,0.0,0.0,-0.025980657,0.0,0.0,0.0,zgc:101100,zgc,NMPs
mybl1_serbp1a,0.0,0.0,0.0,-0.021877289,-0.032767802,0.0,mybl1,myb,tail_bud
mybl1_nucks1a,0.0,0.0,-0.027307788,-0.053574342,-0.0497904,-0.039691173,mybl1,myb,tail_bud
ikzf1_hoxb6b,0.0,0.0,0.0,0.021941366,0.0,0.0,ikzf1,ikz,neural_posterior
ikzf1_ncam1b,0.028576124,0.0,0.0,0.0,0.0,0.0,ikzf1,ikz,neural_posterior
vax2_raraa,0.0,0.0,0.023770858,0.0,0.0,0.0,vax2,vax,spinal_cord
vax2_zeb2a,0.0,0.032802496,0.0,0.0,0.0,0.0,vax2,vax,spinal_cord
bcl11ab_tenm4,0.0,0.0,0.0,-0.040612873,0.0,0.0,bcl11ab,bcl,tail_bud
bcl11aa_zbtb16a,-0.027347544,0.0,0.0,0.0,0.0,0.0,bcl11aa,bcl,neural_posterior
bcl11aa_tenm4,-0.040284477,0.0,0.0,0.0,0.0,0.0,bcl11aa,bcl,neural_posterior
atoh1a_sema6e,0.0,0.0,0.0,-0.02346798,0.0,0.0,atoh1a,ato,tail_bud
atoh1a_apoc1,0.0,0.0,0.020381104,-0.03031226,0.0,0.0,atoh1a,ato,tail_bud
atoh1a_dag1,0.029041993,0.0,0.0,0.0,0.0,0.0,atoh1a,ato,tail_bud
stat5a_il17rd,0.029779233,0.0,0.0,0.0,0.0,0.0,stat5a,sta,neural_posterior
stat5a_robo1,0.032260105,0.0,0.0,0.0,0.03045593,0.0,stat5a,sta,neural_posterior
stat5a_tp63,0.0,0.0,0.0,0.03557789,0.0,0.0,stat5a,sta,neural_posterior
tp63_cyt1l,0.0,0.0,0.020148087,0.0,0.0,0.0,tp63,tp,NMPs
tp63_serpinh1b,0.0,0.0,0.032207176,0.0,0.0,0.0,tp63,tp,NMPs
tp63_bcam,0.0,0.0,0.0,0.0,0.0,0.033020776,tp63,tp,NMPs
