,degree_centrality_all,cluster
msx2b,0.18072289156626506,NMPs
irx1b,0.1614457831325301,NMPs
rxraa,0.1493975903614458,NMPs
sox21a,0.13012048192771083,NMPs
hmga1a,0.12530120481927712,NMPs
rorb,0.1180722891566265,NMPs
sox5,0.11325301204819277,NMPs
emx3,0.10843373493975904,NMPs
foxo1a,0.10361445783132531,NMPs
en2a,0.10120481927710843,NMPs
msx1b,0.10120481927710843,NMPs
rx1,0.10120481927710843,NMPs
meox1,0.0963855421686747,NMPs
serbp1a,0.09156626506024096,NMPs
tbx16,0.08674698795180723,NMPs
foxg1a,0.08674698795180723,NMPs
rplp1,0.0819277108433735,NMPs
rps12,0.0819277108433735,NMPs
si:ch73-281n10.2,0.0819277108433735,NMPs
hoxc10a,0.07951807228915662,NMPs
mibp2,0.07710843373493977,NMPs
lhx9,0.07710843373493977,NMPs
ptmab,0.0746987951807229,NMPs
hmgb2a,0.0746987951807229,NMPs
rpl12,0.0746987951807229,NMPs
sp8a,0.0746987951807229,NMPs
rarga,0.0746987951807229,NMPs
klf1,0.07228915662650602,NMPs
fabp7a,0.06987951807228916,NMPs
tpt1,0.06987951807228916,NMPs
