,celltype,arid5b,atoh1a,bbx,bhlhe22,cdx4,cebpb,creb3l3b,creb5b,cxxc5a,dbx1a,dbx1b,dlx4a,dlx6a,dmbx1a,dmrt2a,dnmt1,drgx,e2f7,ebf1b,ebf2,ebf3a,ebf3b,egr2a,egr2b,en2a,en2b,esrrga,ets2,etv2,etv4,etv5a,eve1,fezf1,foxb1a,foxb1b,foxc1a,foxd3,foxd5,foxi3b,foxj1a,foxj1b,foxo1a,foxo3b,foxp1b,foxp4,gata1b,gata5,gbx1,gli2b,gli3,gsx1,gsx2,her6,her9,hey1,hmga1a,hoxa10b,hoxa11b,hoxa13b,hoxa2b,hoxa4a,hoxb7a,hoxb8a,hoxb9a,hoxc11a,hoxc11b,hoxc1a,hoxd10a,hoxd11a,hoxd12a,hoxd4a,hoxd9a,irx1a,irx1b,irx4b,jun,kdm2bb,klf12b,klf5l,klf7a,klf7b,klf9,lbx1b,lef1,lhx2b,lhx4,lmx1a,lmx1ba,lmx1bb,mafba,mecp2,mef2cb,mef2d,meis1a,meis2a,meis3,meox1,mespab,mnx2b,msx1a,msx1b,msx2b,mxi1,mybl1,myf5,myod1,myog,myrf,nanog,neurod4,nfatc3a,nfatc3b,nfatc4,nfia,nfic,nkx1.2la,nkx2.2b,nkx3-1,nkx6.1,nkx6.2,noto,nr1d1,nr1d4a,nr2f1b,nr2f2,nr2f5,nr3c2,nr4a3,nr5a2,olig2,onecut1,onecut2,osr1,pax1a,pax2a,pax2b,pax3a,pax3b,pax5,pax6a,pax6b,pax7a,pax7b,pbx1a,pbx1b,pbx3b,phox2a,phox2bb,pitx1,pitx2,pknox2,pnx,pou3f3b,rarga,rfx1a,rfx4,rorb,rorc,runx1,rxraa,rxrgb,samd11,si:dkey-43p13.5,six4a,six5,six6a,six7,smad3a,snai1a,snai2,sox10,sox11a,sox11b,sox13,sox19a,sox19b,sox2,sox21a,sox3,sox6,sox9a,sox9b,sp5a,sp5l,sp8a,sp8b,srebf1,stat5a,tbr1b,tbx1,tbx15,tbx16,tbx18,tbx19,tbx21,tead1b,tead3b,tfap2a,tfap2b,tfap2e,tfdp2,tp63,twist1a,twist2,uncx,uncx4.1,vax2,ved,vent,vox,vsx1,wt1a,zbtb18,zic2a,zic2b,zic3
0,NMPs,0.4568515536332617,0.45657796647332793,0.45623292364188595,0.456471125001236,0.46372004988157955,0.4557498706650156,0.45539470010138616,0.4580329659132801,0.4516009050143964,0.4499051066256251,0.45630109417836184,0.4562138157111673,0.4527573849019504,0.45667988337285914,0.4556275686941941,0.4801402856916603,0.45720869785363866,0.49168649280588905,0.45564617353141024,0.4559688792543706,0.45851945281535744,0.45674133815278306,0.45644000000230533,0.46787498988721377,0.45759950926076165,0.47406413823843757,0.39597645886115046,0.45514044160080724,0.4644547927486439,0.48989873181684834,0.4477931280202691,0.5066135048989866,0.4557321316252829,0.48868839682337384,0.4703446714367413,0.4889977928051241,0.49108584544342443,0.4478609378075781,0.4536688042883366,0.45942675100490254,0.4556304189427357,0.45730918631375034,0.46074189039036584,0.4685930060281116,0.45574739939922004,0.4566704888131127,0.4560385125276797,0.4764071757463073,0.46250681188707726,0.47056493046466424,0.45178240071240794,0.4557077894234441,0.48524040437622745,0.49362279234115947,0.4532266133975168,0.4507070214490934,0.5012239029009662,0.4826090328245449,0.45217365888798,0.48424615633078716,0.45866966274465976,0.486991542558039,0.4872469376572831,0.4454665969717473,0.49777545116174676,0.49259894683832045,0.45399878793967935,0.4992917812060814,0.48531070369414253,0.48220054929990247,0.4707327764847048,0.45518571618185505,0.4827973930440407,0.4595091498309052,0.45660240416830955,0.46611600193101754,0.48338282057661025,0.4555995283877693,0.4537221366691135,0.456920115547707,0.4557177289928774,0.45453953895134724,0.4610403337280921,0.4072881799480518,0.4566915151238116,0.4561988196703436,0.4588643692878823,0.4572630249605559,0.4610222506071577,0.45938260425801697,0.45562842387083685,0.45634854718194634,0.48237635531737766,0.48606481838507853,0.4364816905716687,0.4782313463781513,0.4460333393438508,0.45665676840495095,0.4565869957586607,0.47733261304792435,0.4494495599656473,0.4961964982392411,0.4553127096815741,0.456513140505664,0.45116930745570416,0.4868758152844473,0.45622584343216593,0.4561903047714001,0.45630757099051067,0.45720268725585705,0.46481203833313317,0.4567115938179317,0.46507026178678634,0.477417077679093,0.4566348165106343,0.4523181412069057,0.4644374184315615,0.45432913045741363,0.4566819475128522,0.4550497212568313,0.4492708889706106,0.45639085322213,0.4566924570060243,0.456399546682747,0.45253731877506354,0.46944726522623037,0.4541670580493598,0.4564832141964702,0.455820441871894,0.45590025323967814,0.45573782872055435,0.455580304948386,0.45629378430604006,0.4553550027514074,0.48758127848552474,0.456626900269504,0.46509468946585847,0.45655817742585764,0.45684116044158846,0.4613925045486685,0.4905065800693606,0.4566644803303353,0.45587041651786925,0.4583632557681107,0.462386153854207,0.45958460540266743,0.4557689679020777,0.45253778242715575,0.45512961694775955,0.46917130562336773,0.47380794485200395,0.448736588786214,0.4580045347268807,0.41098709830605784,0.4594926469199684,0.4556464493537959,0.4550688250137841,0.4528445677293126,0.4579369890130696,0.39682829152984767,0.46249324797027286,0.4551235486674348,0.4561959429494092,0.48616519691760185,0.45678020180539425,0.4565163023158405,0.4566969530448822,0.4963412067331114,0.48239974622551285,0.45732958629744924,0.46522402159639853,0.4582936873982744,0.4709253744912716,0.3934505218194261,0.45780721571574895,0.4750535719874332,0.47630835294407714,0.4889843942844843,0.48652964272689536,0.42736882911281154,0.4575346475264487,0.48584554775837246,0.48243047693462,0.49839213292800616,0.4663571048173426,0.48908073306114275,0.452895655438698,0.45658718514180363,0.4565894411181709,0.4569331525376186,0.45540587115046155,0.44034054547352264,0.4557332419323038,0.4569015266856905,0.45684842793324965,0.45994889619253404,0.4655650797835955,0.4741820517796098,0.4559317383692852,0.4565894411181709,0.4585088221128844,0.46188894426463706,0.45493324805909435,0.45674013739823127,0.4562866933317126,0.47070877048707854,0.45651891791819443,0.4814407565888962,0.440666903547479,0.49917500939825593,0.45663840134058253,0.4537186366235545,0.45880399681740974,0.45530388109904785,0.4753861110601421,0.46338788195446956
1,PSM,0.47722147894367023,0.4775138113801931,0.4765824349177361,0.4776718759410367,0.46276712720855745,0.476898590617546,0.4777081364186287,0.4790147426445549,0.4759682383085283,0.4792887241426064,0.4778161842406988,0.47297224689963613,0.476699904168556,0.4773197686371018,0.415165606501942,0.48419684925432016,0.47658666837409785,0.4852829743635898,0.4783023328569467,0.4764485201662503,0.48196900997635045,0.477867488497233,0.4781039075006851,0.4711387206700351,0.4793696100292244,0.4793912853595075,0.4658682152057143,0.47804517544189196,0.482578116894981,0.37941557029168166,0.4585219603622289,0.49934304313021827,0.4783961960540099,0.49155243253088954,0.47773544199040124,0.44568815482672736,0.47154909363642133,0.47665367830568034,0.4746861946065959,0.5029418603021796,0.47820820430440236,0.47823186078667856,0.48647208911269435,0.419062293627967,0.4842555625253488,0.47754980325621255,0.4803084674702578,0.4948565257042578,0.46198764001655285,0.4545937089285613,0.477614103004277,0.47686205835124285,0.49252783171409903,0.48770654690497195,0.43164092753114924,0.46049898950905327,0.4141708382084293,0.44401099155406265,0.4767408867013102,0.464620836325151,0.4817935962677197,0.3935907327130935,0.4511002587781341,0.4411540968633914,0.48968607192717273,0.4869024780083124,0.4805728582599758,0.475349849575252,0.46052278513647543,0.4842077205826121,0.4721919025727019,0.4680979227252801,0.4843869161787632,0.48395155819626073,0.47787845863352235,0.48623965482511244,0.48384553372582634,0.4778189617007134,0.47825889740620803,0.47183658914740373,0.46443019573621847,0.47814643174953786,0.4812618951153324,0.42874703848791507,0.4774697000056961,0.4775125574640218,0.482875389621351,0.4788000498013112,0.4748774176014541,0.4883225739256999,0.478410856054493,0.4721981279338927,0.35859448066047,0.4143997585003559,0.4787127314083767,0.48740429484377734,0.38119363002173984,0.4709044459640919,0.477272719001769,0.4894946183211047,0.46720103646897093,0.5003846270425796,0.478169464412273,0.47754009118284835,0.38695054945279816,0.4285959499011465,0.4765957622499375,0.477532975412338,0.47760118954352243,0.4774092448311244,0.4647843875541349,0.4773980228034872,0.4805853133571963,0.4754499323768,0.4778493008601468,0.48065141440084624,0.4786315929974634,0.4783533907090842,0.47603341155062484,0.47747165775568856,0.47814820310593503,0.47758453968624703,0.47751021011455996,0.4765384038475948,0.47311755125646154,0.45241988192761945,0.47820119148133977,0.47423262497448637,0.4766277656512121,0.47712959664446797,0.4788416833929188,0.47946101144191694,0.4772341033491539,0.4772439061586252,0.47692830004649167,0.47861334240948517,0.4688919078832377,0.4787792972820082,0.4770300720124272,0.47512556919886184,0.49543165001553735,0.47719802763553365,0.4836715258031263,0.47198582010842505,0.4711186905219391,0.4280657138385606,0.47947139542198225,0.47624661842893495,0.47773969006246264,0.48025483796526736,0.48154922831275215,0.4784840975561727,0.47814347845628,0.3891770914108454,0.48455935969991554,0.5004034197050663,0.47528321335068885,0.473772019508071,0.47751072199819766,0.3493455460404124,0.4860870636762502,0.47427780096424993,0.47787950192636747,0.449111192610652,0.4776852549062148,0.47876376204566096,0.4784929357946867,0.43881643465002507,0.4604409492904723,0.4753273736115316,0.4681833208156707,0.47107250308049053,0.48516066482866155,0.46042115805209405,0.47315683187106433,0.4383913607683481,0.47667635366780153,0.4711029386217817,0.4922040487653036,0.492757331845391,0.48133446512595907,0.46748875061353584,0.4985429944066915,0.467924005180737,0.4874197624458273,0.4942167068219303,0.477968455989049,0.47830927433072695,0.47785924879439823,0.4777198681919094,0.47737806819067724,0.45164909929717756,0.4804114192414567,0.4775214557048574,0.4775105412054782,0.4390641496962109,0.45057583582801186,0.4685866043237211,0.47722151545569325,0.477532780458491,0.37348592023977584,0.46945841403629196,0.4815361868204194,0.4769482750882747,0.47631339247180526,0.4665590385430479,0.4743173544855529,0.4813224399923048,0.4610725370785553,0.44760155897207554,0.4780675338048003,0.47266679628430236,0.3789093008776352,0.4721121179220166,0.4853431763694366,0.3971683141874782
2,fast_muscle,0.43687873639790886,0.4430210408289968,0.39137477567442225,0.44296255020468855,0.4710434678189023,0.44371355316857103,0.44280600666233383,0.4441905006309663,0.417191736452168,0.44270473921386627,0.44373106511907456,0.44252390918910267,0.44058647799583533,0.4432437386902898,0.29814165918612756,0.4647970352731205,0.45110138708551784,0.4704520383674349,0.43921844513195385,0.4459307920962945,0.4506430257328165,0.44276762975861084,0.4440863841178747,0.4654920007542538,0.4537524937028071,0.4870867699247755,0.4331409480998696,0.44280860937053285,0.4880394832342009,0.510050077891505,0.476246132077024,0.4436687917730933,0.4429267918063841,0.45989708672186447,0.4565728588289675,0.4809469923016961,0.40446992763721656,0.4488945236160575,0.44482323017202463,0.45318028601096483,0.4453707132346326,0.440570871446144,0.3852021547614749,0.35589436756256376,0.3887800553379632,0.4427504889960619,0.45021016521169344,0.4360880504333914,0.43091235376734627,0.3720833520686246,0.4430177040385451,0.4430104998106044,0.39348460612806824,0.4852748573334572,0.31972711327989145,0.47260972930671585,0.4721237561188012,0.4731402041555988,0.44214544747757056,0.48544870103228976,0.4085280077729834,0.4818218676803922,0.47842650067065395,0.4952798029174506,0.4442438660448344,0.4437139010201057,0.46195679514521454,0.46091703680718155,0.4527253867801571,0.4773918822623185,0.4714353349708418,0.48803567869868836,0.4449789606589656,0.47479786995666756,0.4464408270161348,0.4469791492718539,0.4536690362242462,0.4351384811819086,0.43942996415972785,0.4450043452844546,0.37263589255181684,0.4427310440943363,0.4429204849457003,0.4774978939118687,0.4428433238285604,0.4427224636665887,0.43075166482802507,0.44677065745170974,0.4762373761051295,0.4655877825405824,0.4428373324552619,0.4365850019676971,0.34179842774761154,0.26869266808908027,0.5058031946807231,0.49940022376129667,0.45422743068220506,0.44581398227657243,0.44284437571629043,0.47292894688550147,0.4812442635142481,0.46510387396205954,0.4473260694769275,0.44406481224537264,0.49353872976641033,0.27427542206494626,0.3942003931778307,0.4427228590202373,0.4429081990004716,0.4443671475549268,0.4385467519890054,0.4431554087814934,0.4379184843443106,0.4387719187983457,0.4426887436844972,0.4506410165000448,0.4488857836627852,0.4473933396805421,0.44363319128109635,0.4421103443583504,0.4445795236217873,0.4427310440943363,0.4427310440943363,0.4427642618202189,0.4532399102068503,0.33338849492946054,0.44427264228161123,0.44532353225348353,0.44448591704970675,0.4444232093248182,0.4422219374285972,0.44393182646715906,0.4453934822027502,0.4432383236518948,0.4494662956706705,0.4445390237870308,0.3740891676187581,0.43959586863312766,0.4428287483126622,0.46733678474747853,0.47957134099000387,0.44367465937434547,0.4259873901489537,0.4522786373385898,0.4317731382335581,0.45068784976946413,0.4422683368767363,0.44274522257650106,0.4394949190379654,0.4572138794286259,0.4536893474772935,0.4455011668717275,0.4437139632892565,0.4775830110207811,0.44188027351146,0.44676363830081967,0.44257824593410994,0.44297363557426495,0.44277575217937837,0.4793567162331092,0.4568379844165807,0.4546549222400126,0.4425814828427062,0.44347830039204883,0.442751235855105,0.44272139441086544,0.4443643649064356,0.4716202388552949,0.45087021522096415,0.4541617935599763,0.4620557182418894,0.4758934292346515,0.474020990317743,0.4632260482115938,0.48858054181141586,0.4349600165785466,0.49172841015242036,0.479325602509847,0.4673826208488084,0.37743311293281373,0.37433190714530395,0.4448701070525125,0.4926302799737742,0.4658826027506041,0.4567969506994157,0.4640030960215481,0.4439269481271976,0.43104910290334164,0.44274696279621734,0.44469943519541033,0.4418880242543791,0.474535218727842,0.46610444749262114,0.4428104991204231,0.44286152946945573,0.4108130469072323,0.4492993746813408,0.4846099293140121,0.44197372630064874,0.44379553948575473,0.45333708828979374,0.4527943325629254,0.4432117614550644,0.44377280709093564,0.47141524399065016,0.38304688387765773,0.4432195520694776,0.4810567272296791,0.4512880505746035,0.5131933682545394,0.44252199034509915,0.4575896868244408,0.346630231235999,0.4560050996764143,0.4649626571976283,0.4745771924658396
3,neural_posterior,0.46523756216164686,0.46314328592356535,0.4612051133617856,0.46881454210406903,0.47185151159403116,0.4630839538545556,0.46357791982882696,0.46680643815805567,0.4610488857013553,0.46467515789268127,0.46374720024865457,0.4634380099071715,0.4608172074211176,0.4660678841610003,0.45849325369478994,0.5292255464167854,0.46882781209554547,0.5243298979542241,0.46645261666763943,0.4753474947901056,0.46661094053954627,0.46393431597681467,0.4639730115383292,0.45921340311326575,0.4663923686729313,0.49180733688758793,0.49393346206746813,0.4613683934330428,0.48558460190979663,0.5042751142182541,0.4925804714612657,0.4653936376196898,0.46258052319234355,0.5193328151724586,0.5069341176379881,0.4897737011845471,0.5037552121332997,0.49206692077886977,0.462822351006102,0.45881217724604206,0.4635501973543452,0.4615323692750864,0.49545553493596717,0.3781024848628591,0.43301593062777655,0.46210176649787343,0.48670795807694234,0.49558881551717904,0.46291092273787754,0.4524014531034444,0.4636626366126087,0.46339533533976657,0.5110854063101853,0.5261065147459427,0.45955630421923516,0.4905686235437023,0.4676091075157832,0.4292897457816491,0.4629951894910782,0.5017203579393126,0.45134839740474114,0.49217741938691273,0.48903563853484794,0.49526261735561167,0.46344835881643004,0.4605875258460418,0.5137588828084513,0.495860709463785,0.48097352864923404,0.4786700380622037,0.521462968369497,0.48416444060722497,0.5032071013433792,0.4959390798419309,0.4659672959318672,0.46499094729986673,0.47174468844962525,0.4640701126093902,0.4623306803425071,0.46180534406547846,0.46340441461483334,0.4635403933739332,0.4816069872248334,0.4587166466456804,0.4635676555738156,0.46390830500490243,0.4643486219326086,0.4637517197714509,0.4896088115092513,0.4616705159083452,0.46362605086564973,0.46592798825670534,0.46903197860134177,0.5217522413830343,0.3453908456469535,0.44044236611876986,0.4896611097411403,0.4621672619062847,0.4634953769334784,0.5188627525468044,0.5190233685301573,0.4845857069197666,0.46098206163933486,0.4628412175362373,0.48435662547996117,0.5131594463267203,0.46323729349682974,0.46344138203458424,0.46338477376231146,0.4663793356921542,0.46324913142944524,0.46261115032866484,0.4655053389328921,0.40674202982030294,0.4633952438969373,0.4660369574314629,0.46510468618242357,0.4634394229525179,0.4636863631924646,0.4651837186363221,0.48444562798197816,0.46375360253265285,0.46250912465700467,0.46440037404696444,0.4560083387444489,0.5208031236318418,0.4635263590546674,0.46353674953929885,0.4634793668697952,0.4622224384558742,0.4615995643869423,0.47676170155121245,0.4635107360741665,0.4627221123410592,0.5242278043396127,0.462339276984145,0.42308086857781796,0.4646095595026266,0.46376601116376176,0.4068207179731853,0.500895923293781,0.4614595014771355,0.5069569535791529,0.46358889482440013,0.4629395739987107,0.42666167509978487,0.4628336330054579,0.4640954655293068,0.4669842426336815,0.4634376462674808,0.47251713171180665,0.46441958171753256,0.466546256552373,0.4905244963679533,0.45026608341017954,0.3448882204633479,0.4630987510222909,0.46586301898969107,0.4636132085085642,0.48964697966704,0.47850615070203134,0.4655444890189789,0.46352230692310875,0.4756361955739005,0.46194654809016966,0.46335148016648187,0.46433281258781,0.4893179252227528,0.45835434576474676,0.4583296443282794,0.46739375462520694,0.5139313508348329,0.4995907446680272,0.4108776369696349,0.49367164897720844,0.4938996124459657,0.5141199547648662,0.5337439624098526,0.5217958340438079,0.39127597030603983,0.4619567263075682,0.5040112601524253,0.5169817725844417,0.4778668996678585,0.5145537839366489,0.5210835115639568,0.46410713533112014,0.46343236645787717,0.46323832077889615,0.46219737030903374,0.4633075025894578,0.5077550067887263,0.46303361772666407,0.46355233664482387,0.46290231951142374,0.4687672303926072,0.46501058345115304,0.4956344550951504,0.4644188886229999,0.4636604544027098,0.3958643628250206,0.4780869754415888,0.46054141140717625,0.46306952620760394,0.4659226021600315,0.4915124203460579,0.4660900539100498,0.49881852600337595,0.47903248242756064,0.5380526435760297,0.46352703922487987,0.46428006208268463,0.4858895539203007,0.49395439721351075,0.4921964866371409,0.4647889788641394
4,somites,0.43412717515183485,0.4351345628596538,0.4346190228699597,0.43536909920698685,0.49730732890700247,0.4346037465614413,0.4345451849700154,0.434682663525367,0.4346724657040071,0.4348195795868433,0.43487429912659925,0.43513008380167717,0.432705188335889,0.4339714235706348,0.3133653315029876,0.4609839320546629,0.44237296835022294,0.39861442736297864,0.4337849905373682,0.43250705434910075,0.35545228160740205,0.4344788270703654,0.43319033710864524,0.4539863380558437,0.4312457588252569,0.45251296880810843,0.45607974146973335,0.43444777127056056,0.44696462937889914,0.47079920388150664,0.4862200251187451,0.466939248216615,0.4347788291941197,0.4636735619388895,0.4750159485670777,0.47484335060902105,0.4392074637270467,0.43917271279966097,0.43424116278178476,0.4483064067789644,0.4350120166989033,0.43486079753856605,0.4005800452189175,0.40934183228303633,0.4692682235875679,0.4344168431321355,0.4365166531681918,0.4209251529389615,0.3830342064791568,0.3491021596752851,0.4289414257659138,0.43512341514108455,0.40039779099325334,0.41602748432785325,0.359140081224404,0.4899781802673767,0.48495112023826814,0.48009789062905267,0.4347420204476289,0.4796810769261043,0.3480108067291225,0.47798051780300477,0.47527372838572823,0.498238697987446,0.43543724503097253,0.4352762986384589,0.45187909417399996,0.4664775889075111,0.4398755726003303,0.4703104026098926,0.47311585772765075,0.5071592831841057,0.42786831334294406,0.46712534705822817,0.43962262622683485,0.4359254473744044,0.47725205282150646,0.43001505593145534,0.4329752528806942,0.43412788948137343,0.39097631545843675,0.43442717843005935,0.43721052937886473,0.4086337211732358,0.4348558060785784,0.43432810982881476,0.43926820435862696,0.4387751131321908,0.45019046914072486,0.4796469409259496,0.4356333132392532,0.43514739177410544,0.3871366727445332,0.3222325047697162,0.47251658244526995,0.3525541265741944,0.4304222404043808,0.4317619598353854,0.4324503459763875,0.48061789024799434,0.4960596773965171,0.4534882142389605,0.4357872122607857,0.435148472924324,0.4763861712437246,0.41739495526176873,0.42009515161368793,0.43433685996700766,0.4351703359534427,0.43485063834389004,0.3784821512281247,0.4355000477327945,0.43335957811904774,0.437477201620854,0.43430553070780203,0.4417221287680825,0.4395371577940456,0.4334854836199732,0.43604201803839954,0.43429314668055563,0.4372835580384574,0.4344111452080204,0.434426738179785,0.4344582215794535,0.4335401016569929,0.32773460715327335,0.43570896960894284,0.4337143477729105,0.4331285100487782,0.43555347297614744,0.43573628586544166,0.44257518455642736,0.4333500441021363,0.43514028752404366,0.4383548760098621,0.43403242575817663,0.34840466394045927,0.43231889032712895,0.4372411506824315,0.4821976772326164,0.4669789803511859,0.435318093618942,0.3734255797720052,0.4514071175317872,0.4306954977734797,0.45863506349778416,0.4333153469452807,0.43374610789672746,0.43467901647182633,0.45429375532701116,0.4326193795509199,0.43271216527983236,0.4340823817703241,0.49755411385338894,0.43277793465420666,0.43843701184074346,0.43396742746043454,0.4342196850988156,0.43438098176007367,0.4639656785752137,0.44431109697862736,0.43470111899819014,0.4344725377965465,0.45156230104723916,0.4347674388168477,0.43505801746728956,0.4346081170079958,0.4680756972254398,0.4792991821221115,0.43232450655985083,0.42572844643942725,0.4789384815982731,0.49842459844010883,0.40098765208623355,0.48742190302459726,0.492561523146666,0.4857539511741341,0.44545526078561404,0.38079288113708026,0.4615873177917338,0.3867102404124747,0.4905644013692462,0.443099311906598,0.47869504308926497,0.42159338841761973,0.46434791459138874,0.43550024261285447,0.4318019502799239,0.43444753315534945,0.4347636485525884,0.4357415760688057,0.48974541848563957,0.33385160671444924,0.4343326955324035,0.4330306777519575,0.42079620491172465,0.41998845743006497,0.4730261079156211,0.43460740853842744,0.4345477981865603,0.4169234207429725,0.4356766962268656,0.43978899460872595,0.43423277203085037,0.45927272788145707,0.4733967663894951,0.43473205253803915,0.46295158977527623,0.45894560493611275,0.4983715727285104,0.4343051304371875,0.3971728970319598,0.394247038232866,0.45860305211441715,0.4576259373437788,0.4268949200472913
5,spinal_cord,0.5113013611585541,0.5128082051384261,0.5127921196511,0.5117828556348762,0.502570470793662,0.5127782866143809,0.5125716501901919,0.5105605184238419,0.512429180297125,0.5086558813313116,0.513373477017883,0.5130058558251869,0.5102110056370172,0.5196976257357797,0.5178801441054921,0.5204078072594293,0.5354448916186707,0.5225888041995735,0.5118025997539407,0.5012735182289686,0.5076159963674914,0.5107011683815327,0.5137887493633769,0.514699232003743,0.5114736573924215,0.5227532973086807,0.49924006398326104,0.5119168217356929,0.5332095064349242,0.4996140715208143,0.5013295778916931,0.5305250551685048,0.5123539096370403,0.49973921709894104,0.5060271990214408,0.5355649658898212,0.5118813697923486,0.5084608003805869,0.5121248599622276,0.5134145167283065,0.5139078529880777,0.5127477145061647,0.4880872763316256,0.4580524001216553,0.4561602679486737,0.5128170159771319,0.5157175593077231,0.479023026069513,0.5105282641289863,0.47400232354103333,0.5118610228391761,0.5120269377484354,0.5032695017596441,0.534201527625155,0.5326424748560407,0.510957522422131,0.49985810025082916,0.5129016690091588,0.5139640400063842,0.5297094885548844,0.4475519879091294,0.5053893966263273,0.5238871256198613,0.5168069754599709,0.5302299917731027,0.5122944220520231,0.5255124388361098,0.5242324053690354,0.5097624023168624,0.5093535787032551,0.5131892178137364,0.5115008194019491,0.5104115708194987,0.5112796622268204,0.5143332115127657,0.5214773591323929,0.5256270964738678,0.5130294885954757,0.5129158238249965,0.5132011545629588,0.5127330599655682,0.5128225182256229,0.520381577859574,0.5106904234425361,0.5132671654634708,0.5132151593238448,0.5123670513292262,0.5128181124175176,0.5393418214254886,0.5317451108147899,0.5134212726817878,0.5109104273089148,0.5122062658361648,0.5298314321376689,0.4345569985333044,0.5013400146296656,0.5064742470502179,0.512536165982259,0.5122935504887968,0.524911979528982,0.5180645131047986,0.517905127799456,0.5130646215031123,0.5131179790262455,0.5308974961031904,0.5317990369628843,0.5135901904136124,0.5132212539258696,0.5127043458699376,0.5091862213037389,0.512700881449926,0.5120886192111888,0.5151747361640583,0.4702395893400347,0.5133029317742824,0.5236774389463269,0.5255624323753104,0.5134021460638708,0.5101853764697368,0.5091551626641446,0.5240332957529232,0.5128942280201945,0.5128104999529808,0.507752753227663,0.5096265920364862,0.521383163584501,0.5119103130611402,0.5126862057308306,0.5128494992788434,0.5115277141645841,0.5124727049280821,0.509726056957864,0.5126995421614382,0.5120266938375323,0.519707065507293,0.5123536051472916,0.5316448564998097,0.5063804865136563,0.5134566642064508,0.4578844906387373,0.4432334586954243,0.5120226963070019,0.5074695343274848,0.5114123835114489,0.5182718505955565,0.4876424816711588,0.5131547322455732,0.51275214039773,0.5145601401345723,0.5141540334290762,0.532184364580379,0.5295338589208398,0.5083106987760951,0.459446789127366,0.5109090722653703,0.4657218631459568,0.5122525381869152,0.5142456746362672,0.5133056570272851,0.4820762694461018,0.521259128510113,0.5136971511346797,0.5124738380754675,0.5342405177075483,0.5125687028871764,0.514016898108615,0.5122981189028688,0.5104607613873633,0.5138637000422869,0.5102289012938669,0.506066284922282,0.49418609453792506,0.5030795624029428,0.4966597411188125,0.5087570357931669,0.5196523582732321,0.522810561965126,0.5139605094687758,0.5019635259552615,0.4779102439129294,0.512841805575117,0.5354409342263314,0.5197826803706389,0.4980890176271306,0.530919792601014,0.5197350755894816,0.5136649031857846,0.5126008879608733,0.5129669574880495,0.5134438485906135,0.5132451279354753,0.5142211820799713,0.5120623107734921,0.5130871796733553,0.5126517215775622,0.5034017211319664,0.5131025520037084,0.5191175846771744,0.5128462192906975,0.512708869513656,0.4693457860181597,0.5146786384151774,0.5095043247601273,0.5128842145692236,0.517372914527458,0.5218583307839232,0.5127732785461319,0.5288012982536728,0.5303968670711349,0.529324387360951,0.5117269660034155,0.5130016013023425,0.5166179967770764,0.5183859122261759,0.5246362759199238,0.5168875006346785
