,celltype,alx1,alx4a,ar,arid5b,arxb,barhl1a,barhl1b,barhl2,barx1,bcl11aa,bhlhe22,cdx4,cebpd,creb1a,creb5b,cremb,cxxc4,cxxc5a,dbx1a,dbx1b,dlx2b,dlx3b,dlx4a,dmbx1a,dmbx1b,dmrt2a,dmrta2,drgx,ebf1b,ebf2,ebf3a,egr2a,egr2b,emx3,en2a,en2b,esrrga,etv2,etv4,etv5a,eve1,fli1a,fosab,foxa2,foxb1a,foxb1b,foxc1a,foxd1,foxd2,foxd3,foxd5,foxf2b,foxg1a,foxi3b,foxj1a,foxj1b,foxn3,foxn4,foxo1a,foxo1b,foxo3b,foxp1b,foxp4,gata1b,gata2a,gata5,gata6,gbx1,gbx2,gfi1aa,gli2b,gli3,grhl1,gsc,hand2,her6,her9,hey1,hmga1a,hmx4,hnf1bb,hoxa11b,hoxa13b,hoxa4a,hoxa9a,hoxa9b,hoxb10a,hoxb7a,hoxb8b,hoxb9a,hoxd10a,hoxd12a,hoxd4a,hoxd9a,irf1a,irf2,irx1b,irx3a,irx3b,irx7,isl1,jun,junba,klf12b,klf17,klf7a,klf7b,lbx1b,lef1,lhx2b,lhx4,lhx6,lhx9,lin28b,lmx1a,lmx1ba,lmx1bb,mafba,mafbb,mef2aa,mef2ca,mef2cb,mef2d,meis1a,meis2a,meis3,meox1,mespab,mnx1,msx1b,msx2b,msx3,myf5,myod1,myog,neurod4,nfatc1,nfatc3a,nfe2l2a,nfia,nkx1.2la,nkx2.4a,nkx2.7,nkx3-1,nkx3.3,nkx6.1,nkx6.2,noto,nr2e1,nr2f2,nr2f5,nr3c2,nr5a2,olig2,onecut1,onecut2,osr1,osr2,otpa,pax1a,pax2a,pax2b,pax3a,pax3b,pax5,pax6a,pax6b,pax7a,pax7b,pbx1b,pbx3b,pdx1,phox2a,pitx2,pitx3,pknox2,pnx,prox1a,prrx1a,rarga,rfx4,roraa,rorb,runx2b,rx3,rxraa,rxrab,scrt2,si:ch211-153j24.3,six1b,six3b,six4b,six7,smad3a,snai1a,sox10,sox11a,sox13,sox19a,sox2,sox21a,sox3,sox5,sox6,sox9a,sox9b,sp5a,sp5l,sp8a,sp8b,sp9,spi1a,srebf1,stat5a,tal1,tbx1,tbx16,tbx18,tbx20,tbx2b,tbx3b,tcf12,tcf21,tead1b,tead3b,tfap2a,tfap2c,tfap2e,tfdp2,tlx2,tp63,twist1a,uncx4.1,vax1,ved,vent,vox,wt1a,wt1b,zbtb18,zgc:101100,zic1,zic2a,zic2b,zic3,zic4,zic6
0,NMPs,0.5016548087257117,0.5014717181675578,0.501802309611873,0.5019383617533814,0.502047699661032,0.5027593779168323,0.5016093859576256,0.5016154346254315,0.5015266561560051,0.5018071701778365,0.5011463158466825,0.3587771334334889,0.5019785836695233,0.365742367886728,0.5030088225168408,0.5014843259596219,0.5016486829455045,0.5015022230635582,0.49293523176263343,0.49900480034658995,0.5009236770195663,0.35773204949112886,0.5021407161963225,0.49814726414991645,0.5016126256573392,0.4891100268074396,0.5015134314874558,0.500533646283812,0.50085911539025,0.5014499024116765,0.4989345690486516,0.5012153510341976,0.4111997042362802,0.49765994828211646,0.49850037636792965,0.38027564669398706,0.3948342534510303,0.41034660092676184,0.43357994458505184,0.4425537320043475,0.4946208556734373,0.4999393724547675,0.4759044445725143,0.4998011204337292,0.38211699110231423,0.4934828048336811,0.4600105043192549,0.5014914933983762,0.49915617139390966,0.49020959191438745,0.4407510435026829,0.501763549633777,0.5012419149213014,0.5011076410402548,0.4995410320739111,0.502402505078554,0.5009108646399105,0.5018622501231355,0.5015660635907991,0.5015211387772376,0.5004641646952476,0.4780924305093595,0.48266159160198735,0.5014435084895982,0.49145671449286926,0.4639967593842348,0.4998516570439379,0.4951319892703932,0.4729973478625556,0.5017029783850145,0.5022220624145863,0.49171345673487443,0.5016780157222017,0.5010536623768215,0.49859504626319373,0.40629889466935204,0.3813644562586177,0.5022658561190606,0.3791739375875395,0.49977393037411577,0.5013374309170582,0.46578592940018704,0.4929161378753731,0.4631800632336963,0.4771651421666178,0.43605050776495147,0.4300385851542537,0.38389889051707493,0.500514598913356,0.39744211712952177,0.49335977064751263,0.5024201261707247,0.493685397225476,0.3717016965029035,0.5015296741427018,0.5018309391099538,0.3587206533556934,0.4854402635691848,0.4853737201217018,0.36789315125267447,0.5016927216484921,0.47587183151920553,0.5008048016185462,0.501798673160379,0.4890744701537173,0.49733043699644225,0.502658040276977,0.5000321172491408,0.34899669467158456,0.4996052215422972,0.5012412956611075,0.50144907993547,0.4965453126006701,0.5031064250025442,0.5007560968153426,0.5020406171846723,0.49260561234016786,0.40746470704688725,0.5011729911152067,0.5024262356332249,0.49765020598404547,0.5015520815661811,0.4428068193124551,0.47311307296880933,0.40450197225365536,0.425368681738837,0.37068341454295006,0.5009780579701013,0.5007619221974046,0.43516171786505997,0.5057423631276045,0.5014337141994729,0.3863517436762228,0.4884593338899347,0.5013018261678923,0.5014069021697728,0.5012060024496809,0.5015418188109585,0.5017817613292367,0.48026724287736955,0.49621816960394,0.5005487248461763,0.4357020665500429,0.5008931498657657,0.5017198181779623,0.49833264512239484,0.4978564662370793,0.38643161045895036,0.5013234533413239,0.5011633101285456,0.4050582772202756,0.5027127609375269,0.5014458321577867,0.5008488629299349,0.5022490886414125,0.5040685176526689,0.5005844622282521,0.501555457811907,0.5016050345455274,0.5015828951960748,0.3995307036103164,0.5019721334389674,0.4925969122272031,0.5008956419201853,0.5017275031182865,0.42719663993888984,0.3762072864072199,0.5016800905642076,0.5002681528199913,0.504376084033484,0.5026651860012068,0.5018881480755497,0.5018831568121236,0.4891850138837883,0.4975220243642459,0.5003188900272346,0.48586685379836664,0.501867784637406,0.5007686001199302,0.35525892490883854,0.49045994263357,0.5016355800131146,0.5018212578190676,0.5018985579513591,0.42063191598531924,0.3375189259619573,0.5004130460096409,0.5015981273925267,0.5007063241359465,0.4983323336255329,0.4502126435870562,0.5004533084815311,0.4343433062144856,0.3912237660412299,0.5013133257125962,0.4995494181629196,0.3798536071213213,0.49529071665551816,0.3676373048844431,0.48875853982913786,0.37284953977854673,0.37225342626152885,0.35421204157020125,0.5031465097219421,0.5011675254125222,0.49408889560976177,0.5010195576417495,0.4747423541964317,0.4967272779506814,0.49862360280854845,0.4993567635836016,0.501610433889588,0.5023523741370526,0.502078023713408,0.5006292997787213,0.5002413754031243,0.36692636005362017,0.5014812849114433,0.5012829308016211,0.4991290151070341,0.501785035026769,0.4596845073916796,0.5009125106890084,0.5024890250985684,0.5038466497383743,0.4793005317342582,0.47340710819252574,0.5014870178058779,0.4180665950902736,0.5017074304414729,0.5005103249380682,0.4990328540589989,0.4975016931492364,0.501410588104828,0.3791193382602719,0.355323272162629,0.41405723700905894,0.5015687103603073,0.5016189311586315,0.4906285838728203,0.48559960300460786,0.5000147554394213,0.48006229813256157,0.44543170847223124,0.4972413507103335,0.5018773491991024,0.5013489621866315
1,PSM,0.5761036336116667,0.5814537397742368,0.5762083799767551,0.5755896887600496,0.5753501282102758,0.5356365484907669,0.576333028019111,0.5721918996551852,0.5763161437310383,0.576183701982878,0.5758343018261408,0.5301018630609736,0.5763111075383616,0.5403815421183904,0.5771068233779136,0.5762401422106171,0.5759732152100985,0.5762420073284883,0.5775618282974141,0.5768256326252142,0.5767898086376869,0.5388832274728849,0.5764181338394949,0.5764779622967415,0.5749435360839036,0.5242669171015083,0.5764153694281958,0.5757397654843711,0.5750295251379332,0.5797457375620775,0.5799911051814061,0.5761611606324859,0.5583928534748123,0.58077530866321,0.5821274839060236,0.5743687999579407,0.5790604838217487,0.5473886899166951,0.5085185284586526,0.5555199840868725,0.564161228805058,0.5761676680727376,0.5714801530231112,0.5679314803791584,0.5561401654349141,0.5719018706397766,0.5467065727873426,0.5764786501500334,0.5795153689861967,0.5665669132266065,0.5788194977391881,0.5763794705160752,0.583710160971529,0.5770364657730364,0.5773760077477658,0.5649302883808704,0.5808926932369196,0.5764485872549527,0.5760748271981955,0.5762899203580257,0.5740511720061523,0.49811330230915885,0.5760227552702712,0.5763075016294176,0.575261013667858,0.5763494561025734,0.5795049912276764,0.5754475910953619,0.5637310403662882,0.5752465215719776,0.5763192183567636,0.5788409329989339,0.5760290576898941,0.5760687967340264,0.5774377031649731,0.5586460121712561,0.5539523872401186,0.5781860974963443,0.5347513551849316,0.5761031162553548,0.575211500426543,0.5698102727838301,0.5778174821728843,0.5676710052637906,0.5544174304650817,0.5595914056581417,0.5541755552173967,0.5018355683184567,0.5761301932367635,0.5316865934342718,0.5768883938700653,0.5809427140190807,0.5758483437693644,0.543240679945804,0.5763126531778121,0.5761601794854655,0.5506829693256508,0.5488540584020184,0.5743833164789413,0.536347170205179,0.5758770056180008,0.5716008185170123,0.5765401872556309,0.5761700498974386,0.5643038196831196,0.5784121916424344,0.5763134196876211,0.5772206946023368,0.5002578912139424,0.5766968638869944,0.5770195362694147,0.5762965788382896,0.5822559448777218,0.5712187975441886,0.5760709004265622,0.5766601869993375,0.542336393894173,0.5650338796499432,0.5862128222609208,0.574350209987414,0.5761529036163852,0.5784847961305946,0.5055418587407717,0.5232308178104385,0.562373287908406,0.5702742009119539,0.5008338679937658,0.5757483866309274,0.5760830857031615,0.5507571461387073,0.5787143787506245,0.578553657639548,0.5470086651744748,0.580240258699908,0.5760754206913502,0.5757240097639522,0.5763492764587259,0.5774096784835674,0.5763930850841625,0.5834495033740086,0.5801545585123156,0.5764874529351862,0.5630656206984774,0.5801643134069043,0.5761330954598282,0.5782937928264018,0.5774961087162398,0.575451625780604,0.5770024597517157,0.5763668002840603,0.5423822772341741,0.5738035477172703,0.5759058542014448,0.5759291356983164,0.5754904541402416,0.5527369585954932,0.5767120347910164,0.5762711858999969,0.5763195950625072,0.5762533608399231,0.561625810446771,0.5762707296429332,0.5873072208192962,0.5724893467438935,0.5754848303673552,0.5713443497992032,0.5513782791477931,0.5760821493513901,0.5795587324435018,0.5635826149455838,0.5754696325349237,0.5759902032738234,0.5763278283660807,0.5779749975118347,0.5844437682945488,0.57949483217925,0.5754666572583136,0.5760285381989176,0.5760793763491823,0.48664771324151007,0.5878009561829408,0.5758116686481534,0.5766539477197467,0.5762775520986293,0.5668582242179496,0.4218726465089949,0.49629870944927024,0.5781514681341007,0.576365403709605,0.5803525748007761,0.5689794792741285,0.5755112437412986,0.5509972015579623,0.5457516877981504,0.5801617890179795,0.5781988361697483,0.5534366635483978,0.5651082383574503,0.5453518806199058,0.573050539885468,0.5614775913619484,0.5487879869118395,0.41214247042442836,0.5800502904778407,0.5754575420417688,0.5702524021277893,0.5667999909327675,0.5299766631966628,0.5843019015316697,0.5708545862541972,0.5782094245304311,0.576338769616319,0.5775599882412024,0.5762862565274087,0.5775744053784565,0.5757317220863226,0.47392884535274227,0.5837837462518809,0.5757372313787402,0.5791693422429073,0.5762352622793315,0.4663678920957409,0.5769357716138629,0.5692653279891,0.5731316637547266,0.5573268650028227,0.5745956124998035,0.5763799596891388,0.5098042748758634,0.5736879841016621,0.5738544466737708,0.5790191487623174,0.5824190215986367,0.5762897129250976,0.5399893954916796,0.5543934978547143,0.5383075322377601,0.5754784890162052,0.5763169245752119,0.5507966440073747,0.5762612287865244,0.5760586453819193,0.58074298451632,0.5723335474105042,0.5502441989154457,0.5760151562590685,0.5762324679440002
2,fast_muscle,0.5446768112700886,0.5525369840511208,0.5440400398350963,0.5384365598527149,0.5560078539993305,0.5439361187617701,0.5439157137695901,0.5493738258780029,0.5408279851340085,0.5438875552484356,0.5441958341197313,0.8839312230086107,0.5434176843968076,0.8488058794135003,0.5575782970130688,0.5412123964924029,0.5438297949220872,0.5184131037311912,0.571099215150661,0.5389833816685737,0.5443710313196923,0.8155404365224678,0.5432512851755235,0.5503178713607075,0.5430801193711837,0.4961592775888951,0.5437434515908538,0.5419919395042945,0.5320847547598775,0.5511373143639106,0.5626566478159205,0.5447078618556049,0.6415249905883087,0.5876222631467131,0.5536464846922989,0.7114213339501276,0.5816808758596929,0.5958826645969073,0.7875349759051228,0.7938374648487987,0.5543056894373102,0.5480698833360885,0.5637805729442679,0.5487921006891922,0.6233346559802027,0.5790920807299879,0.6239453272629443,0.5476611233663438,0.5411275355573549,0.6335173468725718,0.6192323769835593,0.5435102748890667,0.5548850424284131,0.5524669011083926,0.5536933571031398,0.5563026364142217,0.5550622878140843,0.543489778705973,0.5435003681032777,0.5431493088258839,0.5312775276121917,0.5125469257848081,0.5180484642345065,0.5434350300157295,0.552307297618239,0.5883468887794577,0.5411116660681713,0.6577818083569846,0.6172854717595835,0.5453703433248408,0.5359466481121135,0.557441513887243,0.544455151817024,0.5547705700177361,0.5415053893226551,0.638134752010139,0.6389263461745639,0.5011063472593678,0.8895584999559517,0.5366232330421293,0.5432350540726735,0.5934035316272523,0.5513405896754083,0.6223662717227315,0.6234222217025588,0.5745497785164001,0.5746677203878711,0.8482453952057353,0.5449772567702319,0.6948136253077226,0.5775450909291824,0.5357772353774829,0.6225038781006432,0.8213436980309136,0.5439157137695901,0.5439157137695901,0.6325968047827448,0.5784682076025143,0.5814262092528046,0.7955071055152645,0.5364924570601196,0.5583385524679144,0.5440557210773516,0.5359535074178636,0.6298515083028629,0.5551483022689679,0.5426792343617581,0.5685723429912489,0.5755556889333262,0.5440457207779795,0.5445235684543482,0.5439190981572865,0.5777737938266945,0.5684946006920584,0.5438195934232569,0.5424394558591865,0.596608088283425,0.6101869217736082,0.5378453523354544,0.5463771789720323,0.5412334689670478,0.5349691010719615,0.46833354444367337,0.43029921466281484,0.659492359063982,0.4706614853328672,0.622373667548102,0.537526919353759,0.5437142868713687,0.8326349394550331,0.5404289919851201,0.6364311143046847,0.5911145515332252,0.5261215209204084,0.5440331606299548,0.5462362569344602,0.5400231252467768,0.5455918962624132,0.5439765173299504,0.5749832415379417,0.540019328537172,0.5441931729584392,0.6061145575015232,0.5465577669275772,0.5440865984899872,0.556709552151412,0.5520874639477078,0.5830830068351122,0.5471868222082967,0.5772557686765138,0.4801935950311129,0.544440432182149,0.5427678381717149,0.550019301460016,0.5444500920349976,0.5509545595309734,0.5509368364222134,0.5439157137695901,0.5432631341267161,0.5440499157158454,0.6844543734723157,0.5428382270884484,0.4294570662180178,0.5479832973963612,0.5405698499782399,0.6981408526671385,0.8105374041202288,0.5331582432037478,0.5486923888977531,0.5085084898085346,0.5567023366643192,0.5440135382899429,0.5436338079368496,0.589017749578457,0.5556882603449335,0.5619669116553542,0.5914616489605381,0.540768271205116,0.549778751650247,0.629976863644421,0.5445746501199095,0.544000033181799,0.5439011157707395,0.5364645193991828,0.6413207430703495,0.5503094917198948,0.5455666948465919,0.5508448265341119,0.544602000048265,0.5443018832117076,0.6361261672822297,0.530880683062319,0.6698241097891006,0.5482919156607167,0.5533544019854125,0.5672983323857764,0.8555971636561605,0.5466326135974546,0.8924316902407855,0.6682474828021665,0.7600435247106837,0.8612798500777101,0.5557991368549404,0.5434758392417226,0.5319175658853029,0.564801433570721,0.5828484541465362,0.6443271584722386,0.5799617252403064,0.5997404835274723,0.5718094960750362,0.5438376159014856,0.5482094181010274,0.527394413440722,0.5323874245762323,0.5376007077788193,0.5636803944656449,0.5975272625936753,0.5439743130431842,0.5465364146065549,0.5439532838603399,0.5301211202769369,0.5439812497306853,0.4734824579021353,0.5837154375025849,0.6741713784299694,0.5555059851506197,0.5445574715412573,0.5268694300424606,0.5448091429721521,0.5410396167652644,0.5842817705585126,0.5491397319158288,0.5444971218561225,0.810657811342724,0.572260111341934,0.8379837458662025,0.5401013232160904,0.5439518820673389,0.5522770442088771,0.5541609784840884,0.5370531629389316,0.5633604713905507,0.5749360393712774,0.5814070725912341,0.543962705474263,0.5439590087035102
3,neural_posterior,0.555700631237977,0.5546992195998418,0.5563935272319956,0.557816053956435,0.5344142363924241,0.5399012091955337,0.5557872294287306,0.5457244681480974,0.5538826259770586,0.5555776777654603,0.5569733672219788,0.4711547611654294,0.5568371417877116,0.47895424055740804,0.5556380591221568,0.556325049935587,0.5564258572604343,0.5537215768972527,0.5476305080975608,0.5546416367520302,0.5519631076101036,0.4771312426494355,0.5531843158508671,0.550101923163638,0.5561879238450316,0.5261614759079154,0.5554793512705274,0.5560918267956545,0.557113873920548,0.5374599216404934,0.5182966203764965,0.555854046173915,0.4915232707591589,0.5525310845508542,0.5371062107516724,0.48880873896962435,0.5300918040135095,0.531721071453856,0.47854584742511785,0.4848609125676371,0.5267568458322045,0.541491880997794,0.5254513638852898,0.5445627244066787,0.48981811569175604,0.5446400943142655,0.5236380572208773,0.5542570263961655,0.5442993975121945,0.5036347916644413,0.5192433577846342,0.5556328492680304,0.5340952950729805,0.5563837568298038,0.5521473795019921,0.5424475183569564,0.5519879349826258,0.5558493493187329,0.5573164809205613,0.5557950324446814,0.5560923147032001,0.512009425728013,0.5243993539494659,0.5553057507091064,0.4962239073418259,0.5401607655503273,0.5553399771474297,0.5207122475095024,0.5238476976262595,0.5557631228730094,0.5592201371053829,0.5426685888785943,0.5550701283536027,0.5556351376086207,0.5525219358059993,0.4956198745788672,0.4899583234110572,0.5460954011829453,0.48068114389726335,0.5547599500632482,0.5565034071313407,0.528077318164041,0.5484572965941212,0.5152815017266529,0.4947054315387084,0.4972483047212149,0.5043266994827234,0.4792719697481944,0.5553859233887765,0.4839337280071601,0.5376842664225241,0.5422807433327567,0.5427641532742448,0.4838038910060669,0.5554874916627646,0.5553608686942456,0.4736464134664487,0.5209584118834905,0.5153541382246417,0.48619537595968587,0.5559637973410759,0.5350100698235924,0.55567744050596,0.5621146376851731,0.5451206233006697,0.5437578888906747,0.5565862559125527,0.5289845291255815,0.4889110037888599,0.5467544769556477,0.5562954683932804,0.5556705323266513,0.538483312375932,0.5545974342829185,0.5484641945230101,0.5537254416754153,0.5273218444590281,0.5089321615588042,0.5397459202512969,0.5560531511918709,0.5543503898862328,0.5453995967409943,0.5028444130881159,0.4904923575402833,0.5204768089821973,0.4962296415717019,0.46744686212092,0.555003466464265,0.5560013635333457,0.4814820207801395,0.5512119379268785,0.5445964821721543,0.48948644571097094,0.5230672958729623,0.5552294644914375,0.5454573302166855,0.5553699226757228,0.5598857684356634,0.5560604090051929,0.5333356113020465,0.5366208416361716,0.5517867532661485,0.5250866079110814,0.5469915218251834,0.5560472310650044,0.5504776255623551,0.5552629254953754,0.5191614399600097,0.5556794975148551,0.5552699082041042,0.5028837344700237,0.5564625099724498,0.5557308505662366,0.5525401450562663,0.5562128123557742,0.5582481517206227,0.5530184007284807,0.5553551552740499,0.5554298562781482,0.5553306704223168,0.5169389170210579,0.5562183139909651,0.5339506015049159,0.5551171775687771,0.5533980892154909,0.4749542894727101,0.5076780173080842,0.5561611869073952,0.5427808633411711,0.5601012688735004,0.5645900928067124,0.554534181881307,0.5514043208868815,0.5361506300889839,0.5553319975366546,0.5360140422839614,0.5282103177881684,0.5569727739059617,0.5554083538982122,0.47765095840094696,0.5326232722592701,0.5558193419954385,0.5558773888067683,0.5569407139083753,0.4800445400332488,0.5084186505514725,0.5462823162915905,0.5526416218987289,0.551699102524665,0.5383600821799653,0.495362541660347,0.5533130418831664,0.4824015170304558,0.4936767233776197,0.5469676667596324,0.5290897728696504,0.5025555772100974,0.5107878507669203,0.4754998153807132,0.49803442276460796,0.4738674040525803,0.48558367074482,0.513297894126397,0.5384839288497998,0.5569337228376787,0.5358032285325699,0.5259166806126365,0.5193144520323264,0.5555556125561772,0.5403403467495269,0.5238076869536964,0.5562713694974518,0.54867534701053,0.5558509555835216,0.5492604434715538,0.5563449193722497,0.49021002353405,0.5477528742306086,0.5529969206558235,0.5432747775268827,0.5552818715911176,0.5010796124555159,0.5567797449815648,0.5539560000693284,0.5549790594341668,0.4824907124111941,0.512105075245141,0.5561684539242752,0.5356003947669855,0.5565238159072998,0.5417740597528915,0.5491116760809639,0.539848187108857,0.5565853902672478,0.47077424685145997,0.5011808733760831,0.4756215586006483,0.5562885041319343,0.5561344187547355,0.549870928225046,0.5298956093026108,0.5568785132628954,0.5369771181441161,0.5146986371568641,0.5328268701148082,0.5558697922321238,0.5560134915852876
4,somites,0.5113247408658252,0.5108406500165382,0.5121506366145124,0.515855125112391,0.5151112525553262,0.4985305518342106,0.5122943092412177,0.5080424179341798,0.5120928392976599,0.5123563828418007,0.512131118773963,0.40371385194127996,0.5120253384270455,0.413212882472279,0.5149410114854232,0.512076208520765,0.512347441263386,0.512570291377854,0.5109244656640302,0.5110870431260169,0.5127745426036366,0.41420027468415,0.5117910235435563,0.5121989763955473,0.5120707005487324,0.44335961791169637,0.512283698798867,0.5115371338578694,0.512543435143408,0.5072430634162873,0.4882723679341272,0.5119944759463705,0.4586890516344959,0.5098564467600134,0.5127807267260013,0.4957234744014098,0.4990654749985764,0.47663713602704605,0.4292319682310911,0.4646252532037837,0.462365234485595,0.5115215768726556,0.5116310961879885,0.5082230720359209,0.43984797357232325,0.5110822419347467,0.4292301368208452,0.5118667069845684,0.5096580789647427,0.49787861972067016,0.4970062731364594,0.5123590037894232,0.5140916942795377,0.5131454487337124,0.5124089391862297,0.5111086855487684,0.5147185817457816,0.5123763904637048,0.5118967489627606,0.5122110608490962,0.5159015130543948,0.49396380381099436,0.5105204021133007,0.5121893144575935,0.5127246338014022,0.5084396435028171,0.5075221406025247,0.5068469258024227,0.5080605295741727,0.5118628342382311,0.51511441074325,0.4935117250497403,0.5121329022935482,0.5111002390135089,0.510896061767384,0.48276944959376494,0.4341213862447792,0.4932256722151936,0.3995823019167814,0.5119062204459742,0.5114207785418796,0.5087407148204565,0.5140528781159864,0.45652120526173434,0.44525380026255257,0.47492237530123904,0.45369917855902026,0.40862303293030344,0.5118639245182954,0.44633372757994033,0.5117407599636551,0.5099798165348468,0.4979065113521937,0.4394017988230384,0.5122300166591565,0.5123434586282497,0.4115813187672695,0.4335234837170787,0.501761526767126,0.4182716684135093,0.5116991220238676,0.5050482019889405,0.5122067884507223,0.5119964861588516,0.5028817885271133,0.5116580062722086,0.5142922881653345,0.5061467238340318,0.46687937562458964,0.5126181174911293,0.5120514864615842,0.5124017370393896,0.5096644521649573,0.5149068398348622,0.5122143638697972,0.5121751604619369,0.510721593945659,0.4684790961244595,0.5105798980035268,0.5117393002927418,0.5114343297990636,0.5115979386615017,0.4980339721810566,0.4266888489965256,0.4293498639961789,0.46777477277608187,0.4102282364491392,0.5087586939455773,0.5112815923447067,0.4431316280039783,0.5134948148664399,0.5051293544646529,0.4588436699856191,0.4678352872134059,0.5119787081399297,0.5122043064737738,0.5121750110219171,0.5175064219775398,0.5121623683238448,0.4671252832481974,0.5097414391324424,0.5120692361708966,0.5075010354552628,0.5113512989066433,0.5121319593542016,0.5118776927416621,0.5112443960778174,0.5117232528080355,0.5137117492910014,0.5167344032427404,0.42754264716326346,0.5138051831172779,0.5120511799173179,0.5118602040976308,0.5124665465669349,0.5141081558266094,0.5114873521834121,0.5123281688728017,0.5122990949037828,0.5123171590389142,0.5091233636957698,0.5122571696814675,0.48632362594150386,0.5156402593634899,0.5126147635775737,0.49517691899607696,0.45349914280071013,0.5108770377487493,0.45633390288715303,0.5121380406926678,0.5156127424445408,0.5123346345533499,0.5119959630500367,0.5064766148646299,0.5134071191817866,0.516095531310852,0.5012485230445791,0.5123773698563486,0.5111365200909453,0.4313767608038033,0.5148602729334743,0.5119976646346918,0.512219946492606,0.5123009862869157,0.4655653214298163,0.4667491209452072,0.5084470952391431,0.5144654829607042,0.5117559516275171,0.5152710135638264,0.4789378144434725,0.5106570790665285,0.4387695081869165,0.4688702036446897,0.5118106914400425,0.5145021190698886,0.43284151498991286,0.5021780278903685,0.4174982623721193,0.46654265293206865,0.43610974192900315,0.433386522753694,0.4752191082146671,0.5160819277452945,0.5131438684781786,0.48494015286396946,0.5064309828151095,0.4524720907269728,0.5079140576367518,0.49811876052769966,0.5068387026595937,0.5121604731114289,0.5138005318763557,0.5127333652506633,0.512148309989819,0.5113548717702568,0.4474734559799696,0.5018058656216787,0.5121683675131081,0.5115822880153709,0.5122212395527984,0.4794637552499814,0.5121702972476254,0.5149262025364333,0.5141825849437797,0.4710879240259903,0.5151090142618725,0.5125044455147982,0.5008491090895963,0.512354293274924,0.5141646203951699,0.5160507441124229,0.4760156458086788,0.5123486967271752,0.42412401079621576,0.46281004062651093,0.42607088413335825,0.5111933371742267,0.5123374423964802,0.5061744556881105,0.510003090033968,0.5102467812651593,0.49998575385110317,0.47840571749076816,0.501962095803139,0.5113106058651384,0.5121735534381702
