,celltype,FQ377628.1,alx4a,ar,arid3a,arid3c,arxb,ascl1a,atf3,atoh1a,bach2a,barhl1b,barhl2,barx1,bcl11aa,cdx4,cebpb,cebpd,cica,creb1b,cux2b,dbx1a,dbx1b,dlx2a,dlx2b,dlx3b,dlx4b,dlx5a,dlx6a,dmrt2a,drgx,ebf1b,ebf2,ebf3a,egr2a,egr2b,emx3,en1a,en1b,en2a,en2b,erfl1,esr1,fezf2,fli1a,fosab,fosl1a,foxa,foxa1,foxa2,foxb1b,foxc1a,foxd2,foxd3,foxd5,foxf2a,foxg1a,foxj1a,foxn3,foxo1a,foxo3b,gata2a,gata6,gli2a,gsx1,gsx2,her6,her9,hey1,hey2,hmga1a,hmx2,hmx3a,hmx4,hoxa11b,hoxa13a,hoxa2b,hoxa4a,hoxa5a,hoxb2a,hoxb5b,hoxb6b,hoxb7a,hoxb8a,hoxb8b,hoxb9a,hoxc10a,hoxc11b,hoxc12b,hoxc13b,hoxc6b,hoxc8a,hoxc9a,hoxd11a,hoxd12a,hoxd4a,hoxd9a,im:7142702,irf9,irx1b,irx3a,irx4b,irx5a,isl2a,isl2b,jun,junbb,klf1,klf13,klf6a,klf7b,lbx1a,lbx1b,lbx2,lef1,lhx2b,lhx5,lhx9,lmx1a,lmx1al,lmx1ba,lmx1bb,mafba,mafbb,mef2aa,mef2ab,mef2ca,mef2cb,mef2d,meis3,meox1,mespab,mnx2b,msx1a,msx1b,msx2b,msx3,myf5,myod1,myog,myrf,nfatc1,nfatc3a,nfia,nfic,nfixa,nfixb,nkx2.1,nkx2.2a,nkx2.2b,nkx2.4a,nkx2.4b,nkx3-1,nkx6.1,noto,nr2c2,nr2f1b,nr4a3,nr6a1b,olig2,onecut1,onecut2,onecut3b,otpa,pax2a,pax2b,pax3a,pax3b,pax5,pax6a,pax7a,pax7b,pbx1a,pbx1b,pbx3b,phox2a,phox2bb,pitx2,pitx3,pknox2,prox1a,prrx1a,prrx1b,ptf1a,raraa,rarga,rorb,rorcb,runx1,runx2b,runx3,rx1,rxraa,rxrgb,samd11,scrt1a,six1b,six3b,six4b,six6a,smad9,snai1a,snai2,sox11a,sox14,sox1a,sox21a,sox5,sox6,sox7,sp2,sp5a,sp5l,sp8a,spi1b,srfa,stat5a,tbx16,tbx18,tcf7l2,tead1a,tfap2e,thrb,tp53,twist1a,twist1b,twist2,uncx,uncx4.1,vax1,vax2,ved,wt1a,wt1b,ybx1,zbtb18,zgc:101100,zic1,zic2a,zic2b,zic4,zic5
0,NMPs,0.11551926420922354,0.1138906202467318,0.1147774591364894,0.1132726361476255,0.10110351059767053,0.11579074102149123,0.11739514072726331,0.1176721103981041,0.12048752603960378,0.11618965009323767,0.1158049825150147,0.11809257195995337,0.11764305416219034,0.11467530113581992,0.1277892090839452,0.10960664535341691,0.11478230429693148,0.11648028530224541,0.14391504307556868,0.11436957188967889,0.12074903689669902,0.11834349300725466,0.1292758864328638,0.11551926420922354,0.11924550196359585,0.11594304673893652,0.11724388339816771,0.11566442655298537,0.11366021245804214,0.11551926420922354,0.11417805720617824,0.11150596480484554,0.10010875376407713,0.11645180376195374,0.11810186939510126,0.12317801640556736,0.1156883678412235,0.12561420081397823,0.1199476956026112,0.13363000124481617,0.11513609569870309,0.11551926420922354,0.11547793740120427,0.11704988946398309,0.11533835257348368,0.11551926420922354,0.11616288343560255,0.11604940984998735,0.11650547435319458,0.11815430783923775,0.12014563963673053,0.11813274729110113,0.12277733980891736,0.11636896149417342,0.11543044775860545,0.12173065712203579,0.12598421322275866,0.1195843438444738,0.11378036413966275,0.10929525955523056,0.11601400891402303,0.1160436897938737,0.12270312108289982,0.12923624223841357,0.13074456801972079,0.1305411106023613,0.14153752782701234,0.11527505286553485,0.11838649341328833,0.12402035405484046,0.11551926420922354,0.11551926420922354,0.11646417263025932,0.11486725086974814,0.11293602657714452,0.12396856740136009,0.17680647747237377,0.11551926420922354,0.11597223247534816,0.136732067640565,0.11905057216403059,0.12717172315421998,0.13977229341909814,0.11551926420922354,0.12789251995487394,0.12145570749804169,0.11580050448673473,0.11809229942981281,0.11071610532622267,0.1186567705502457,0.1218483353573302,0.11433266421336874,0.1171403268661535,0.11666996129312301,0.12901547225997456,0.12400585946489096,0.11551926420922354,0.1149032703751508,0.13168713477741223,0.1376860553783198,0.11551926420922354,0.13032386317207445,0.11359308548755198,0.11605110727648371,0.12187451430692886,0.12017465809791383,0.1166200383736099,0.11455572368357847,0.12783623573414649,0.11205410250320347,0.11551926420922354,0.12987104835322416,0.11551926420922354,0.11393384189900946,0.11537524903206342,0.11628176398176315,0.12191135070157988,0.11551926420922354,0.11535428341338405,0.11670236044246274,0.11600554302767074,0.12907387458209807,0.11698027725748739,0.11630357710335537,0.11551926420922354,0.12155690053411994,0.10182862078007826,0.12085105665563967,0.1412484430609079,0.10648550963304004,0.1141807958388138,0.11551926420922354,0.11843068768090403,0.11843164937201667,0.11557708064099925,0.12694473199267364,0.11594339768264228,0.11334693462278134,0.12109214440189253,0.11518887717224946,0.11588591987491381,0.11632694400857446,0.11558300020542367,0.11674812782221111,0.11605696959233669,0.11551926420922354,0.11551926420922354,0.11962231092567277,0.11973566297357008,0.1162591784876108,0.11588843717391029,0.11661470293251308,0.12544533158850735,0.11564860760707463,0.11626190205635534,0.12413891898950913,0.11608526054524726,0.11483238026490872,0.11886777390638281,0.11881134437828345,0.11419173066112731,0.11560451559602836,0.12013973787249177,0.11515243257989549,0.11555799075028139,0.10686760090511283,0.11554029156509227,0.11897208704190032,0.1546014243731011,0.14732876215242396,0.12777001455356252,0.1369910335388116,0.12235929255039557,0.1290268869019605,0.11622673733175604,0.11825266693536896,0.11467085116326392,0.11602378704040417,0.12698894313721187,0.12663328403610974,0.1179120290890221,0.11945436799752474,0.11551926420922354,0.12661052609879497,0.10893721621320585,0.11547294143973075,0.11551926420922354,0.11551926420922354,0.10916062004912996,0.11653753826439794,0.11859586361763685,0.11498893819312273,0.11996640790855506,0.1141080626376183,0.11435498752635798,0.11761185973250521,0.1175032344254675,0.11610482504871733,0.11551791513341159,0.11210525895466805,0.11202335527597818,0.11305122460624939,0.12504721428791554,0.11551926420922354,0.11551926420922354,0.10565051249450308,0.1163310325127217,0.12146362611863748,0.11571360830479105,0.11562270827472221,0.12067344338058228,0.11386968596495817,0.1343137701469892,0.11973588620220577,0.11551926420922354,0.11559256137262475,0.11302178805450147,0.11626642722524994,0.14023953455781002,0.12499089164852029,0.11551926420922354,0.11599304863266469,0.12051039193708546,0.10241592308560743,0.11587276676466629,0.11594747712694708,0.12026882831427255,0.11683002058904002,0.11589640888494124,0.11709431312815333,0.11551926420922354,0.1146057484456583,0.11551926420922354,0.09270627098308992,0.13479150836897802,0.11658281684732463,0.12330734864343551,0.12745590690368525,0.10278859332261059,0.12000991253530824,0.11401175426357923
1,PSM,0.19687267202953307,0.19873765745248784,0.19702380242847672,0.18739836429307022,0.20351430797688774,0.1961616326945046,0.20446977481260242,0.1944404224614662,0.20437189512742548,0.19699780535392097,0.19767838645107783,0.19759988499733083,0.19421706418233708,0.19882799581061805,0.1937374978785782,0.19749805431703604,0.19718004459801297,0.19403900154747222,0.21718641948821216,0.17184040915588195,0.2159214583948712,0.19367805704118957,0.20008980276653932,0.19702380242847672,0.1971623709735012,0.19603357544863087,0.1965057176200149,0.1971397724435493,0.17182550023563226,0.19657035381657617,0.19552832374704532,0.23267731247170798,0.27283641260580205,0.19756295897554754,0.1981862203068223,0.19771513219292103,0.1969599278374231,0.20427388556311177,0.20291566766048275,0.21479803673679942,0.19015452352298423,0.19702380242847672,0.19943786213197767,0.24741330847550946,0.21034876074423625,0.1969177768889031,0.1981117724657151,0.2007050154301362,0.1980875548907015,0.18250544547907377,0.19807091327993165,0.20071293964086467,0.19223662768998417,0.19277609917480099,0.19716052448701415,0.20794335270634012,0.19581836933398133,0.18918684800967145,0.19747039468075778,0.19403276297250693,0.19702380242847672,0.19678256326943433,0.1579263879672237,0.1631686619183499,0.19715902304007726,0.24991881363234203,0.23567897596487708,0.19444504304907517,0.20129856095279597,0.3562409786678584,0.19702380242847672,0.19702380242847672,0.1975762791747776,0.1873599652107606,0.17954500637418924,0.21149639511967755,0.2970190327386877,0.19643666548528316,0.20113106160992245,0.22814824504919318,0.20882023385360704,0.18116380324337822,0.2356152648279064,0.19723528842488858,0.21624810779134196,0.18219295894447218,0.19562843474630331,0.19296878216894697,0.18608912934222677,0.24334474281111618,0.20535085044939494,0.20174005481286383,0.19262535561710725,0.18855811884051765,0.17913278998488613,0.2002564533312272,0.19702380242847672,0.19702380242847672,0.17599454681355842,0.211854594056461,0.19702380242847672,0.22111488723406625,0.1968165166697753,0.19806990017891835,0.24205455372266116,0.1977520695067938,0.19496672109205293,0.18737341545131825,0.2317707341093046,0.1978348163754715,0.19696654790448143,0.19552628278436002,0.19693537873689992,0.21018450822928259,0.19758593663420831,0.19659654271350724,0.19504953246649015,0.19579091067862264,0.19694635775272473,0.19702380242847672,0.19918762991910033,0.2104407664230159,0.2018830591526276,0.19928307569988224,0.19528742160360368,0.19859970131740667,0.19956371132388773,0.19750399797770668,0.30927105423231205,0.1942051572591844,0.19073283022958432,0.1970351946935136,0.20129815987571775,0.20355466815539525,0.19947464832479123,0.2183254964044561,0.20138743116401803,0.16255652854776914,0.18788652869025235,0.19725620353341866,0.20669164973537124,0.19756332289146983,0.1915341380411002,0.19841245194549306,0.19702380242847672,0.19702380242847672,0.19702380242847672,0.2099895352860467,0.197156961413965,0.20209790089245605,0.19781522334233181,0.2623878535562262,0.20026548469015637,0.19702380242847672,0.19954833607768485,0.1945081046038214,0.20108151046018619,0.21887482873963882,0.1968253258223005,0.19305595532716313,0.19491909687893771,0.19709368059102805,0.2098839808760533,0.20896853579503882,0.1966712748598809,0.14453572913690527,0.19702380242847672,0.1971082500097613,0.2366225905327889,0.2477628523483023,0.23543894114987574,0.2191449873348379,0.1885060286377298,0.22823077056740726,0.19735313844570912,0.19908695277053567,0.19955343332612763,0.19721032154281648,0.2403879372477924,0.19847883389314713,0.19234224383904508,0.19916707699046188,0.1970675538222214,0.3339462440074126,0.17259042191998508,0.1967669112190501,0.19507027795267395,0.19702380242847672,0.19349789306003906,0.19606412802040363,0.17877362971309385,0.2779734394927518,0.20840034066014845,0.2011413119109723,0.19727088927251835,0.21299272921989365,0.1984192289466139,0.19699075719424708,0.197643694940975,0.198246795276513,0.19410599142241058,0.20636358929494492,0.23210449626166585,0.19693353577710115,0.19721763895336442,0.27113667699537913,0.15593868439631442,0.20978409673149434,0.19080025020804747,0.1996171197382881,0.19756453251817807,0.18413882907707269,0.19458088442449162,0.200218791339156,0.19702380242847672,0.1997175975372325,0.16449108698278092,0.17999707266246956,0.2263073878077817,0.17638496099264556,0.19709721037790429,0.19367017922256935,0.19180003049374628,0.18419225596436006,0.19998426923457746,0.20697843596504506,0.20806043557508191,0.1883472292669136,0.18295264510817733,0.19297296777481798,0.1985182424077897,0.1978415777688156,0.19702380242847672,0.21462217985141485,0.18577211540447003,0.19751962523121747,0.20193166331793155,0.1858428188797403,0.17330568340001595,0.2019375199203859,0.2076139490785921
2,fast_muscle,0.4005869510444035,0.39004604730640435,0.4006544732924855,0.3933458345781943,0.3854306547028092,0.4007330689609517,0.4268606311268145,0.3815914757190059,0.4141430739901649,0.35401980022345053,0.3995511388161877,0.40712208876820105,0.40055306926898854,0.40906431303987223,0.40827747158526506,0.388941500480568,0.40163786497939036,0.2580154439384285,0.5044829737945594,0.4025184220831889,0.42187956941005783,0.42434850230116633,0.4511086356466878,0.3763019873514513,0.3898714086903111,0.40072534898951684,0.4173674332826736,0.4014387708921706,0.4094678693714661,0.402143244038865,0.400785847492247,0.4109750793622689,0.41407487703488716,0.4095715005717215,0.4080109155247497,0.426984047760875,0.33359005066406894,0.3791561681293784,0.4013490727398282,0.37055864639950603,0.3984045973370595,0.390702013120868,0.403462077847637,0.4161377630967445,0.39915328915930565,0.3909234845194047,0.39345473977789347,0.3382161890744624,0.4038988380557802,0.4041175392567509,0.3103529377318125,0.40161507002345315,0.15029233003333023,0.40341892420100317,0.4003466742927722,0.43033833866512017,0.40535438227720105,0.20918939316159335,0.4002969568109621,0.3547499178418068,0.4028606873658639,0.4006798430368809,0.21398953777404348,0.5112128637197598,0.40766457536156275,0.23356915068671874,0.4474826424228606,0.32339737167021,0.41312822916906106,0.4826770224031075,0.4116430055615558,0.40182702047109425,0.39971740381643844,0.397675619051398,0.4015395515993611,0.45709683758269454,0.48528316374500763,0.4003639470788444,0.4279374765481806,0.4217025931802606,0.42295264922150305,0.43587224203358943,0.44610002526940207,0.40031971603459054,0.481947722317662,0.4129988775937502,0.40058416911968087,0.3999425272830269,0.4017224989886302,0.40696452862096805,0.4295936509461772,0.35358653294481285,0.40626575633172013,0.41516479543659407,0.45018230324039055,0.3422628759444217,0.4042540071297739,0.40474760576588986,0.46005530380782866,0.5099911377579959,0.36778818448699785,0.49753259155005214,0.4080069963101098,0.40307896584515673,0.33751662540685007,0.35003060658581636,0.399352534843264,0.4014836631323524,0.35088372768846554,0.20623390167425806,0.4000449437268231,0.42323172684914706,0.33856422318839346,0.40548756890845433,0.38216605142600474,0.4165824124156939,0.40774872786957467,0.3899045464262311,0.4002733086076337,0.3977564711813087,0.33541309439059724,0.3929111924699325,0.22152899671343398,0.13729828966638452,0.39973696981942813,0.16061788663104942,0.12397034780031736,0.1146956940786259,0.4554003705563874,0.4279856827681902,0.40043497151972346,0.4010863534353821,0.4354391392417886,0.43817009557248593,0.35122785538337725,0.3570870820566759,0.4021552389404427,0.18322607641494745,0.16640947296564793,0.40350452895964445,0.3768646192281811,0.24979626366758817,0.4058421199836116,0.22188948143782408,0.3882473739090866,0.409333931336345,0.4017128888956759,0.41404020559765037,0.4018654643477665,0.40872983724565604,0.40155557370479456,0.40554512592299247,0.4016018204449617,0.4022686241780273,0.3997380768232935,0.5013989193016505,0.40138014211604317,0.38744361609311495,0.40424160923412294,0.42300165696194003,0.40752384563668925,0.4031644039861063,0.41786256659359916,0.37061601392736737,0.40055176578396207,0.5277645216976975,0.40203281398145113,0.3837725800364587,0.5232921927808887,0.4818018932882824,0.505030906572758,0.32473539260686124,0.4148927992256629,0.4785216140345035,0.3954951655456998,0.42173961302880064,0.4045050958411928,0.4045052971715365,0.49169292633319467,0.40791777859536166,0.40970791535491463,0.40262416909710386,0.4007704851281594,0.49377202744008436,0.47099730971038994,0.40087471171721073,0.4007364909868034,0.4013641209191043,0.4036803053264125,0.4006481264115159,0.4142779571014625,0.46797695640200637,0.3887627258661321,0.40617592842204403,0.40592818900592825,0.23814656051035407,0.3183047613499295,0.3168148552944064,0.40198917249983396,0.37637917588251557,0.30737359826947325,0.4032937560973859,0.5024148669560803,0.40056383463553163,0.4019941910368029,0.5074625701832538,0.4360101759657334,0.10717299493460264,0.3874019191493643,0.4038437161821413,0.414664309066592,0.4018358557771976,0.4278561694243254,0.4060997934422273,0.4105744405236699,0.41256002754370896,0.4019432592456666,0.2167942977421579,0.4124831631736413,0.37977739516741627,0.400238276040442,0.20855620344122375,0.41006919760294513,0.455119929614018,0.40481297286141077,0.40173703525863136,0.4367826291735321,0.39738193059134513,0.4058607702697103,0.4045509672958597,0.40059045574729474,0.3718243377273211,0.4002733086076337,0.40793899513808984,0.20195948565699826,0.4019202184000877,0.19798349884567698,0.4197406982717937,0.4396639349828006,0.36761807552820935,0.4014380881126089
3,neural_posterior,0.5507675948086234,0.5517463573081239,0.5519746921415117,0.5532198031392755,0.5411807796490726,0.5515844898397291,0.5513263280787957,0.5525997179397071,0.551538258317952,0.5510433297691709,0.5521522102174589,0.5442560363327971,0.5527750332230857,0.5522056534362773,0.55594775364477,0.5543030514238485,0.5526006425521497,0.5535633972061385,0.5244643437244089,0.5433829407392949,0.5570071955433546,0.5575970108011098,0.5449204997192753,0.5525959139613215,0.5523941874895153,0.5489420634282006,0.5530322300007395,0.5531385539137008,0.5522470264267705,0.551829224747182,0.5520564395530803,0.5455752640729006,0.5518274008022656,0.5643461419994058,0.5534777045462335,0.556711653256053,0.5546741841393286,0.5623283337123148,0.555616260829286,0.5487484640060986,0.5522647179951644,0.5521858991006222,0.5534325128542167,0.5544458592753103,0.5480551230254572,0.552144145926894,0.5509443099187725,0.5539709643337292,0.5515473641366538,0.5500196546711468,0.5541793144960867,0.5533813043429507,0.5646077463629026,0.5521842128713682,0.5524319833245175,0.5475932595133876,0.5573076442297482,0.5528075524254722,0.5510743156920005,0.5520237854542859,0.5519765975095823,0.5515961456197462,0.5845216368622328,0.5812249345224788,0.517036103179777,0.5516956050766297,0.5111978572009601,0.5527982592664077,0.55097386771825,0.46292874799309724,0.5528768530708085,0.5515347656064274,0.5530988542135036,0.5461663334044139,0.5523755568497545,0.552025687289656,0.4184743884889182,0.5512121865159613,0.5402885630623462,0.5167327677395449,0.5258636971250895,0.5355188476023316,0.4920653477608183,0.5521613536827469,0.5469129775602715,0.5617237704392872,0.5520843803280763,0.5523639848950692,0.551949161879669,0.5471522898162463,0.5515173916173739,0.551994307803388,0.5515882056836935,0.5500652701122936,0.4929871795760094,0.5589160230407462,0.5520631911817273,0.5521185763298819,0.474601788290778,0.45809810910305643,0.5503697697308504,0.48078804587612917,0.5488931559036891,0.5523233740326243,0.5551583619315376,0.5575520289360482,0.5522347726136199,0.5520365941568774,0.5632326430887643,0.5526938649285433,0.5524220640611368,0.5636224667262288,0.5549770459881735,0.5589783559603618,0.5518598044808994,0.5522569282207092,0.5501878628253116,0.5520049501143751,0.5521572360738791,0.5499869968339879,0.552850272530229,0.542065814073112,0.5586784826442068,0.570426816473797,0.5522850082292245,0.5627187005334734,0.5526853714308244,0.5648071818541921,0.46576667212321343,0.5590379031533229,0.5522062456504752,0.5523144396926513,0.5647698362129463,0.5706198850682668,0.5521008312800876,0.5576557646893346,0.5521996500421834,0.558732806878071,0.5518351621669901,0.5522248220815137,0.5524503859830291,0.557060922486287,0.5408668883813799,0.5526758420218096,0.5521910776438792,0.5521365353616733,0.5526778734002892,0.521363835985165,0.5371088786444799,0.5539141138278565,0.5508462455229926,0.553652852038949,0.5490245532483604,0.5518053441295441,0.5526311387283314,0.44675645070707853,0.5521734578188571,0.5465512709372473,0.5281838319976685,0.5538824992317397,0.5506896647593086,0.5520109295347141,0.5584045854237593,0.5568157741749957,0.5527989673560876,0.6065334796695725,0.5524659289757223,0.5533706379392154,0.44978248647314056,0.5958567862104888,0.6048341376897116,0.5651968910441262,0.5491327864591973,0.5342400528616058,0.5525061600216488,0.506502482012187,0.5498846880947451,0.5517974642266537,0.5801449110146687,0.5606146319879699,0.5624534224027176,0.5521323494287241,0.5522385547498205,0.4511664333278876,0.528666331886102,0.5515581703763726,0.552054139359821,0.5521811814929257,0.5526368552836238,0.5518349325329761,0.5582263032396919,0.579298514657421,0.5529752202571653,0.5529051252316928,0.5534800271780592,0.5518715852787318,0.555433489305264,0.5530440266071767,0.5530560024486981,0.5536011556235965,0.5536866023758316,0.5522438946794371,0.4670821378442277,0.5519973305907944,0.5520304068541465,0.45121760100418357,0.5649951037203121,0.5506615633575241,0.556571527262203,0.5531248642377122,0.5570142088190786,0.5512414225960078,0.5077425943174206,0.5533186090307998,0.5514789351964072,0.5522947053175578,0.5544219529169879,0.5522523133081385,0.5533404134924218,0.5501192198953999,0.5547803097751622,0.5722791564901253,0.5431463035971084,0.5586146681260371,0.5526291104537252,0.5525728713899902,0.5563094255212059,0.5516728653495879,0.552331879136858,0.5567306337065704,0.5530084278546006,0.5527817554329707,0.5525497454415323,0.5850967229543266,0.5361409843190076,0.5504311093670574,0.5548637081074295,0.5602507982611782,0.5497273960611184,0.5536386521947126,0.5568983755548408
4,somites,0.3937612086493529,0.40519867198703996,0.39392940052643216,0.39532406854754787,0.3885930668902424,0.39448255179214514,0.39195871833939283,0.3952626430809988,0.39498497178167613,0.3931024032820972,0.39441632851008346,0.3958048401568774,0.39033014365688334,0.3949896032867149,0.3974625948404149,0.3950566338669453,0.39443023810273437,0.389068581170506,0.42782651628390034,0.39007762300687604,0.39719889126129504,0.39395035906848236,0.4058233422675386,0.39284834822078896,0.3952737374556987,0.39502924144280765,0.39708237349795983,0.3939163463114625,0.3719282051798547,0.3940275669385273,0.3947027225541072,0.39033392557753166,0.3709378364688723,0.3943418641855774,0.3948091443162194,0.4087691433332998,0.39315087723177244,0.3882072623481386,0.39678479945123735,0.40769700441333645,0.38905376327573293,0.3937718957727651,0.39406792786217504,0.3514104255710527,0.40151808177864445,0.39321560031545766,0.3963783358284556,0.39822000792297696,0.392109277642938,0.39403776011055147,0.375252642199951,0.40469696144426914,0.38345429198665765,0.38842112905662235,0.3945501817160145,0.40980808695910614,0.3942001338328959,0.3951316786753644,0.3954612731557218,0.3782163220342263,0.3924850286931962,0.39394709450058946,0.36904470369831266,0.3958607013629881,0.4023941427739556,0.40173134372636177,0.42262748328111244,0.3847196956166464,0.39738290096984463,0.4070559148200263,0.3940684300814604,0.39392320151157695,0.39373045975358983,0.38663506173246026,0.3877809764703584,0.4342247147623661,0.40710196108357904,0.39377680885513716,0.41295664114015906,0.40629977576802606,0.3999760214257562,0.4055109638608944,0.4074996243445073,0.390806064106784,0.3901169828611262,0.38789720910489367,0.39668640108988423,0.3926514087756558,0.38677194465938913,0.36937254004488107,0.4032030375946301,0.3811002213428474,0.3935361314360536,0.3969075151521321,0.39293813110677256,0.40076575873644654,0.3937548406321203,0.3930842770809999,0.39906763098539255,0.4052712116667301,0.39330589110812436,0.4295184406652205,0.39438872846151785,0.39516616006174926,0.40272914943207294,0.39627288174564446,0.39116314166491317,0.387926733785276,0.3951769564532722,0.3913474049728038,0.39412786676087985,0.4048553395192265,0.3943517915536152,0.3969470879916324,0.38580793708535166,0.39703140403102577,0.3957019649084039,0.39364917563638874,0.3940442203529101,0.3952134414296282,0.3945502287556286,0.39894021562179055,0.3914241160531771,0.3896448329497298,0.3906618090045689,0.39135924689976687,0.38214418559383634,0.36991788435237577,0.36479655401628375,0.39504812692897223,0.39399313451470563,0.39403022383256264,0.3993766166599206,0.41068220374388686,0.3962874781205183,0.4159136254906188,0.3919743782432352,0.35436708760065116,0.4131729598197948,0.393443950282124,0.3999585553662464,0.39919255594315456,0.3940646427347059,0.3934206295774687,0.3935942547835647,0.3944809228251613,0.3945965724557867,0.3973950709128988,0.3943175856376468,0.39833352292733704,0.39476924854209333,0.3824549094958589,0.39716461764549055,0.39456748695996835,0.393410141031483,0.4092488095467167,0.39262049225802054,0.3738401652930752,0.3975748377738125,0.3949793106589037,0.39467297246020216,0.39415245762932355,0.4079443564703859,0.39647462077294293,0.3940153894015412,0.3924394611441826,0.3930828751959268,0.3919938631535647,0.39819066049564866,0.41661280662927136,0.41219950516070625,0.27929762878571657,0.41456067190036555,0.4015779540751701,0.39342296782616343,0.39554163219045535,0.3943045973092542,0.39569929282928995,0.3630042547713599,0.396676642795773,0.41467002056421814,0.3849466111094669,0.3938609691252929,0.3622601122294532,0.3544764496142552,0.39182871780546935,0.39444589335600494,0.3937938220509097,0.3935011548463666,0.3943317301071251,0.3915507894618841,0.3178865485996822,0.4073135865900624,0.3925292433159619,0.3952355272703448,0.38642982147602306,0.396560384766493,0.3927212886739488,0.3938186164815629,0.4010346632727112,0.39310589307749005,0.3881324733733888,0.411920162942688,0.39314918530411397,0.3932810078207249,0.3978802801833674,0.3882082282962051,0.3910693538315993,0.39382527973189135,0.3951583981039351,0.40171504750691894,0.3859191395057872,0.3979240937239935,0.3925338175120337,0.393737838294483,0.39213211018949984,0.3831808828515419,0.3798966134165943,0.4050449373227095,0.3929663752409885,0.3938755456060117,0.3833906967270246,0.4136661577583287,0.38944251341617186,0.38436190550869476,0.3690109149113252,0.4229847497263981,0.37730682149394523,0.38977626825092654,0.3964456774154628,0.39285998668086924,0.3837295546322836,0.39379188421499084,0.4302032475715834,0.3998084021817494,0.3963013468351531,0.4064455080366591,0.40725940470439476,0.3917229054582465,0.39262572082049446,0.39550413969925907
