,celltype,alx4b,ar,arid3c,arid5b,atoh1a,bach2b,barhl1a,barx2,bcl11aa,bcl11ab,bhlhe22,cdx4,cebpa,cebpb,cica,creb5b,cux1a,dbx1a,dbx1b,dlx2a,dlx4a,dlx5a,dmrt2a,ebf1b,ebf2,ebf3a,egr1,egr2a,egr2b,en1a,en2a,en2b,eomesa,erfl1,esrrga,etv2,etv4,eve1,fezf2,fli1a,fosab,fosl2,foxb1a,foxb1b,foxc1a,foxd1,foxd2,foxd3,foxd5,foxg1a,foxi2,foxi3a,foxj1a,foxj1b,foxj2,foxn3,foxo3b,foxp1b,foxp2,foxp4,foxq1a,gata2a,gata4,gata5,gata6,gbx1,gfi1aa,gfi1b,gli2a,gli2b,gli3,grhl1,gsx1,her6,her9,hey1,hey2,hlx1,hmga1a,hmga2,hmx3a,hnf1bb,hoxa10b,hoxa11a,hoxa11b,hoxa13b,hoxa4a,hoxa9a,hoxb3a,hoxb6b,hoxb7a,hoxb9a,hoxc10a,hoxc13a,hoxc13b,hoxc1a,hoxc3a,hoxc6b,hoxd10a,hoxd12a,hoxd3a,ikzf1,irx1a,irx1b,irx3a,irx3b,isl1,isl2b,junbb,klf12b,klf2a,klf7a,klf7b,klf9,lbx1a,lbx1b,lbx2,lef1,lhx1b,lhx2b,lhx5,lmx1ba,lmx1bb,mafba,mafbb,mef2aa,mef2b,mef2ca,mef2cb,mef2d,meis1a,meis1b,meis2a,meis3,meox1,mespab,mnx1,msx1b,mxtx1,mybl1,myf5,myod1,myog,myrf,neurod4,nfatc1,nfia,nfic,nhlh2,nkx1.2la,nkx2.1,nkx2.2a,nkx2.2b,nkx2.4a,nkx2.7,nkx3-1,nkx6.1,nkx6.2,noto,nr1d4a,nr2e1,nr2f1b,nr2f2,nr2f5,nr3c2,nr4a3,nr5a2,nr6a1b,olig2,onecut1,onecut2,onecut3a,onecutl,pax1b,pax2a,pax2b,pax3a,pax3b,pax5,pax6a,pax6b,pax7a,pax7b,pbx1a,pbx1b,pbx3b,phox2bb,pitx2,pitx3,pknox2,pnx,prox1a,raraa,rarab,rarga,rfx4,roraa,rorb,runx1,rx1,rx2,rx3,rxraa,rxrab,rxrgb,samd11,si:dkey-43p13.5,six1a,six1b,six2a,smad1,smad3a,smad9,snai1a,snai2,sox10,sox11a,sox11b,sox13,sox19a,sox21a,sox3,sox5,sox6,sox7,sox9b,sp5a,sp5l,sp8a,sp9,spi1b,stat5a,tbx1,tbx15,tbx16,tbx18,tbx20,tbx2a,tbx2b,tbx3a,tbx5a,tcf7l2,tead1a,tead1b,tead3b,tfap2a,tfap2c,tfec,thrab,tlx2,tlx3b,tp63,trps1,twist1a,twist1b,twist2,uncx,uncx4.1,vax2,ved,vent,vox,vsx1,vsx2,wt1a,zbtb18,zgc:101100,zic1,zic3,zic5,zic6
0,NMPs,0.4855354411728764,0.4818016318717083,0.5006833141768364,0.48687030616786203,0.48656345465162204,0.48290863502358067,0.49197884711934325,0.48573281345964286,0.48786901317039266,0.4834793358219536,0.485174929456291,0.49230434750742486,0.4851206789195089,0.4875998438696823,0.4615666123381934,0.4879214457140161,0.4866083044658637,0.4835563907220212,0.48153503428790195,0.48607597481356757,0.4841488581739621,0.5029280497982095,0.49542365962260565,0.4772194129102661,0.4849734328194142,0.4936112971237114,0.4858872187588665,0.4902252556961674,0.4843297833392423,0.4856508918256006,0.4832187789917296,0.462039881937473,0.485166748333699,0.4908068190844075,0.44828364124513814,0.4723114421608609,0.4519260109389375,0.4678110639417966,0.48514596359052337,0.49724963707231856,0.4980150094318815,0.4820021545089875,0.49368826125962606,0.4906041815477534,0.5149115774363205,0.48134603731396414,0.4908646144410737,0.45881004543806414,0.3287854023590828,0.48745738791040966,0.4856903602971396,0.4829076946154653,0.4706046904092533,0.48283624433234673,0.4964984399949653,0.5008694736360012,0.5040232956967651,0.48974176562435473,0.49156820594768924,0.40467992879613385,0.4857748668455362,0.49423256110625086,0.4856381934117289,0.4695940365595384,0.4863756885445634,0.45343963750017247,0.4871923711981063,0.48523491217936027,0.48350989978702924,0.4644843176388292,0.4950552562371199,0.49049214273945846,0.4867282361791601,0.5003199677770734,0.47587373225358093,0.49492902626162716,0.46335838414520214,0.48568887437310637,0.5269836538595575,0.4857499383098279,0.48580110212213296,0.48279679749987287,0.46672013504649934,0.47165479849826725,0.49156144914687117,0.48493637613090623,0.3898050703005716,0.48302799393585205,0.4378281464440676,0.46529968809446537,0.4683050716533179,0.4832575315713565,0.47975708375921905,0.48011849568368126,0.47777103983767333,0.49318677955008156,0.4504148126792371,0.45680258263882617,0.4885729340352181,0.47868169189838905,0.45287064496142293,0.48528232719157166,0.4888350369002022,0.4757015766057382,0.5060703923341414,0.482871791180708,0.48594104994149045,0.4865267676248787,0.48793457603361745,0.4887232368535775,0.48205468487810393,0.48222719892165017,0.49855634515444613,0.4865665578007558,0.4857152357875302,0.4736761227541483,0.5038792044599021,0.46921306611178587,0.4857719426556841,0.48543365835569435,0.4857961382647432,0.4712964653095037,0.49144133779749916,0.4774404160232555,0.48606473735878614,0.46854874278077435,0.48581081209585436,0.4871196343923797,0.4714497892434242,0.49189504575916615,0.5073192734685176,0.5164212198769353,0.48142034930059274,0.4793585843624126,0.551519896066345,0.48503454705872295,0.48561498314955914,0.3679612359536932,0.48572397232573883,0.48454215108374427,0.5316248429284491,0.5133614201411528,0.4850006505774121,0.48544111028269527,0.48410819285607104,0.48296653614127993,0.4568114443557963,0.48497771895762404,0.49227005631907067,0.47212356285796425,0.4845660383229261,0.4839826889646637,0.48884281572136395,0.48477911267169377,0.4873314133089753,0.48820306132863667,0.4775501772571888,0.48652689714456604,0.3963023620508456,0.48573105380256826,0.48680821790110684,0.49392516028420036,0.48091215734692083,0.5232167773215878,0.4782610463392623,0.486727967438373,0.4854362480248682,0.4874265726809043,0.4847390481008603,0.48463354155214533,0.4860719847448195,0.485957228461665,0.4854094302808813,0.486099591238673,0.4908597117035708,0.48534410133225164,0.4530455391612394,0.48495196974372645,0.4900113608869089,0.48945702856477796,0.48572798643667575,0.49939009569993803,0.49617920808700205,0.4813192388279062,0.4857697890973509,0.4713395291656033,0.4858488748305512,0.48573002813180327,0.4871926580646355,0.4649742697023533,0.47862416978094563,0.48742217355070316,0.4565173306288081,0.45531350357368583,0.4631950139518272,0.4056696965965984,0.4902505385612224,0.48706544055461976,0.48627331742329016,0.48990192748447153,0.4853656184358032,0.48459285774631194,0.44831197652843163,0.4854377124591206,0.4899894717646132,0.48678674773831926,0.48557444204515965,0.49068073393146444,0.4808577029588082,0.48540680908831885,0.49094390279900824,0.49896592738742906,0.48425551202067213,0.4902576071841964,0.48330036877486837,0.48634269645268097,0.4739843574569033,0.48286540824643687,0.4285853964282307,0.4054467320424863,0.39898380224718866,0.4954736887888404,0.45347626236115435,0.4551369924118056,0.48943126222077044,0.4969173503931304,0.46599835093953057,0.47340108606010806,0.48020593471758444,0.4585435787767055,0.4881562203304409,0.4858063297832994,0.4859373006282385,0.4866159476742147,0.45514725101914155,0.48628390529745646,0.48584808546312014,0.48319070089275357,0.48208026241893054,0.48069182949616973,0.4852191981055657,0.5256425930154406,0.5010544316165352,0.5123460523133659,0.5022645110827066,0.4934546313483176,0.5063018352844183,0.4866758434073671,0.46152392860246333,0.4842339925004572,0.48556887118484054,0.4849991253590392,0.4667716550319126,0.47705164451093773,0.4829749065767421,0.48486326763595705,0.4868450689961043,0.5010522471485975,0.4883032298249938,0.5053392183029083,0.4780260717691758,0.4717018454694755,0.4852747602329823,0.48405351476387043,0.4861034908457995,0.48659673880559967,0.4900877644669101,0.4885984617845433,0.5015421072699577,0.48120220622450915,0.4847426401334684
1,PSM,0.5172993247047731,0.5170490934447551,0.4683356911104184,0.5136345243273038,0.5168018246188087,0.41636789464777896,0.5165981108397257,0.5172326099084,0.5165698477490352,0.517232345159238,0.5169074183474599,0.5264626216285522,0.5174481905369431,0.516658970500697,0.5095320470467766,0.5166847525911099,0.4683448691176786,0.5197723312887099,0.5182000515817111,0.5172567079975435,0.5169488533704916,0.5164404122558236,0.46342244044692305,0.5166619465717909,0.5209462720232811,0.5112077973214102,0.5149064474890059,0.5174471636824743,0.5055769832217292,0.51702530385406,0.5156907409721064,0.48761774725568147,0.5167431377769934,0.5094554726181566,0.5020723183035392,0.4902945101264147,0.41246169819996853,0.5191423909052544,0.5151221267741093,0.5096897135665892,0.517683094794043,0.5174688800306199,0.5259325260327377,0.5183233781141364,0.48670201872534724,0.5163617813580899,0.5101792681409464,0.5149452415195774,0.4965895850252948,0.5101830616280906,0.5173218463994504,0.5178834372195797,0.5188271920549037,0.517795666201626,0.4998238564623232,0.47624964781374995,0.5206029686714987,0.4963450094463272,0.5144865903280442,0.5201150986767792,0.5171302196959398,0.5179879422485644,0.5170629781401817,0.5169555080682393,0.5174214935950541,0.5267783421944654,0.5061599449886387,0.5174413057519395,0.4266232557098259,0.49039924858362904,0.46888776134675336,0.517354399947072,0.5075814966271902,0.505639589650465,0.5181468823869442,0.48072110596561046,0.5172622965550723,0.5170139295925013,0.4570252130280955,0.4796013812791272,0.5161966088827863,0.5179352163551724,0.4748896034564108,0.4636126282837152,0.48947144328950765,0.5197901207240527,0.5286923243037205,0.4839851537181603,0.4126659732823785,0.4585344440124618,0.4582862562786771,0.4586809984136152,0.49202488941813916,0.5171372030370994,0.5167917949608748,0.5227406513620533,0.41468949082074114,0.4070996430800561,0.47504977073526133,0.49038366908450215,0.48036277658660737,0.5177744766733663,0.523725588469236,0.5238402686712467,0.4636908314939141,0.5201992148387254,0.5175274561492912,0.5174347546675672,0.5194247213212867,0.5105178651963708,0.5173381153512442,0.5041673199036353,0.5045021601309129,0.5166156087044151,0.517218370645116,0.518437104789514,0.4743933628714284,0.4421462515322797,0.5174554781070851,0.5180797062734717,0.5169173055939903,0.517069928267183,0.48984696353928986,0.5191922326437393,0.5030349206521154,0.5010131997243806,0.5167936455986779,0.5189779367140341,0.521428961165764,0.43322756403308194,0.444072454168151,0.4404827787968721,0.5169144274755483,0.5227370504820208,0.4176460601738085,0.5129711708642304,0.5174320373454386,0.5150026017208847,0.5170692959313854,0.5179265418320191,0.44333393335544274,0.5106352950775426,0.5175675502766877,0.5176603747260535,0.5162471217779764,0.5109104945911062,0.4993930699881784,0.5171125012698002,0.5084572398222645,0.5083126258772607,0.516786998344721,0.5180353663161289,0.5171199003181532,0.5168020842136033,0.5168376198752599,0.5173048698341978,0.5180733179667293,0.5174772674391857,0.5182302212202434,0.5172264569147272,0.5100040305645904,0.4802464552474822,0.516226742675679,0.4512250234273937,0.5146123957921845,0.5148531342856362,0.5179136721517039,0.520229167421643,0.5174529705808615,0.5178693193353573,0.514893063591797,0.5172411809901337,0.5175211658279021,0.5168897098103007,0.5212028774021331,0.5178522745680837,0.5117145024665878,0.5179775997274974,0.5142187779295266,0.5071277564524983,0.5049264853383241,0.518852561830667,0.5116476111182703,0.5187898990133845,0.48626222714049305,0.5099010784382945,0.5173932977090125,0.517893575947549,0.5185184901250381,0.5098617981120748,0.5189473886264437,0.5172442896420947,0.42065779389813385,0.4272754364536069,0.4186188903538832,0.5322426136704591,0.5150698684419897,0.5154712743571709,0.5171958571817489,0.5156242929879671,0.5183332786202924,0.517011943505184,0.4121173138100259,0.41916704645664266,0.5148330525053898,0.5159672961289719,0.5168626168799352,0.513912910937058,0.51810443535625,0.517419256735655,0.521770899934897,0.4661112810337283,0.5199108821426915,0.5177409228519403,0.5185480780076772,0.5157428486449159,0.4963761801450433,0.5159502809984485,0.5322835417535503,0.5485418851808552,0.5306110796013115,0.5285021617764488,0.4217360155994819,0.47775650166768246,0.5101018523257234,0.5141251317945008,0.5082539668225305,0.47946979787703303,0.5115644204318095,0.5191817777013477,0.5209505785428648,0.5148619776078283,0.5169164754264776,0.5191771095670628,0.38577348672090317,0.49770619298448343,0.5168529771918188,0.5113114732945931,0.5188712781883887,0.5169447277218027,0.5164965475428086,0.46534704201913585,0.4291379724620226,0.46339291018245293,0.4550241274068914,0.4781214818759015,0.5211467414245928,0.5179678332407318,0.4883567994405259,0.5158255146694214,0.516840897019677,0.5221328794301086,0.45853139385005215,0.5116540912560427,0.5177164602987957,0.5176313297580686,0.5125219432272919,0.5157725449123204,0.5213698896832069,0.5011523250309587,0.4576992750955945,0.42427285763358,0.5176100771644749,0.5167825211912209,0.514014685119558,0.47406124817099615,0.5169604964061741,0.5164097135257301,0.475403123078651,0.5195578775489573,0.5165945026725091
2,fast_muscle,0.46733831721676605,0.4667380648421909,0.4787874458996026,0.47124585636384214,0.46665396011791344,0.4547555199589023,0.46960226236760394,0.46711646981361565,0.4660793987264957,0.467742072315074,0.46800318084443937,0.5015420922239323,0.46085564399550527,0.4671477887609971,0.43063312872502507,0.4688426442359373,0.4833543798108124,0.46568608107688214,0.46904898456433486,0.43817179413437746,0.4655044551694666,0.46217356629545514,0.4547713022909287,0.469089312257987,0.48624336644557264,0.4723468206021784,0.4554674517736299,0.47301100618864933,0.4695170817415103,0.4661390326813046,0.46638418227418377,0.48507084875422657,0.46690736516449427,0.46832209296647576,0.42669672363105093,0.5002987111281036,0.5054252566834382,0.4585111204433851,0.4669988781135992,0.46199668449394937,0.4750893509121763,0.4661641422012328,0.47594959877313653,0.4625225572122903,0.4683114638298593,0.5007983998489487,0.47474319431218465,0.3987682103391478,0.5029282197509417,0.4819489382566938,0.4670087171416479,0.4616345523138617,0.4690673115557515,0.46648442484982205,0.4665574289027981,0.4290142723599733,0.42737242222382393,0.44097960523186375,0.4462156136180562,0.4580126106425239,0.466990024175172,0.42628128459839837,0.46853700578038704,0.4911149258398189,0.46761664602918745,0.4859863907168395,0.4592356553959173,0.47933663904835544,0.42735687432883296,0.47162061730474963,0.511000146334347,0.4685409268695771,0.467170776102311,0.44224166545347693,0.4852467216806853,0.41605295091169375,0.47113560535265897,0.46707626853073303,0.5315673308610189,0.429917241591867,0.4630770725238816,0.46870264128193934,0.47322338532090824,0.4718378196157972,0.4845464509528388,0.46945353427545355,0.4428364946150485,0.4889173016104149,0.4681667361478449,0.5071498174830983,0.4833451551753563,0.48815136728023806,0.4875149407537031,0.4669909883511434,0.466931018687612,0.4776794984432748,0.48168825469600424,0.48486042356845616,0.4779232131446897,0.47128327105042866,0.48038908535543395,0.4675446569234903,0.42756858632099665,0.4731279023586046,0.4821373306072902,0.49091461065957465,0.4626238915393124,0.46765286857532,0.4653914758470713,0.47053275567301955,0.46819152794484176,0.4238256571527253,0.4120366176791141,0.46689379684645144,0.4669920391614639,0.46543059960462085,0.45775292422431196,0.5027859469968573,0.4670150915885094,0.47209195203077264,0.4672408073149214,0.48337479947159445,0.4323997054025537,0.4746218010650781,0.422671865823476,0.4235663892430767,0.46699151503734015,0.38276570078674355,0.3996055863533335,0.4062892205537777,0.43125909859574535,0.4718609792778206,0.49976178125894816,0.4771783976103687,0.504367673071019,0.46943951223549785,0.4677005775078206,0.4947133364246537,0.4672585100698767,0.4682163680579763,0.4985352168053016,0.4132154799368284,0.4173290485306602,0.4664853925152072,0.4696301882396796,0.47000393833307874,0.4850034454831616,0.462183148403411,0.466781719883002,0.466202354281572,0.4665401302280008,0.46861727132006487,0.46849630245692314,0.4669061945025461,0.47114047523984975,0.4681353169740537,0.47015051199549457,0.46894679854142535,0.47001042923875985,0.46701632578887253,0.46522166332778425,0.4207375306092073,0.4771821330344166,0.44863265337833474,0.47069031674873446,0.46043761922634807,0.46391946166571596,0.4721714917489039,0.46884212035852296,0.46817449774208314,0.4743639583297039,0.46792979206804897,0.46716942297730657,0.46713101304208,0.47331993351467727,0.46971456067076517,0.4767419439236643,0.47796162697742667,0.4437953792248808,0.5033863796029199,0.5030212584373409,0.4964249980418471,0.488873646844988,0.46738341253419563,0.4461202699485977,0.4664272518520492,0.46725834461849025,0.46869953464108716,0.46698826231243956,0.46306797322795085,0.4719688991861044,0.467787730146087,0.511025179396912,0.4819132862358694,0.4779407633642641,0.4869138567942468,0.46880678952636123,0.46705380755363524,0.4671418994517141,0.47422692080869705,0.4671820355080626,0.46700634030519744,0.482847304397039,0.4669709515121704,0.4897545357865657,0.47933584609684843,0.46700845620898,0.4692568273232397,0.47738411435315903,0.46618556425017704,0.44344952720620995,0.4844942777765884,0.45740099850225696,0.43647317820148873,0.4660401509673952,0.47819139106496067,0.4830221458596107,0.43884036309687063,0.4478525160124031,0.5074578946268988,0.4159688440208108,0.5354403465348434,0.4303920248617743,0.37576523911250603,0.45575647734028,0.4990995928138019,0.4647601293621873,0.4738549354344807,0.45811706084116555,0.48388859122957467,0.46713935938200013,0.4507168580273934,0.46836812056508026,0.4673897946666006,0.4635134715862795,0.41045207010544754,0.46683567936212267,0.47142306960208125,0.4703810613613645,0.4669288400894244,0.467121715624715,0.4694363125777659,0.4474019987288633,0.46478813201194275,0.4247242010787047,0.4614801010956313,0.42046330326944326,0.46929875833035173,0.4531582456863923,0.46615939295005393,0.4669859810542958,0.4696165402702117,0.478273026525684,0.4667217411401864,0.46949333549420835,0.4668200614425149,0.49346847252443204,0.450897167451057,0.4664037448707382,0.4881460707199957,0.4670324523468063,0.49283853437972563,0.4657035330193992,0.46795698726931,0.48222420137904376,0.44411912248713586,0.46940539497213885,0.4180421961241775,0.5003338481191467,0.4331915834019946,0.46080416852116673
3,neural_posterior,0.5326362311887244,0.5334301872395162,0.5297869175666678,0.5227451839967588,0.5333142126167257,0.5038987566516673,0.5339348759982168,0.5328188080875438,0.5312564469365785,0.5329369560591753,0.5337316234976345,0.579051057644294,0.5319544836525679,0.5334056125417573,0.4980394576998661,0.5396915562662798,0.5363006514980458,0.5301726303918307,0.5376806616177073,0.5300728555865606,0.5329706408550835,0.5317044487938972,0.5287331372530224,0.5307903214656746,0.5395102937903121,0.5222999238170869,0.5319584700195037,0.5237857834260405,0.5346611526068705,0.5327089565399911,0.5315405758192393,0.5348384774116448,0.5320736263903513,0.5277654476350495,0.5197738430475012,0.5110378583692524,0.49547582776137833,0.5332343280897522,0.5269352954364237,0.5403147944863282,0.5038328546757916,0.5293428988804781,0.5178706382037908,0.5211520073003029,0.5394239116390227,0.5444609748307413,0.5345773555522513,0.5388844210638517,0.5232574942672548,0.5215507499463069,0.5328739874410282,0.5235541820179833,0.5070222794124549,0.5331573645816147,0.529743772532665,0.5230338931429355,0.5246175919981187,0.4883433165447902,0.5339132178418776,0.4709559558191128,0.5328936131506214,0.5237192780092743,0.5326237979494345,0.5372689201143449,0.5321788528561495,0.4989365952893692,0.5344586674445431,0.5324922812572336,0.5322820691195821,0.5540746120952087,0.5061658330358463,0.5328621572465193,0.533060480869178,0.5169175511450452,0.52571287644373,0.531343509079464,0.5318770286620156,0.5330623284711417,0.5511514429083154,0.4989031969398496,0.5328395045391803,0.5332045833421722,0.5298786017939648,0.5301878323197857,0.508117612643564,0.5319137661018449,0.5082125779369774,0.5431567943080923,0.461080536514856,0.5108657663180276,0.5573018075812172,0.5402452347092115,0.5370459268588292,0.53288669508188,0.532717843812454,0.5266119360945508,0.5363176923350357,0.5299958031304766,0.5254347447655999,0.5487557155355768,0.5054577024318524,0.5336619843479612,0.5116826877923834,0.5684412902227587,0.5416747134026858,0.5541000518461141,0.5337945369723839,0.5330279073469637,0.47092402140798373,0.5254670441620737,0.5327411654239705,0.4799160699113336,0.5240948639159524,0.5327803759556138,0.5328444360578256,0.5362571618267095,0.5224704423087624,0.5491223657309099,0.5317638376686561,0.5343577845450921,0.5360357642143037,0.531667448891304,0.5371277060313838,0.4729858350984212,0.5290788793488311,0.5183530769157149,0.5324000129839647,0.5380402666218005,0.528856521778644,0.5409710245662053,0.4642204238450702,0.45079030999851455,0.49440827364045425,0.4889587424028236,0.558620192103311,0.5330423904462191,0.5315058651281284,0.5050665208897833,0.5326397719970674,0.5328444802797794,0.5394533978584395,0.5371830586243624,0.5424779578262419,0.532033510009192,0.527514934580054,0.5326222379861314,0.5285628929413755,0.5333619925433839,0.5312431335257692,0.5312992167046329,0.5330764487831654,0.5309735056419964,0.5260083643387525,0.5320789436026327,0.5342785484489059,0.5356767740533461,0.5052885088281287,0.5275660462965001,0.5277060701616837,0.5325086094736751,0.5327361006615133,0.47915239777485585,0.519057678749842,0.46919682026426435,0.5444786096947977,0.534782773615746,0.5303376926233496,0.5168353738370982,0.5219337786627231,0.5335927053880269,0.5212716032940955,0.5328971393520292,0.5306004596025335,0.5325928265611961,0.5549407704467426,0.5307655128121193,0.5569800556716505,0.5394818105211849,0.5340453993305626,0.49939159948610956,0.528011488901914,0.5550182129050295,0.5719488427328103,0.5369676043344953,0.5324777835112546,0.4703560745881512,0.5292313434960287,0.5346156599952653,0.5379157428023592,0.5233997285947829,0.5270949125596983,0.5326762076408982,0.47432996418131873,0.4847765197031465,0.5125034657636874,0.4643179470906005,0.5347302402886245,0.5318788799562472,0.5326791561798825,0.5292379268520406,0.5325266972746076,0.5332363555881001,0.5137768333113465,0.5234195467094416,0.5429355889657008,0.5348124597067465,0.5327424944933389,0.53226805722685,0.5328912283911841,0.5326756480479408,0.5442353585791366,0.5316513202374795,0.5322401266434698,0.5216898159669836,0.5280292270747914,0.548966921299546,0.4989940503179501,0.5517956765157841,0.4722617812333756,0.5598830124900223,0.5172296118849075,0.5035263563067834,0.4849290827025822,0.5365091906651125,0.5317668097435878,0.544916035387747,0.5305472320551777,0.545348935705911,0.5430276900313578,0.5420224129326778,0.5355097470576451,0.5353696965646062,0.5341217344235362,0.5319448548519669,0.5464391472918501,0.532571554766484,0.5330098593540669,0.5340341639371441,0.5341627952600942,0.5326125707447034,0.5327281391451693,0.5219801440018103,0.489664433704468,0.48008757774571786,0.5241164128227042,0.5419630365452749,0.5471344140119817,0.5278073601081299,0.47963693703138244,0.5348499566011171,0.533259440907435,0.5248188133805969,0.492284140692398,0.5286489369317547,0.535665298761129,0.5330814837302553,0.5331478357774025,0.5387437543440011,0.5309270508268854,0.5237545832642303,0.5359106379575115,0.5097716858862181,0.5305319745135122,0.5327218352041515,0.526241534065689,0.5556527087306811,0.5333013156949475,0.5352658747924118,0.5311014961482365,0.5196113909238914,0.5330442519937537
4,somites,0.49796854518478817,0.4982541782126564,0.5077792511134597,0.49691740918185184,0.4975885420857054,0.4331255010222394,0.49911458787218316,0.49796367194050745,0.49813171890478014,0.4967017723138458,0.4966779677456115,0.4942273244154538,0.49447614638937615,0.49823271434671845,0.4938511577368277,0.5018722304171367,0.5080953963754481,0.49289812895804536,0.4946656611942182,0.4979230433505782,0.4973524278020694,0.49423766371865313,0.4987427950887433,0.497208743135765,0.48476212743101527,0.4945661720397295,0.49263926315324275,0.497840658679205,0.49252247221466455,0.4970714087624386,0.4911280815594112,0.5234679705381542,0.49773273690029873,0.4863830166459839,0.45240810091886413,0.4970393680296617,0.4759002998586708,0.49480235559171115,0.4973068676142691,0.49193811234951157,0.49036288308763626,0.4971200851355038,0.4932043762332998,0.4845572563386827,0.4627480943892226,0.4923511021837947,0.48162693164057846,0.5044512170582879,0.4936080067777581,0.5016924947704386,0.4978554263525499,0.4979037941145891,0.5000068681946644,0.4967575218418155,0.4996687895336825,0.48541971663702127,0.4643732496129292,0.45473580312749295,0.4928622440418243,0.4593758430001862,0.4979034459351979,0.4998576770678045,0.4981516644360693,0.49181688394105305,0.4977256010315928,0.46275085760539586,0.4948264305279931,0.4976943680140593,0.4607487643305925,0.5027486783815144,0.4750649077497943,0.49539515464402334,0.5044373028209057,0.49070616557068397,0.4951257784748345,0.46550331077612633,0.4980584257156215,0.4979718252316147,0.5402782263349765,0.4891531434624308,0.496732647008219,0.4977199925504846,0.508384455214456,0.4745060138686056,0.5116948393080382,0.49793687050721475,0.38099479941471415,0.5196360583768549,0.47093596220248446,0.49266133504134646,0.512195103684049,0.5302805509550121,0.4735556501193357,0.49809591230530614,0.4973822077056038,0.47980372802063787,0.47502709053119274,0.47774017048029865,0.483221671178063,0.5129100737900961,0.4961249774171596,0.4976556927096096,0.4841671843178233,0.46210564789422487,0.3907658509304134,0.5050531660847581,0.49810986772797494,0.4978535624968218,0.49590124265863733,0.4912023073709724,0.49792813380676304,0.4830465805330955,0.48816198295126073,0.4975120491582941,0.49806760953942064,0.48127254711672096,0.443424966633103,0.4824592263769148,0.4980285476703202,0.4978260833709978,0.4934762778060618,0.5009321368637715,0.46684811505903984,0.4982736881342891,0.5046457570573631,0.5027525423120407,0.4978895620697942,0.4894204299207415,0.48004312618474904,0.4758911565522263,0.4589785689204719,0.4534694229549021,0.45875973556415484,0.4367782587309283,0.4807129583521045,0.4928544294832434,0.4980269618791035,0.5079139156403469,0.49815810993045045,0.4967123004883906,0.4549532404815152,0.47858440557756204,0.49634015717281127,0.49774881169403185,0.4978682270146069,0.49963052123475976,0.4496164342825536,0.4987561373488623,0.49656406716126245,0.4917057663165234,0.49522772516450786,0.4964205025628783,0.4967159383361417,0.49772966811864805,0.496408069063557,0.49358036573974257,0.4928874113366743,0.4940214607831289,0.5002189515770616,0.4979878243989818,0.49431674649025215,0.463432440821306,0.49855163108630773,0.4518912003265541,0.49909610946818744,0.4959782858590039,0.4975600879816937,0.47881078198788624,0.49635827763711093,0.4981582684355787,0.49075126106766914,0.4982177997609007,0.49758848521863375,0.49772840045731703,0.4863589616753046,0.49678694630048237,0.4704792031583625,0.4787616338645845,0.5085582165271946,0.48866898852020624,0.5089695665129296,0.460764314490466,0.48620105915039497,0.497403817746518,0.47545180771046713,0.46897185095502975,0.49770192829810683,0.4979823129008774,0.4991197961270917,0.4770027013266922,0.4886275161243841,0.49753006250295934,0.4094353341457067,0.5050157307855624,0.3987317334530752,0.45418395985880866,0.4702026554433029,0.4992549747494199,0.49814038496615515,0.4785155898044806,0.49536386694112866,0.49433200004456224,0.40894365031233787,0.465456260278973,0.509261844293845,0.5116410478218739,0.5005482882637661,0.5006737845149296,0.4988125082912007,0.4963262709425587,0.5085680729168806,0.49297075499719456,0.5063137944693675,0.49676127483785354,0.5132344168956995,0.46524027357698783,0.48838197194420263,0.39467695193561986,0.4267835147337657,0.5188487341377467,0.4089929143084429,0.4391720061037372,0.4722721979153005,0.49767619685161835,0.49941239277600213,0.4997309578610201,0.4904697235207614,0.5038791927612332,0.4904432893271328,0.4892634059705316,0.49541586653024633,0.5012171726542696,0.4959337031125647,0.4973848587216487,0.508082808251466,0.506130207698521,0.4968545409311634,0.5012958261569365,0.4898436887484184,0.49741426915982667,0.49797633772021044,0.4876103308597674,0.4662546692364675,0.477143308212188,0.4845918303600601,0.45408009749708367,0.4292962216739009,0.49932321901876486,0.47146649828841464,0.4935686433253262,0.4980713411473507,0.4973912337991911,0.4819146226693818,0.5017237277260689,0.4961313536769673,0.49394214027431876,0.46117570873878794,0.4923009743008523,0.48840356436587323,0.5070198386933007,0.4939245015750875,0.4506021669014381,0.4953653821897752,0.49769550552696834,0.4927741546563926,0.4540588359095109,0.4984013879460147,0.50575839232808,0.45716774286669626,0.5013756156701067,0.49715500733852014
