,degree_centrality_all,cluster
hmga1a,0.2785388127853881,NMPs
vox,0.2420091324200913,NMPs
meox1,0.18036529680365296,NMPs
ved,0.1506849315068493,NMPs
hoxb9a,0.14840182648401826,NMPs
msx1a,0.14383561643835616,NMPs
hoxa2b,0.1232876712328767,NMPs
rxrgb,0.11643835616438356,NMPs
rarga,0.1095890410958904,NMPs
foxc1a,0.091324200913242,NMPs
tbx16,0.091324200913242,NMPs
sox19b,0.0867579908675799,NMPs
sox11a,0.0867579908675799,NMPs
rxraa,0.08447488584474885,NMPs
gdf11,0.0821917808219178,NMPs
eve1,0.0821917808219178,NMPs
cx43.4,0.0821917808219178,NMPs
esrrga,0.07990867579908675,NMPs
etv4,0.0776255707762557,NMPs
myf5,0.0730593607305936,NMPs
gbx1,0.0730593607305936,NMPs
six4a,0.0730593607305936,NMPs
msx1b,0.07077625570776255,NMPs
hoxd9a,0.07077625570776255,NMPs
vent,0.0684931506849315,NMPs
sox11b,0.06621004566210045,NMPs
msgn1,0.06621004566210045,NMPs
cdx4,0.0639269406392694,NMPs
en2b,0.0593607305936073,NMPs
lef1,0.05707762557077625,NMPs
