,degree_centrality_all,cluster
meox1,0.28738317757009346,somites
hmga1a,0.2780373831775701,somites
meis1a,0.14485981308411214,somites
hoxb9a,0.1261682242990654,somites
msx1b,0.12149532710280374,somites
nr2f5,0.12149532710280374,somites
hoxd9a,0.1191588785046729,somites
sox11b,0.1191588785046729,somites
vox,0.1191588785046729,somites
hoxa2b,0.1191588785046729,somites
rxraa,0.11214953271028037,somites
uncx4.1,0.102803738317757,somites
cdx4,0.10046728971962617,somites
pnx,0.09813084112149532,somites
sox11a,0.09345794392523364,somites
myf5,0.09345794392523364,somites
pax3a,0.08411214953271028,somites
meis3,0.08177570093457943,somites
etv5a,0.08177570093457943,somites
rarga,0.07710280373831775,somites
mef2d,0.07242990654205607,somites
tbx16,0.07242990654205607,somites
etv4,0.07009345794392523,somites
sox19b,0.07009345794392523,somites
pax6b,0.07009345794392523,somites
hoxb8a,0.06074766355140187,somites
nkx1.2la,0.05841121495327103,somites
sox2,0.05841121495327103,somites
rps7,0.05841121495327103,somites
nectin1b,0.056074766355140186,somites
