,degree_centrality_all,cluster
hmga1a,0.27640449438202247,spinal_cord
sox19a,0.25842696629213485,spinal_cord
meox1,0.23146067415730337,spinal_cord
sox3,0.1662921348314607,spinal_cord
ved,0.16404494382022472,spinal_cord
vox,0.1393258426966292,spinal_cord
rfx4,0.1258426966292135,spinal_cord
tbx16,0.12134831460674157,spinal_cord
cdx4,0.12134831460674157,spinal_cord
rarga,0.10786516853932585,spinal_cord
nr2f5,0.10561797752808989,spinal_cord
hoxd9a,0.10112359550561797,spinal_cord
hoxb7a,0.10112359550561797,spinal_cord
sox11a,0.09438202247191012,spinal_cord
msx1b,0.09213483146067415,spinal_cord
irx1b,0.09213483146067415,spinal_cord
meis1a,0.0898876404494382,spinal_cord
meis3,0.08764044943820225,spinal_cord
rxraa,0.08314606741573034,spinal_cord
sox5,0.08089887640449438,spinal_cord
pax6b,0.07415730337078652,spinal_cord
sox13,0.07191011235955057,spinal_cord
meis2a,0.07191011235955057,spinal_cord
pax6a,0.06741573033707865,spinal_cord
chrd,0.06741573033707865,spinal_cord
myf5,0.06741573033707865,spinal_cord
alcamb,0.06292134831460675,spinal_cord
pax3a,0.06292134831460675,spinal_cord
foxp4,0.060674157303370786,spinal_cord
zgc:174855,0.05393258426966292,spinal_cord
