,degree_centrality_all,cluster
hmga1a,0.3002257336343115,PSM
meox1,0.29571106094808125,PSM
sox19a,0.25733634311512416,PSM
pax6b,0.16930022573363432,PSM
sox3,0.15349887133182843,PSM
sox11a,0.15349887133182843,PSM
cdx4,0.14672686230248308,PSM
hoxb7a,0.14672686230248308,PSM
ved,0.1309255079006772,PSM
meis3,0.1038374717832957,PSM
rfx4,0.1038374717832957,PSM
vox,0.10158013544018059,PSM
tbx16,0.10158013544018059,PSM
rarga,0.09932279909706546,PSM
pax6a,0.09480812641083522,PSM
sox5,0.09255079006772009,PSM
foxp1b,0.08577878103837472,PSM
rxraa,0.0835214446952596,PSM
hoxd9a,0.08126410835214447,PSM
nr2f5,0.08126410835214447,PSM
myf5,0.07674943566591422,PSM
cx43.4,0.06997742663656885,PSM
meis1a,0.06997742663656885,PSM
meis2a,0.06772009029345373,PSM
sox13,0.06320541760722348,PSM
vent,0.060948081264108354,PSM
msx1b,0.05869074492099323,PSM
irx1b,0.056433408577878104,PSM
nucks1a,0.056433408577878104,PSM
chsy1,0.05417607223476298,PSM
