,degree_centrality_all,cluster
meox1,0.2964705882352941,somites
hmga1a,0.27058823529411763,somites
sox19a,0.2211764705882353,somites
sox3,0.20705882352941177,somites
vox,0.19058823529411764,somites
hoxb7a,0.17411764705882352,somites
irx1b,0.15529411764705883,somites
cdx4,0.1411764705882353,somites
sox5,0.12470588235294118,somites
foxc1a,0.11058823529411765,somites
ved,0.10823529411764705,somites
rarga,0.10588235294117647,somites
tbx16,0.1011764705882353,somites
rxraa,0.08705882352941176,somites
six7,0.08705882352941176,somites
pax6b,0.08470588235294117,somites
nr2f5,0.08470588235294117,somites
sox11a,0.08470588235294117,somites
etv4,0.08235294117647059,somites
meis3,0.08,somites
fn1b,0.07764705882352942,somites
foxb1a,0.07529411764705882,somites
meis1a,0.07058823529411765,somites
creb1a,0.07058823529411765,somites
meis2a,0.06352941176470588,somites
dlx3b,0.06352941176470588,somites
hoxa4a,0.06352941176470588,somites
myf5,0.058823529411764705,somites
pax6a,0.058823529411764705,somites
tubb4b,0.05411764705882353,somites
