TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
rfx4_epha4b,0.0,0.05897009,0.031444963,0.09248489,0.06744699,0.0,rfx4,rfx,19hpf
rfx4_cntfr,0.02259187,0.062271543,0.040253345,0.06824082,0.09762006,0.0,rfx4,rfx,19hpf
rfx4_zbtb16a,0.028834831,0.054919567,0.0,0.10857871,0.07334732,0.0,rfx4,rfx,19hpf
rfx4_col18a1a,0.058930974,0.06720473,0.03066936,0.041373637,0.04117641,0.0,rfx4,rfx,19hpf
rfx4_cep131,0.026515542,0.0,0.0,0.0,0.0,0.0,rfx4,rfx,19hpf
rfx4_sulf2a,0.0,0.0,0.0,0.0,0.02904109,0.0,rfx4,rfx,19hpf
rfx4_tubb4b,0.0,-0.020719966,0.0,0.0,0.0,0.0,rfx4,rfx,19hpf
rfx4_tshz1,0.0,0.0,0.0,0.0,0.078288235,0.0,rfx4,rfx,19hpf
rfx4_lrp2a,0.0,0.02224781,0.0,0.06294553,0.0380685,0.0,rfx4,rfx,19hpf
rfx4_foxp4,0.0,0.026275827,0.0,0.039507233,0.034168765,0.0,rfx4,rfx,19hpf
rfx4_ntn1a,0.0,0.0,0.0,0.044997975,0.039142974,0.0,rfx4,rfx,19hpf
rfx4_lmo3,0.0,0.0,0.0,0.047177356,0.03525718,0.0,rfx4,rfx,19hpf
rfx4_ctnnd2b,0.0,0.0,0.0,0.054737043,0.025911644,0.0,rfx4,rfx,19hpf
rfx4_ccdc85ca,0.0,0.0,0.0,0.043461554,0.0,0.0,rfx4,rfx,19hpf
rfx4_negr1,0.0,0.0,0.0,0.049023986,0.0,0.0,rfx4,rfx,19hpf
rfx4_rpl3,0.0,-0.028214274,0.0,0.0,0.0,0.0,rfx4,rfx,19hpf
rfx4_hs3st3b1b,0.0,0.028873708,0.0,0.050218597,0.0,0.0,rfx4,rfx,19hpf
rfx4_arvcfb,0.0,0.0,0.033566665,0.064812556,0.026051193,0.0,rfx4,rfx,19hpf
rfx4_msi1,0.0,0.0,0.046046846,0.06675815,0.0,0.0,rfx4,rfx,19hpf
rfx4_jag1a,0.0,0.0,0.0,0.034639627,0.0,0.0,rfx4,rfx,19hpf
rfx4_agrn,0.0,0.0,0.0,-0.054301474,0.0,0.0,rfx4,rfx,19hpf
rfx4_lpar1,0.0,-0.022744427,0.0,-0.05591316,0.0,0.0,rfx4,rfx,19hpf
rfx4_ctnnb1,0.0,-0.024931308,0.0,0.0,0.0,0.0,rfx4,rfx,19hpf
rfx4_dut,0.0,-0.02593439,0.0,0.0,0.0,0.0,rfx4,rfx,19hpf
rfx4_id1,0.0,-0.0258949,0.0,0.0,0.0,0.0,rfx4,rfx,19hpf
rfx4_tgfbi,0.0,0.0,0.0,-0.035668034,-0.07732958,0.0,rfx4,rfx,19hpf
rfx4_tenm4,0.0,0.0,0.05847982,0.08296691,0.20871013,0.0,rfx4,rfx,19hpf
rfx4_daam1b,0.0,0.0,0.0,-0.037588283,-0.049010895,0.0,rfx4,rfx,19hpf
rfx4_postnb,0.0,0.0,0.0,-0.04219131,-0.028270416,0.0,rfx4,rfx,19hpf
rfx4_alcama,0.0,0.0,0.0,-0.035375103,-0.027402438,0.0,rfx4,rfx,19hpf
rfx1a_syncrip,0.0,0.0,-0.03371957,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_rps4x,0.0,0.0,-0.032211456,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_rpl11,0.0,0.0,-0.032555643,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_rpl6,0.0,0.0,-0.03321646,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_rpl36a,0.0,0.0,-0.027792165,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_ubc,0.0,0.0,-0.02873771,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_rack1,0.0,0.0,-0.073439404,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_tubb4b,0.0,0.0,0.026658257,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_mki67,0.0,0.0,0.027788209,0.0,0.0,0.0,rfx1a,rfx,14hpf
rfx1a_rps27l,0.0,0.0,-0.03525154,0.0,0.0,0.0,rfx1a,rfx,14hpf
mafbb_ntn1a,0.0,0.0,0.0,-0.035178628,0.0,0.0,mafbb,maf,16hpf
mafbb_tnni2b.1,0.0,0.0,0.0,0.0,0.030130757,0.0,mafbb,maf,16hpf
mafbb_tshz3b,0.0,0.0,0.0,0.0,0.0,-0.020648053,mafbb,maf,16hpf
mafbb_serpinh1b,0.0,0.0,0.0,0.0,0.0,-0.02136979,mafbb,maf,16hpf
mafbb_col1a1b,0.0,0.0,0.0,0.0,0.0,-0.02104462,mafbb,maf,16hpf
mafbb_zbtb16a,0.0,0.0,0.0,-0.045767758,-0.025616562,0.0,mafbb,maf,16hpf
mafbb_gfap,0.0,0.0,0.0,0.0,0.0,-0.01797261,mafbb,maf,16hpf
mafbb_cxcl12b,0.0,0.0,0.0,0.0,0.0,-0.037951495,mafbb,maf,16hpf
mafbb_tenm4,0.0,0.0,0.0,0.0,0.0,-0.034394924,mafbb,maf,16hpf
mafbb_mef2d,0.0,0.0,0.0,0.0,0.03300114,0.025958156,mafbb,maf,16hpf
mafbb_fam107b,0.0,0.0,0.0,0.034260415,0.0,0.0,mafbb,maf,16hpf
mafbb_serbp1a,0.0,0.0,0.0,0.0,0.033299707,0.0,mafbb,maf,16hpf
mafbb_efemp2a,0.0,0.0,0.0,0.0,0.02926206,0.0,mafbb,maf,16hpf
mafbb_hmga1a,0.0,0.0,0.0,0.0,0.028826836,0.0,mafbb,maf,16hpf
