TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
zic4_hmgb2a,0.0,0.0,0.0,0.0,0.0,0.0073541366,zic4,zic,24hpf
zic1_hmgb2a,0.0,0.0,0.0,0.0,0.0,0.008368449,zic1,zic,24hpf
zic2a_twist1a,0.0,0.0,0.0,0.0,0.0,0.008422152,zic2a,zic,24hpf
zic2a_eef1g,0.0,0.0,0.032930598,0.0,0.0,0.0,zic2a,zic,24hpf
zic5_lrrn1,0.0,0.0,0.0,0.0,0.0,0.007903438,zic5,zic,24hpf
zic1_lrrn1,0.0,0.0,0.0,0.0,0.0,0.008026194,zic1,zic,24hpf
zic4_gfap,0.0,0.0,0.0,0.0,0.0,0.0081774555,zic4,zic,24hpf
zic1_histh1l,0.0,0.0,0.0,0.0,0.0,0.029098717,zic1,zic,24hpf
zic5_histh1l,0.0,0.0,0.0,0.0,0.0,0.0310027,zic5,zic,24hpf
zic5_egfl6,0.0,0.0,0.0,0.035284292,0.0,0.0,zic5,zic,24hpf
zic1_jarid2b,0.0,0.0,0.0,0.03259929,0.0,0.0,zic1,zic,24hpf
zic2a_egfl6,0.0,0.0,0.0,0.0,0.029966518,0.0,zic2a,zic,24hpf
zic2a_tuba8l4,0.0,0.02208242,0.04349488,0.0,0.0,0.0,zic2a,zic,24hpf
zic1_sox6,0.0,0.0,0.0,0.031913124,0.0,0.0,zic1,zic,24hpf
zic2a_rpsa,0.0,0.0,0.042564653,0.0,0.0,0.01060857,zic2a,zic,24hpf
zic2a_hmgb2a,0.0,0.0,0.02769586,0.0,0.0,0.008648257,zic2a,zic,24hpf
zic2a_rpl24,0.0,0.0,0.029462283,0.0,0.0,0.0,zic2a,zic,24hpf
zic2a_ctnnb1,0.0,0.0,0.027432952,0.0,0.0,0.0,zic2a,zic,24hpf
zic2a_npm1a,0.0,0.021882543,0.0,0.0,0.015098357,0.0,zic2a,zic,24hpf
zic2a_col2a1a,0.0,0.0,0.0,0.0,0.0,0.0071336254,zic2a,zic,24hpf
zic2a_fn1b,0.0,0.0,-0.029865673,0.0,0.0,0.0,zic2a,zic,24hpf
zic5_gfap,0.0,0.0,0.0,0.0,0.0,0.006453495,zic5,zic,24hpf
zic2a_szl,0.0,0.05413119,-0.059645403,0.0,0.0,0.0,zic2a,zic,24hpf
zic4_mibp2,0.0,0.0,0.0,0.0,0.0,0.012445345,zic4,zic,24hpf
zic4_cnbpb,0.0,0.0,0.0,0.0,0.0,0.012893364,zic4,zic,24hpf
