TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
nr2f5_meox1,0.0,0.0,0.027372694,0.056498423,0.0,0.0,nr2f5,nr,16hpf
nr2f5_mdka,0.0,0.0,0.03523671,0.04045211,0.0,0.0,nr2f5,nr,16hpf
nr2f5_gse1,0.0,0.0,0.022648538,0.03998029,0.0,0.0,nr2f5,nr,16hpf
nr2f5_bmpr1ba,0.0,0.0,0.032194108,0.0341561,0.0,0.0,nr2f5,nr,16hpf
nr2f5_emp2,0.0,0.0,0.028386967,0.032296207,0.0,0.0,nr2f5,nr,16hpf
nr2f5_szl,0.03611474,0.0,0.09543614,0.0,0.0,0.0,nr2f5,nr,16hpf
nr2f5_kirrel3l,0.0,0.037997656,0.0,0.116774805,0.0,0.0,nr2f5,nr,16hpf
nr3c2_bmp4,0.0,0.0,0.024842758,0.025910027,0.0,0.0,nr3c2,nr,14hpf
nr3c2_kank1a,0.0,0.0,0.023679668,0.028115995,0.0,0.0,nr3c2,nr,14hpf
etv4_apela,0.0,0.02489546,0.02254565,0.023137935,0.0,0.0,etv4,etv,16hpf
etv4_cdon,0.0,0.0,0.0,0.047797866,0.011181353,0.0,etv4,etv,16hpf
etv4_prickle1b,0.0,0.035750233,0.036978047,0.08260789,0.026938338,0.0,etv4,etv,16hpf
etv4_msgn1,0.0,0.0,-0.023787217,0.0,-0.011998802,0.0,etv4,etv,16hpf
etv4_serpinh1b,0.0,0.029728461,0.033601575,0.0314138,0.012179272,0.0,etv4,etv,16hpf
etv4_apoeb,0.0,0.0,0.0,0.028781319,0.04471213,0.0,etv4,etv,16hpf
etv4_rxraa,0.0,0.0,0.0,0.020523714,0.04097494,0.0,etv4,etv,16hpf
etv4_sulf1,0.0,0.044003025,0.0,0.034581743,0.011115675,0.0,etv4,etv,16hpf
etv4_hoxc6b,0.0,0.0,0.0,0.022992304,0.016015962,0.0,etv4,etv,16hpf
etv4_cdh11,0.0,0.0,0.0,0.03903309,0.011475968,0.0,etv4,etv,16hpf
etv4_mllt3,0.0,0.0,0.0,0.041336864,0.016451307,0.0,etv4,etv,16hpf
etv4_arid3c,0.0,0.0,0.0,0.040031455,0.017517809,0.0,etv4,etv,16hpf
etv4_gdf11,0.0,0.04570844,0.102854386,0.024150608,0.0,0.0,etv4,etv,16hpf
etv4_nectin1b,0.0,0.02751412,0.025952224,0.0,0.0,0.0,etv4,etv,16hpf
etv4_hspa8,0.0,0.02334413,0.02979305,0.0,0.0,0.0,etv4,etv,16hpf
etv4_itm2cb,0.0,0.04198374,0.0,0.07911386,0.0,0.0,etv4,etv,16hpf
etv5a_szl,-0.03768583,-0.022070833,-0.039888002,0.0,0.0,0.0,etv5a,etv,10hpf
