,degree_centrality_all,cluster
meis1b,0.18162839248434237,somites
meox1,0.1649269311064718,somites
meis1a,0.162839248434238,somites
meis3,0.1524008350730689,somites
nr2f5,0.14822546972860126,somites
rxraa,0.1315240083507307,somites
hoxb3a,0.12734864300626306,somites
sox5,0.12734864300626306,somites
mef2d,0.11691022964509394,somites
rarab,0.10647181628392484,somites
sox13,0.09394572025052192,somites
hoxc6b,0.08768267223382047,somites
pax3a,0.08768267223382047,somites
raraa,0.081419624217119,somites
sox11a,0.07306889352818371,somites
hoxa4a,0.07306889352818371,somites
nr6a1b,0.07306889352818371,somites
hmga1a,0.07306889352818371,somites
gli2a,0.0709812108559499,somites
hoxd3a,0.06680584551148225,somites
myod1,0.06471816283924843,somites
pax6b,0.06471816283924843,somites
hoxc3a,0.06471816283924843,somites
pax6a,0.06263048016701461,somites
foxp4,0.06263048016701461,somites
myog,0.06263048016701461,somites
rfx4,0.060542797494780795,somites
irx3a,0.060542797494780795,somites
tbx16,0.060542797494780795,somites
rxrab,0.05845511482254697,somites
