,degree_centrality_all,cluster
meox1,0.1913978494623656,tail_bud
rxraa,0.16129032258064516,tail_bud
sox6,0.15268817204301074,tail_bud
meis1b,0.15268817204301074,tail_bud
rarga,0.15053763440860216,tail_bud
sox5,0.14623655913978495,tail_bud
tbx16,0.13548387096774195,tail_bud
hoxb3a,0.13333333333333333,tail_bud
rxrab,0.12688172043010754,tail_bud
raraa,0.11612903225806452,tail_bud
rarab,0.10967741935483871,tail_bud
hmga1a,0.08387096774193549,tail_bud
lef1,0.08387096774193549,tail_bud
trps1,0.07956989247311828,tail_bud
hoxc6b,0.07956989247311828,tail_bud
hoxd3a,0.07526881720430108,tail_bud
esrrga,0.07311827956989247,tail_bud
nr2f5,0.07311827956989247,tail_bud
gli2a,0.06451612903225806,tail_bud
msgn1,0.06451612903225806,tail_bud
cdx4,0.06451612903225806,tail_bud
hoxb6b,0.06236559139784946,tail_bud
myf5,0.06236559139784946,tail_bud
hoxc3a,0.06236559139784946,tail_bud
vox,0.06236559139784946,tail_bud
foxp4,0.06236559139784946,tail_bud
zbtb16a,0.05591397849462366,tail_bud
hoxa9a,0.053763440860215055,tail_bud
apoc1,0.053763440860215055,tail_bud
thrab,0.053763440860215055,tail_bud
