,degree_centrality_all,cluster
meox1,0.23644251626898047,PSM
meis1b,0.18872017353579176,PSM
rarga,0.14967462039045554,PSM
rxraa,0.14316702819956617,PSM
sox5,0.14099783080260303,PSM
hoxb3a,0.13665943600867678,PSM
meis1a,0.13449023861171366,PSM
nr2f5,0.1301518438177874,PSM
tbx16,0.1301518438177874,PSM
raraa,0.1279826464208243,PSM
sox13,0.11062906724511931,PSM
rarab,0.09978308026030369,PSM
foxp4,0.08676789587852494,PSM
hmga1a,0.08676789587852494,PSM
cdx4,0.08459869848156182,PSM
hoxc3a,0.08459869848156182,PSM
hoxc6b,0.07809110629067245,PSM
sox6,0.07592190889370933,PSM
lef1,0.0737527114967462,PSM
mef2d,0.07158351409978309,PSM
rxrab,0.07158351409978309,PSM
gli2a,0.06941431670281996,PSM
pax6a,0.06941431670281996,PSM
pax6b,0.06724511930585683,PSM
vox,0.06290672451193059,PSM
thrab,0.06290672451193059,PSM
sox3,0.05856832971800434,PSM
zbtb16a,0.05639913232104121,PSM
sox11a,0.05639913232104121,PSM
tenm4,0.05639913232104121,PSM
