,degree_centrality_all,cluster
meis1b,0.18695652173913044,neural_posterior
sox13,0.1565217391304348,neural_posterior
meis1a,0.15217391304347827,neural_posterior
foxp4,0.1282608695652174,neural_posterior
rxraa,0.11304347826086956,neural_posterior
hoxb3a,0.11304347826086956,neural_posterior
rarab,0.10869565217391304,neural_posterior
rfx4,0.10652173913043478,neural_posterior
nr2f5,0.10652173913043478,neural_posterior
cntfr,0.09782608695652174,neural_posterior
sox5,0.0891304347826087,neural_posterior
raraa,0.08695652173913043,neural_posterior
hmga1a,0.08695652173913043,neural_posterior
meis3,0.08478260869565217,neural_posterior
thrab,0.08478260869565217,neural_posterior
pax6a,0.08260869565217391,neural_posterior
tenm4,0.08260869565217391,neural_posterior
irx3a,0.0782608695652174,neural_posterior
sox6,0.07608695652173914,neural_posterior
foxp1b,0.07391304347826087,neural_posterior
irx1b,0.07173913043478261,neural_posterior
sox11a,0.06956521739130435,neural_posterior
hoxa4a,0.06956521739130435,neural_posterior
pax6b,0.06956521739130435,neural_posterior
uncx4.1,0.06739130434782609,neural_posterior
rnf220a,0.06739130434782609,neural_posterior
hoxd3a,0.06521739130434782,neural_posterior
etv4,0.06521739130434782,neural_posterior
gli3,0.06304347826086956,neural_posterior
hoxb6b,0.06086956521739131,neural_posterior
