,degree_centrality_all,cluster
tbx16,0.13815789473684212,NMPs
rarga,0.1337719298245614,NMPs
rxraa,0.12938596491228072,NMPs
sox6,0.11842105263157894,NMPs
sox5,0.1118421052631579,NMPs
nr2f5,0.10964912280701754,NMPs
hoxb3a,0.10526315789473684,NMPs
hoxd3a,0.10307017543859649,NMPs
hmga1a,0.09429824561403509,NMPs
meis1b,0.09210526315789473,NMPs
lef1,0.08771929824561403,NMPs
meis1a,0.08552631578947369,NMPs
msgn1,0.08333333333333333,NMPs
rarab,0.08333333333333333,NMPs
meox1,0.08114035087719298,NMPs
raraa,0.08114035087719298,NMPs
gli2a,0.07894736842105263,NMPs
rxrab,0.07675438596491228,NMPs
irx1b,0.07456140350877193,NMPs
ved,0.07456140350877193,NMPs
hoxc3a,0.07236842105263158,NMPs
esrrga,0.07017543859649122,NMPs
trps1,0.06798245614035088,NMPs
thrab,0.06578947368421052,NMPs
vox,0.06359649122807018,NMPs
zbtb16a,0.06359649122807018,NMPs
fn1b,0.06359649122807018,NMPs
uncx4.1,0.06359649122807018,NMPs
gdf11,0.06359649122807018,NMPs
tenm4,0.06140350877192982,NMPs
