,degree_centrality_all,cluster
meis1b,0.2,spinal_cord
hoxb3a,0.15268817204301074,spinal_cord
foxp4,0.13548387096774195,spinal_cord
sox13,0.12688172043010754,spinal_cord
rarab,0.12688172043010754,spinal_cord
nr2f5,0.12258064516129032,spinal_cord
meis1a,0.11182795698924732,spinal_cord
rfx4,0.10967741935483871,spinal_cord
rxraa,0.1032258064516129,spinal_cord
uncx4.1,0.1010752688172043,spinal_cord
hmga1a,0.1010752688172043,spinal_cord
pax6b,0.0967741935483871,spinal_cord
rarga,0.08602150537634409,spinal_cord
meox1,0.08387096774193549,spinal_cord
sox5,0.08387096774193549,spinal_cord
rxrab,0.08172043010752689,spinal_cord
sox3,0.07741935483870968,spinal_cord
pax3a,0.07741935483870968,spinal_cord
raraa,0.07096774193548387,spinal_cord
sox11a,0.06881720430107527,spinal_cord
irx3a,0.06881720430107527,spinal_cord
mef2d,0.06881720430107527,spinal_cord
hoxc6b,0.06666666666666667,spinal_cord
tbx16,0.06666666666666667,spinal_cord
etv4,0.06451612903225806,spinal_cord
vent,0.06236559139784946,spinal_cord
sox6,0.060215053763440864,spinal_cord
myod1,0.060215053763440864,spinal_cord
cdx4,0.060215053763440864,spinal_cord
sox19a,0.05806451612903226,spinal_cord
